timestamp_ms,symbol,timeframe,open,high,low,close,volume
1767490000000000,SOLUSDT,5m,102.02,102.16,101.90,102.05,6180.0
1767490300000000,SOLUSDT,5m,102.05,102.25,101.93,102.15,6620.0
1767490600000000,SOLUSDT,5m,102.15,102.20,101.55,101.68,10800.0
1767490900000000,SOLUSDT,5m,101.68,101.82,101.02,101.18,13200.0
1767491200000000,SOLUSDT,5m,101.18,101.34,100.46,100.72,15100.0
1767491500000000,SOLUSDT,5m,100.72,100.92,100.08,100.34,16600.0
1767491800000000,SOLUSDT,5m,100.34,100.68,99.92,100.08,14100.0
1767492100000000,SOLUSDT,5m,100.08,100.46,99.86,100.30,9500.0
1767492400000000,SOLUSDT,5m,100.30,100.74,100.08,100.58,8900.0
1767492700000000,SOLUSDT,5m,100.58,100.92,100.30,100.80,9200.0
1767493000000000,SOLUSDT,5m,100.80,101.06,100.48,100.62,9800.0
1767493300000000,SOLUSDT,5m,100.62,100.78,100.10,100.28,11500.0
1767493600000000,SOLUSDT,5m,100.28,100.42,99.70,99.96,12800.0
1767493900000000,SOLUSDT,5m,99.96,100.20,99.48,99.72,13900.0
1767494200000000,SOLUSDT,5m,99.72,100.06,99.56,99.94,9100.0
1767494500000000,SOLUSDT,5m,99.94,100.30,99.74,100.18,8700.0
1767494800000000,SOLUSDT,5m,100.18,100.46,99.86,100.02,9300.0
1767495100000000,SOLUSDT,5m,100.02,100.18,99.42,99.64,12600.0
1767495400000000,SOLUSDT,5m,99.64,99.88,99.14,99.32,14400.0
1767495700000000,SOLUSDT,5m,99.32,99.76,99.20,99.58,9000.0
1767496000000000,SOLUSDT,5m,99.58,99.92,99.36,99.78,8600.0
1767496300000000,SOLUSDT,5m,99.78,100.04,99.48,99.62,9400.0
1767496600000000,SOLUSDT,5m,99.62,99.86,99.10,99.30,11800.0
1767496900000000,SOLUSDT,5m,99.30,99.54,98.86,99.02,13200.0
