timestamp_ms,symbol,timeframe,open,high,low,close,volume
1778601040000000,SOLUSDT,5m,99.93,100.13,99.61,100.00,7650.8
1778601340000000,SOLUSDT,5m,100.03,100.35,99.72,100.17,8979.8
1778601640000000,SOLUSDT,5m,100.15,100.34,99.74,100.02,9180.8
1778601940000000,SOLUSDT,5m,100.02,100.37,98.94,99.46,13879.9
1778602240000000,SOLUSDT,5m,99.47,99.88,98.35,98.93,13633.9
1778602540000000,SOLUSDT,5m,98.93,99.27,98.31,98.70,10966.7
1778602840000000,SOLUSDT,5m,98.76,99.48,98.38,99.09,10145.5
1778603140000000,SOLUSDT,5m,99.14,99.96,98.73,99.57,11014.6
1778603440000000,SOLUSDT,5m,99.92,100.30,99.30,99.72,13244.7
1778603740000000,SOLUSDT,5m,99.86,100.24,99.44,99.94,12245.3
1778604040000000,SOLUSDT,5m,99.47,100.01,99.00,99.67,15143.3
1778604340000000,SOLUSDT,5m,99.00,99.56,98.41,99.23,16589.8
1778604640000000,SOLUSDT,5m,99.04,99.24,98.83,99.02,7525.5
1778604940000000,SOLUSDT,5m,99.15,99.32,98.79,99.09,8005.3
1778605240000000,SOLUSDT,5m,99.28,99.49,98.92,99.22,7926.5
1778605540000000,SOLUSDT,5m,99.62,99.98,98.92,99.41,12488.0
1778605840000000,SOLUSDT,5m,99.75,100.44,99.33,100.05,15100.1
1778606140000000,SOLUSDT,5m,100.09,100.86,99.68,100.44,16313.9
1778606440000000,SOLUSDT,5m,100.49,101.19,100.04,100.79,18632.3
1778606740000000,SOLUSDT,5m,100.81,101.18,100.22,100.63,17379.2
1778607040000000,SOLUSDT,5m,100.60,100.93,99.96,100.39,16339.0
1778607340000000,SOLUSDT,5m,100.40,101.14,99.90,100.73,16580.9
1778607640000000,SOLUSDT,5m,100.75,101.36,100.28,101.01,15698.7
1778607940000000,SOLUSDT,5m,101.06,101.40,100.65,101.12,12941.5
1778608240000000,SOLUSDT,5m,101.24,101.48,101.01,101.21,7604.0
1778608540000000,SOLUSDT,5m,101.40,101.72,101.14,101.35,9403.0
1778608840000000,SOLUSDT,5m,101.32,101.61,101.02,101.39,10426.6
1778609140000000,SOLUSDT,5m,100.80,101.50,100.16,101.11,15708.7
1778609440000000,SOLUSDT,5m,100.28,101.01,99.60,100.54,15111.6
1778609740000000,SOLUSDT,5m,99.96,100.42,99.48,100.07,11769.6
1778610040000000,SOLUSDT,5m,100.21,100.69,99.65,100.04,10108.4
1778610340000000,SOLUSDT,5m,100.67,101.15,100.05,100.44,11142.7
1778610640000000,SOLUSDT,5m,100.83,101.67,100.44,101.18,13859.4
1778610940000000,SOLUSDT,5m,101.20,101.60,100.62,100.99,12628.8
1778611240000000,SOLUSDT,5m,101.02,101.43,100.05,100.52,16625.1
1778611540000000,SOLUSDT,5m,100.55,101.01,99.53,100.11,18298.5
1778611840000000,SOLUSDT,5m,100.17,100.42,99.95,100.25,9129.4
1778612140000000,SOLUSDT,5m,100.25,100.64,100.03,100.40,9823.4
1778612440000000,SOLUSDT,5m,100.38,100.80,100.18,100.53,10009.8
1778612740000000,SOLUSDT,5m,100.45,101.21,99.90,100.91,14624.8
1778613040000000,SOLUSDT,5m,101.13,101.46,100.42,100.97,16039.9
1778613340000000,SOLUSDT,5m,101.53,101.88,100.82,101.34,17046.0
1778613640000000,SOLUSDT,5m,101.91,102.35,101.38,101.76,17812.4
1778613940000000,SOLUSDT,5m,101.89,102.39,101.54,101.99,18151.2
1778614240000000,SOLUSDT,5m,101.67,102.16,101.30,101.78,18255.6
1778614540000000,SOLUSDT,5m,101.90,102.30,101.18,101.68,21496.0
1778614840000000,SOLUSDT,5m,102.23,102.60,101.59,102.06,20356.9
1778615140000000,SOLUSDT,5m,102.38,102.65,101.93,102.31,15601.8
1778615440000000,SOLUSDT,5m,102.42,102.70,102.20,102.47,8318.6
1778615740000000,SOLUSDT,5m,102.54,102.94,102.32,102.63,8625.2
1778616040000000,SOLUSDT,5m,102.66,103.00,102.32,102.53,9574.2
1778616340000000,SOLUSDT,5m,102.50,103.06,101.62,102.01,16220.8
1778616640000000,SOLUSDT,5m,101.89,102.35,100.87,101.47,18746.5
