timestamp_ms,symbol,timeframe,open,high,low,close,volume
1767510000000000,SOLUSDT,5m,100.00,100.38,99.70,100.08,9800.0
1767510300000000,SOLUSDT,5m,100.08,100.58,99.74,100.20,14200.0
1767510600000000,SOLUSDT,5m,100.20,100.70,99.80,100.06,9100.0
1767510900000000,SOLUSDT,5m,100.06,100.38,99.18,99.58,18800.0
1767511200000000,SOLUSDT,5m,99.58,99.96,98.54,99.04,22100.0
1767511500000000,SOLUSDT,5m,99.04,99.46,98.42,98.84,10400.0
1767511800000000,SOLUSDT,5m,98.84,99.56,98.40,99.20,16700.0
1767512100000000,SOLUSDT,5m,99.20,100.04,98.96,99.62,11600.0
1767512400000000,SOLUSDT,5m,99.62,100.40,99.26,100.02,19200.0
1767512700000000,SOLUSDT,5m,100.02,100.56,99.42,99.84,8800.0
1767513000000000,SOLUSDT,5m,99.84,100.22,99.02,99.44,20500.0
1767513300000000,SOLUSDT,5m,99.44,99.92,98.56,99.02,23800.0
1767513600000000,SOLUSDT,5m,100.00,100.30,99.76,100.06,9100.0
1767513900000000,SOLUSDT,5m,100.06,100.52,99.78,100.19,15100.0
1767514200000000,SOLUSDT,5m,100.19,100.70,99.82,100.33,8700.0
1767514500000000,SOLUSDT,5m,100.33,101.14,99.98,100.74,19900.0
1767514800000000,SOLUSDT,5m,100.74,101.66,100.34,101.12,23200.0
1767515100000000,SOLUSDT,5m,101.12,101.96,100.78,101.48,12100.0
1767515400000000,SOLUSDT,5m,101.48,102.20,101.06,101.78,21400.0
1767515700000000,SOLUSDT,5m,101.78,102.24,101.28,101.58,9700.0
1767516000000000,SOLUSDT,5m,101.58,101.98,100.94,101.32,18100.0
1767516300000000,SOLUSDT,5m,101.32,102.24,100.94,101.76,22600.0
1767516600000000,SOLUSDT,5m,101.76,102.58,101.30,102.08,15400.0
1767516900000000,SOLUSDT,5m,102.08,102.52,101.62,102.20,8600.0
