timestamp_ms,symbol,timeframe,open,high,low,close,volume
1771110000000000,SOLUSDT,5m,100.01,100.43,99.68,100.09,9411.9
1771110300000000,SOLUSDT,5m,100.11,100.66,99.69,100.24,14622.0
1771110600000000,SOLUSDT,5m,100.23,100.67,99.64,100.08,9512.0
1771110900000000,SOLUSDT,5m,100.07,100.67,98.95,99.56,18886.6
1771111200000000,SOLUSDT,5m,99.55,100.25,98.29,98.99,21224.8
1771111500000000,SOLUSDT,5m,98.99,99.51,98.27,98.79,9831.7
1771111800000000,SOLUSDT,5m,98.81,99.74,98.24,99.17,16026.0
1771112100000000,SOLUSDT,5m,99.19,100.18,98.65,99.64,11653.4
1771112400000000,SOLUSDT,5m,99.63,100.62,99.07,100.07,19471.8
1771112700000000,SOLUSDT,5m,100.04,100.61,99.27,99.84,9061.5
1771113000000000,SOLUSDT,5m,99.83,100.42,98.81,99.40,20292.4
1771113300000000,SOLUSDT,5m,99.39,100.07,98.29,98.97,23909.6
1771113600000000,SOLUSDT,5m,99.03,99.36,98.75,99.09,8801.8
1771113900000000,SOLUSDT,5m,99.11,99.63,98.72,99.25,15653.7
1771114200000000,SOLUSDT,5m,99.22,99.81,98.78,99.36,9155.3
1771114500000000,SOLUSDT,5m,99.32,100.35,98.72,99.75,20134.1
1771114800000000,SOLUSDT,5m,99.71,100.76,99.04,100.09,22439.9
1771115100000000,SOLUSDT,5m,100.07,101.04,99.46,100.43,11522.8
1771115400000000,SOLUSDT,5m,100.46,101.35,99.87,100.77,20687.3
1771115700000000,SOLUSDT,5m,100.81,101.30,100.09,100.59,9814.1
1771116000000000,SOLUSDT,5m,100.64,101.17,99.81,100.34,18480.1
1771116300000000,SOLUSDT,5m,100.33,101.46,99.66,100.79,23428.7
1771116600000000,SOLUSDT,5m,100.75,101.71,100.10,101.07,15352.6
1771116900000000,SOLUSDT,5m,101.04,101.63,100.57,101.16,8701.2
1771117200000000,SOLUSDT,5m,101.17,101.64,100.80,101.26,10309.7
1771117500000000,SOLUSDT,5m,101.28,101.88,100.82,101.41,16004.9
1771117800000000,SOLUSDT,5m,101.40,101.89,100.76,101.25,10411.6
1771118100000000,SOLUSDT,5m,101.24,101.90,100.05,100.72,20688.1
1771118400000000,SOLUSDT,5m,100.71,101.48,99.36,100.13,23249.3
1771118700000000,SOLUSDT,5m,100.13,100.70,99.35,99.92,10774.3
1771119000000000,SOLUSDT,5m,99.94,100.95,99.31,100.32,17562.6
1771119300000000,SOLUSDT,5m,100.34,101.40,99.74,100.80,12765.1
1771119600000000,SOLUSDT,5m,100.79,101.86,100.17,101.24,21313.3
1771119900000000,SOLUSDT,5m,101.21,101.84,100.39,101.02,9918.5
1771120200000000,SOLUSDT,5m,101.01,101.66,99.92,100.57,22228.0
1771120500000000,SOLUSDT,5m,100.56,101.32,99.36,100.12,26190.3
1771120800000000,SOLUSDT,5m,100.19,100.53,99.92,100.26,9640.5
1771121100000000,SOLUSDT,5m,100.27,100.81,99.89,100.43,17132.6
1771121400000000,SOLUSDT,5m,100.40,101.00,99.96,100.55,10020.3
1771121700000000,SOLUSDT,5m,100.51,101.55,99.91,100.95,22052.5
1771122000000000,SOLUSDT,5m,100.91,101.99,100.23,101.32,24577.9
1771122300000000,SOLUSDT,5m,101.30,102.28,100.69,101.67,12626.3
1771122600000000,SOLUSDT,5m,101.69,102.58,101.12,102.01,22668.2
1771122900000000,SOLUSDT,5m,102.05,102.55,101.32,101.82,10749.2
1771123200000000,SOLUSDT,5m,101.86,102.39,101.05,101.58,20226.0
