timestamp_ms,symbol,timeframe,open,high,low,close,volume
1786811583000000,SOLUSDT,5m,99.91,100.25,99.32,99.98,13095.1
1786811883000000,SOLUSDT,5m,100.01,100.49,99.39,100.15,19627.7
1786812183000000,SOLUSDT,5m,100.13,100.52,99.41,100.01,12205.3
1786812483000000,SOLUSDT,5m,100.01,100.53,98.65,99.44,23160.5
1786812783000000,SOLUSDT,5m,99.44,100.14,98.02,98.92,24026.1
1786813083000000,SOLUSDT,5m,98.91,99.49,98.06,98.68,11121.4
1786813383000000,SOLUSDT,5m,98.76,99.74,98.11,99.10,19257.2
1786813683000000,SOLUSDT,5m,99.15,100.17,98.49,99.58,13876.2
1786813983000000,SOLUSDT,5m,99.92,100.56,99.06,99.74,24112.5
1786814283000000,SOLUSDT,5m,99.86,100.47,99.14,99.93,11785.1
1786814583000000,SOLUSDT,5m,99.49,100.22,98.72,99.67,26027.2
1786814883000000,SOLUSDT,5m,98.99,99.78,98.06,99.23,29694.2
1786815183000000,SOLUSDT,5m,99.04,99.37,98.70,99.01,10553.9
1786815483000000,SOLUSDT,5m,99.15,99.47,98.53,99.09,17697.1
1786815783000000,SOLUSDT,5m,99.27,99.69,98.65,99.22,9586.4
1786816083000000,SOLUSDT,5m,99.64,100.21,98.68,99.40,22798.2
1786816383000000,SOLUSDT,5m,99.79,100.72,99.02,100.07,27868.2
1786816683000000,SOLUSDT,5m,100.11,101.08,99.48,100.45,15101.3
1786816983000000,SOLUSDT,5m,100.49,101.43,99.83,100.79,28810.6
1786817283000000,SOLUSDT,5m,100.82,101.32,99.96,100.64,13575.8
1786817583000000,SOLUSDT,5m,100.63,101.10,99.69,100.38,24352.2
1786817883000000,SOLUSDT,5m,100.37,101.40,99.60,100.74,26890.0
1786818183000000,SOLUSDT,5m,100.75,101.59,99.94,101.03,16958.9
1786818483000000,SOLUSDT,5m,101.05,101.59,100.40,101.14,10051.7
1786818783000000,SOLUSDT,5m,101.23,101.74,100.81,101.20,12119.4
1786819083000000,SOLUSDT,5m,101.42,102.06,100.93,101.35,19485.8
1786819383000000,SOLUSDT,5m,101.32,101.86,100.71,101.39,13321.0
1786819683000000,SOLUSDT,5m,100.80,101.68,99.86,101.11,25298.6
1786819983000000,SOLUSDT,5m,100.26,101.25,99.23,100.53,25854.6
1786820283000000,SOLUSDT,5m,99.94,100.63,99.24,100.06,11551.5
1786820583000000,SOLUSDT,5m,100.21,101.02,99.40,100.02,18474.9
1786820883000000,SOLUSDT,5m,100.68,101.47,99.83,100.43,13671.7
1786821183000000,SOLUSDT,5m,100.84,101.98,100.24,101.18,24863.0
1786821483000000,SOLUSDT,5m,101.19,101.89,100.36,101.01,12125.1
1786821783000000,SOLUSDT,5m,101.03,101.70,99.81,100.55,28632.2
1786822083000000,SOLUSDT,5m,100.55,101.34,99.21,100.11,33218.5
1786822383000000,SOLUSDT,5m,100.18,100.55,99.83,100.26,12970.8
1786822683000000,SOLUSDT,5m,100.27,100.83,99.86,100.40,21855.2
1786822983000000,SOLUSDT,5m,100.39,101.03,99.93,100.52,12190.4
1786823283000000,SOLUSDT,5m,100.44,101.38,99.55,100.91,26674.7
1786823583000000,SOLUSDT,5m,101.15,101.69,99.98,100.96,29767.3
1786823883000000,SOLUSDT,5m,101.53,102.06,100.57,101.34,15839.7
1786824183000000,SOLUSDT,5m,101.93,102.59,101.19,101.77,27778.3
1786824483000000,SOLUSDT,5m,101.90,102.60,101.36,102.01,14183.5
1786824783000000,SOLUSDT,5m,101.68,102.39,101.07,101.78,27002.6
1786825083000000,SOLUSDT,5m,101.89,102.52,100.86,101.67,34608.3
1786825383000000,SOLUSDT,5m,102.21,102.85,101.30,102.03,21661.3
1786825683000000,SOLUSDT,5m,102.36,102.84,101.72,102.29,11899.0
1786825983000000,SOLUSDT,5m,102.41,102.95,101.99,102.45,13342.7
1786826283000000,SOLUSDT,5m,102.55,103.26,102.11,102.63,18374.1
1786826583000000,SOLUSDT,5m,102.65,103.35,102.10,102.55,12785.3
1786826883000000,SOLUSDT,5m,102.50,103.40,101.43,102.03,27530.2
1786827183000000,SOLUSDT,5m,101.89,102.63,100.55,101.48,33499.3
1786827483000000,SOLUSDT,5m,101.37,101.98,100.56,101.22,15859.8
1786827783000000,SOLUSDT,5m,101.18,102.35,100.54,101.57,23923.2
1786828083000000,SOLUSDT,5m,101.53,102.73,100.82,102.06,16987.0
1786828383000000,SOLUSDT,5m,102.34,103.09,101.44,102.17,26108.4
1786828683000000,SOLUSDT,5m,102.31,103.13,101.59,102.43,11674.0
1786828983000000,SOLUSDT,5m,101.94,102.89,101.17,102.17,26263.0
1786829283000000,SOLUSDT,5m,101.47,102.53,100.54,101.76,33242.4
1786829583000000,SOLUSDT,5m,101.50,101.87,101.09,101.46,12952.9
1786829883000000,SOLUSDT,5m,101.67,102.21,101.15,101.57,23793.6
1786830183000000,SOLUSDT,5m,101.81,102.52,101.25,101.70,14244.8
1786830483000000,SOLUSDT,5m,102.14,102.89,101.18,101.88,30363.6
1786830783000000,SOLUSDT,5m,102.24,103.48,101.53,102.55,31711.0
1786831083000000,SOLUSDT,5m,102.62,103.48,101.78,102.90,15576.3
1786831383000000,SOLUSDT,5m,103.05,104.01,102.43,103.28,27986.4
1786831683000000,SOLUSDT,5m,103.36,103.99,102.57,103.14,13821.9
1786831983000000,SOLUSDT,5m,103.16,103.79,102.27,102.94,27378.7
1786832283000000,SOLUSDT,5m,102.89,104.26,102.14,103.37,36533.1
1786832583000000,SOLUSDT,5m,103.31,104.53,102.57,103.68,22872.1
1786832883000000,SOLUSDT,5m,103.65,104.39,103.06,103.79,13300.1
