timestamp_ms,symbol,timeframe,open,high,low,close,volume
1790421388000000,SOLUSDT,5m,119.91,120.17,119.52,119.99,10611.0
1790421688000000,SOLUSDT,5m,120.04,120.38,119.63,120.17,11941.8
1790421988000000,SOLUSDT,5m,120.17,120.39,119.64,120.02,11707.1
1790422288000000,SOLUSDT,5m,120.03,120.43,118.70,119.34,17269.6
1790422588000000,SOLUSDT,5m,119.35,119.88,118.01,118.74,16920.7
1790422888000000,SOLUSDT,5m,118.71,119.17,117.95,118.49,13829.6
1790423188000000,SOLUSDT,5m,118.53,119.38,118.03,118.95,13231.7
1790423488000000,SOLUSDT,5m,118.98,119.97,118.47,119.51,14369.8
1790423788000000,SOLUSDT,5m,119.89,120.40,119.16,119.69,17229.8
1790424088000000,SOLUSDT,5m,119.85,120.33,119.34,119.93,15503.0
1790424388000000,SOLUSDT,5m,119.40,120.05,118.79,119.62,18656.3
1790424688000000,SOLUSDT,5m,118.81,119.51,118.11,119.11,20000.0
1790424988000000,SOLUSDT,5m,118.86,119.08,118.60,118.83,9094.2
1790425288000000,SOLUSDT,5m,118.99,119.19,118.56,118.92,9832.2
1790425588000000,SOLUSDT,5m,119.16,119.39,118.72,119.09,9929.0
1790425888000000,SOLUSDT,5m,119.57,120.02,118.77,119.31,16094.9
1790426188000000,SOLUSDT,5m,119.75,120.57,119.22,120.08,19563.3
1790426488000000,SOLUSDT,5m,120.14,121.08,119.64,120.55,20762.4
1790426788000000,SOLUSDT,5m,120.61,121.43,120.09,120.96,23175.1
1790427088000000,SOLUSDT,5m,120.99,121.37,120.23,120.74,21151.9
1790427388000000,SOLUSDT,5m,120.73,121.12,119.92,120.45,19543.5
1790427688000000,SOLUSDT,5m,120.48,121.38,119.86,120.89,19874.2
1790427988000000,SOLUSDT,5m,120.91,121.67,120.30,121.27,19369.5
1790428288000000,SOLUSDT,5m,121.27,121.71,120.81,121.39,16462.3
1790428588000000,SOLUSDT,5m,121.51,121.80,121.23,121.47,9762.4
1790428888000000,SOLUSDT,5m,121.70,122.10,121.36,121.63,11987.2
1790429188000000,SOLUSDT,5m,121.59,121.96,121.22,121.66,13021.8
1790429488000000,SOLUSDT,5m,120.99,121.82,120.25,121.34,19209.3
1790429788000000,SOLUSDT,5m,120.36,121.24,119.54,120.66,18374.0
1790430088000000,SOLUSDT,5m,119.95,120.57,119.40,120.08,14350.5
1790430388000000,SOLUSDT,5m,120.27,120.89,119.60,120.04,12682.6
1790430688000000,SOLUSDT,5m,120.82,121.42,120.05,120.52,14251.9
1790430988000000,SOLUSDT,5m,121.03,122.02,120.54,121.42,18037.0
1790431288000000,SOLUSDT,5m,121.44,121.90,120.79,121.25,16287.4
1790431588000000,SOLUSDT,5m,121.23,121.78,120.10,120.69,20917.8
1790431888000000,SOLUSDT,5m,120.70,121.24,119.46,120.14,22633.2
1790432188000000,SOLUSDT,5m,120.22,120.50,119.95,120.28,11174.0
1790432488000000,SOLUSDT,5m,120.31,120.75,120.05,120.47,11962.7
1790432788000000,SOLUSDT,5m,120.46,120.97,120.16,120.63,12360.2
1790433088000000,SOLUSDT,5m,120.53,121.46,119.88,121.12,18587.4
1790433388000000,SOLUSDT,5m,121.40,121.77,120.49,121.17,20965.9
1790433688000000,SOLUSDT,5m,121.87,122.30,120.98,121.62,22267.6
1790433988000000,SOLUSDT,5m,122.34,122.87,121.68,122.13,23101.0
1790434288000000,SOLUSDT,5m,122.28,122.88,121.88,122.41,22831.1
1790434588000000,SOLUSDT,5m,122.00,122.58,121.54,122.14,22173.1
1790434888000000,SOLUSDT,5m,122.25,122.74,121.39,122.00,25658.8
1790435188000000,SOLUSDT,5m,122.66,123.13,121.93,122.45,24240.3
1790435488000000,SOLUSDT,5m,122.84,123.22,122.34,122.78,18844.2
1790435788000000,SOLUSDT,5m,122.90,123.27,122.63,122.97,10386.5
1790436088000000,SOLUSDT,5m,123.08,123.55,122.79,123.17,11043.9
1790436388000000,SOLUSDT,5m,123.20,123.62,122.80,123.06,12380.9
1790436688000000,SOLUSDT,5m,123.01,123.76,121.97,122.46,20852.8
1790436988000000,SOLUSDT,5m,122.32,122.89,121.07,121.79,23771.2
1790437288000000,SOLUSDT,5m,121.68,122.16,120.94,121.46,19585.6
1790437588000000,SOLUSDT,5m,121.43,122.48,120.96,121.92,16182.1
1790437888000000,SOLUSDT,5m,121.86,123.03,121.31,122.48,17377.3
1790438188000000,SOLUSDT,5m,122.82,123.44,122.04,122.64,18682.7
1790438488000000,SOLUSDT,5m,122.79,123.44,122.30,122.91,15680.1
1790438788000000,SOLUSDT,5m,122.36,123.19,121.76,122.63,19530.4
1790439088000000,SOLUSDT,5m,121.79,122.71,121.12,122.12,23296.4
1790439388000000,SOLUSDT,5m,121.79,122.07,121.51,121.75,11461.7
1790439688000000,SOLUSDT,5m,121.99,122.36,121.62,121.87,13238.4
1790439988000000,SOLUSDT,5m,122.16,122.57,121.75,122.03,14412.1
1790440288000000,SOLUSDT,5m,122.55,123.13,121.69,122.26,20750.1
1790440588000000,SOLUSDT,5m,122.71,123.72,122.19,123.06,21751.3
1790440888000000,SOLUSDT,5m,123.15,123.96,122.46,123.49,21432.4
1790441188000000,SOLUSDT,5m,123.64,124.52,123.16,123.96,23171.7
1790441488000000,SOLUSDT,5m,124.02,124.51,123.33,123.79,22619.6
1790441788000000,SOLUSDT,5m,123.77,124.25,123.00,123.50,23200.5
1790442088000000,SOLUSDT,5m,123.42,124.72,122.85,124.06,28127.4
1790442388000000,SOLUSDT,5m,123.98,125.02,123.43,124.42,26433.7
1790442688000000,SOLUSDT,5m,124.38,124.98,123.94,124.54,21401.0
