timestamp_ms,symbol,timeframe,open,high,low,close,volume
1794522202000000,SOLUSDT,5m,119.91,120.17,119.51,119.99,10929.3
1794522502000000,SOLUSDT,5m,120.04,120.38,119.63,120.17,12300.1
1794522802000000,SOLUSDT,5m,120.17,120.39,119.64,120.02,12058.3
1794523102000000,SOLUSDT,5m,120.02,120.43,118.70,119.34,17787.7
1794523402000000,SOLUSDT,5m,119.34,119.89,118.01,118.74,17428.3
1794523702000000,SOLUSDT,5m,118.70,119.18,117.95,118.49,14244.5
1794524002000000,SOLUSDT,5m,118.53,119.39,118.03,118.95,13509.6
1794524302000000,SOLUSDT,5m,118.98,119.98,118.47,119.51,14671.6
1794524602000000,SOLUSDT,5m,119.89,120.41,119.16,119.69,17591.6
1794524902000000,SOLUSDT,5m,119.85,120.33,119.34,119.93,15828.6
1794525202000000,SOLUSDT,5m,119.40,120.05,118.79,119.62,19010.8
1794525502000000,SOLUSDT,5m,118.81,119.51,118.11,119.10,20380.0
1794525802000000,SOLUSDT,5m,118.86,119.08,118.60,118.83,9185.1
1794526102000000,SOLUSDT,5m,118.99,119.19,118.56,118.92,9930.5
1794526402000000,SOLUSDT,5m,119.16,119.39,118.72,119.09,10028.3
1794526702000000,SOLUSDT,5m,119.57,120.02,118.77,119.31,16255.8
1794527002000000,SOLUSDT,5m,119.75,120.58,119.21,120.08,19758.9
1794527302000000,SOLUSDT,5m,120.13,121.09,119.63,120.55,20970.0
1794527602000000,SOLUSDT,5m,120.61,121.44,120.08,120.96,23615.4
1794527902000000,SOLUSDT,5m,120.99,121.38,120.23,120.74,21553.8
1794528202000000,SOLUSDT,5m,120.73,121.13,119.92,120.45,19875.7
1794528502000000,SOLUSDT,5m,120.48,121.39,119.86,120.89,20212.1
1794528802000000,SOLUSDT,5m,120.91,121.68,120.30,121.27,19698.8
1794529102000000,SOLUSDT,5m,121.27,121.71,120.81,121.39,16742.2
1794529402000000,SOLUSDT,5m,121.51,121.81,121.23,121.47,10016.2
1794529702000000,SOLUSDT,5m,121.70,122.11,121.36,121.63,12298.9
1794530002000000,SOLUSDT,5m,121.59,121.97,121.22,121.66,13360.4
1794530302000000,SOLUSDT,5m,120.99,121.83,120.25,121.34,19708.7
1794530602000000,SOLUSDT,5m,120.36,121.25,119.54,120.66,18851.7
1794530902000000,SOLUSDT,5m,119.95,120.58,119.40,120.08,14723.6
1794531202000000,SOLUSDT,5m,120.26,120.89,119.59,120.04,12987.0
1794531502000000,SOLUSDT,5m,120.81,121.42,120.04,120.52,14593.9
1794531802000000,SOLUSDT,5m,121.02,122.02,120.53,121.41,18469.9
1794532102000000,SOLUSDT,5m,121.43,121.90,120.78,121.24,16678.3
1794532402000000,SOLUSDT,5m,121.22,121.78,120.09,120.68,21419.8
1794532702000000,SOLUSDT,5m,120.69,121.24,119.45,120.14,23176.4
1794533002000000,SOLUSDT,5m,120.21,120.50,119.94,120.27,11341.6
1794533302000000,SOLUSDT,5m,120.31,120.75,120.05,120.47,12142.1
1794533602000000,SOLUSDT,5m,120.46,120.98,120.16,120.63,12545.6
1794533902000000,SOLUSDT,5m,120.53,121.46,119.88,121.12,18866.2
1794534202000000,SOLUSDT,5m,121.40,121.77,120.49,121.17,21238.5
1794534502000000,SOLUSDT,5m,121.87,122.30,120.98,121.62,22557.1
1794534802000000,SOLUSDT,5m,122.34,122.88,121.68,122.13,23193.4
1794535102000000,SOLUSDT,5m,122.28,122.89,121.88,122.41,22922.4
1794535402000000,SOLUSDT,5m,122.00,122.59,121.54,122.14,22261.8
1794535702000000,SOLUSDT,5m,122.25,122.74,121.39,122.00,25761.4
1794536002000000,SOLUSDT,5m,122.66,123.13,121.93,122.45,24337.3
1794536302000000,SOLUSDT,5m,122.84,123.22,122.34,122.78,18919.6
1794536602000000,SOLUSDT,5m,122.90,123.28,122.63,122.97,10521.5
1794536902000000,SOLUSDT,5m,123.08,123.56,122.79,123.17,11187.5
1794537202000000,SOLUSDT,5m,123.20,123.63,122.80,123.06,12517.1
1794537502000000,SOLUSDT,5m,123.02,123.77,121.96,122.46,21082.2
1794537802000000,SOLUSDT,5m,122.33,122.90,121.06,121.79,24032.7
1794538102000000,SOLUSDT,5m,121.68,122.16,120.94,121.46,19801.0
1794538402000000,SOLUSDT,5m,121.43,122.49,120.96,121.93,16505.7
1794538702000000,SOLUSDT,5m,121.86,123.04,121.31,122.49,17724.8
1794539002000000,SOLUSDT,5m,122.82,123.45,122.04,122.64,19056.4
1794539302000000,SOLUSDT,5m,122.79,123.45,122.30,122.91,15993.7
1794539602000000,SOLUSDT,5m,122.36,123.20,121.76,122.63,19921.0
1794539902000000,SOLUSDT,5m,121.79,122.72,121.12,122.12,23762.3
1794540202000000,SOLUSDT,5m,121.79,122.07,121.50,121.75,11668.0
1794540502000000,SOLUSDT,5m,121.98,122.36,121.62,121.87,13476.7
1794540802000000,SOLUSDT,5m,122.15,122.57,121.74,122.03,14671.5
1794541102000000,SOLUSDT,5m,122.54,123.12,121.68,122.26,21123.6
1794541402000000,SOLUSDT,5m,122.71,123.72,122.18,123.06,22142.8
1794541702000000,SOLUSDT,5m,123.15,123.96,122.45,123.49,21818.2
1794542002000000,SOLUSDT,5m,123.64,124.52,123.15,123.96,23380.2
1794542302000000,SOLUSDT,5m,124.02,124.51,123.32,123.79,22823.2
1794542602000000,SOLUSDT,5m,123.77,124.25,122.99,123.50,23409.3
1794542902000000,SOLUSDT,5m,123.42,124.72,122.84,124.06,28380.5
1794543202000000,SOLUSDT,5m,123.98,125.02,123.43,124.42,26724.5
1794543502000000,SOLUSDT,5m,124.38,124.98,123.94,124.54,21636.4
