timestamp_ms,symbol,timeframe,open,high,low,close,volume
1769330000000000,SOLUSDT,5m,100.22,100.45,99.89,100.12,7958.9
1769330300000000,SOLUSDT,5m,100.20,100.49,99.78,100.07,9135.0
1769330600000000,SOLUSDT,5m,100.10,100.45,99.82,100.17,8559.7
1769330900000000,SOLUSDT,5m,100.36,101.30,99.88,100.81,14944.9
1769331200000000,SOLUSDT,5m,100.28,101.48,99.68,100.88,16996.8
1769331500000000,SOLUSDT,5m,99.93,100.71,99.43,100.21,14288.0
1769331800000000,SOLUSDT,5m,99.92,100.59,99.45,100.12,12958.5
1769332100000000,SOLUSDT,5m,100.06,100.47,99.30,99.71,11582.9
1769332400000000,SOLUSDT,5m,99.65,100.07,98.74,99.16,12809.2
1769332700000000,SOLUSDT,5m,100.02,100.46,99.13,99.57,13351.1
1769333000000000,SOLUSDT,5m,99.76,100.47,99.30,100.02,11650.7
1769333300000000,SOLUSDT,5m,99.66,100.73,99.06,100.13,15685.1
1769333600000000,SOLUSDT,5m,99.91,100.39,99.11,99.60,16815.0
1769333900000000,SOLUSDT,5m,99.82,100.11,99.61,99.89,8536.5
1769334200000000,SOLUSDT,5m,99.84,100.23,99.57,99.97,9341.5
1769334500000000,SOLUSDT,5m,100.32,100.81,100.00,100.49,10766.9
1769334800000000,SOLUSDT,5m,100.31,101.04,99.89,100.62,14359.5
1769335100000000,SOLUSDT,5m,99.87,100.69,99.41,100.22,15983.2
1769335400000000,SOLUSDT,5m,99.88,100.82,99.37,100.31,17822.7
1769335700000000,SOLUSDT,5m,99.93,100.83,99.41,100.31,18711.8
1769336000000000,SOLUSDT,5m,99.68,100.11,99.09,99.51,16392.7
1769336300000000,SOLUSDT,5m,100.22,100.68,99.45,99.91,15256.7
1769336600000000,SOLUSDT,5m,100.01,101.03,99.45,100.48,17576.8
1769336900000000,SOLUSDT,5m,100.08,100.96,99.56,100.43,18586.9
1769337200000000,SOLUSDT,5m,100.23,100.46,99.88,100.12,8595.5
1769337500000000,SOLUSDT,5m,100.20,100.50,99.76,100.07,9865.7
1769337800000000,SOLUSDT,5m,100.10,100.46,99.81,100.17,9244.5
1769338100000000,SOLUSDT,5m,100.44,101.40,99.95,100.90,16140.5
1769338400000000,SOLUSDT,5m,100.36,101.59,99.74,100.96,18356.6
1769338700000000,SOLUSDT,5m,99.92,100.73,99.41,100.22,15431.1
1769339000000000,SOLUSDT,5m,99.92,100.62,99.42,100.13,13995.2
1769339300000000,SOLUSDT,5m,100.06,100.49,99.28,99.70,12509.5
1769339600000000,SOLUSDT,5m,99.57,100.01,98.63,99.07,13833.9
1769339900000000,SOLUSDT,5m,100.03,100.49,99.09,99.55,14419.2
1769340200000000,SOLUSDT,5m,99.76,100.48,99.30,100.02,12582.8
1769340500000000,SOLUSDT,5m,99.65,100.77,99.02,100.15,16940.0
1769340800000000,SOLUSDT,5m,99.91,100.41,99.08,99.59,18160.2
1769341100000000,SOLUSDT,5m,99.82,100.12,99.59,99.90,9219.4
1769341400000000,SOLUSDT,5m,99.83,100.26,99.55,99.98,10088.9
1769341700000000,SOLUSDT,5m,100.40,100.90,100.07,100.57,11628.2
1769342000000000,SOLUSDT,5m,100.38,101.16,99.94,100.72,15508.2
1769342300000000,SOLUSDT,5m,99.87,100.71,99.38,100.23,17261.9
1769342600000000,SOLUSDT,5m,99.88,100.84,99.36,100.32,19248.5
1769342900000000,SOLUSDT,5m,99.93,100.85,99.39,100.31,20208.7
1769343200000000,SOLUSDT,5m,99.60,100.04,99.00,99.44,17704.0
1769343500000000,SOLUSDT,5m,100.22,100.70,99.43,99.91,16477.2
1769343800000000,SOLUSDT,5m,100.00,101.08,99.41,100.50,18983.0
1769344100000000,SOLUSDT,5m,100.08,100.98,99.53,100.44,20074.0
1769344400000000,SOLUSDT,5m,100.22,100.47,99.88,100.12,9232.2
1769344700000000,SOLUSDT,5m,100.20,100.51,99.75,100.06,10596.5
1769345000000000,SOLUSDT,5m,100.10,100.46,99.81,100.18,9929.2
1769345300000000,SOLUSDT,5m,100.52,101.49,100.01,100.98,17336.1
1769345600000000,SOLUSDT,5m,100.43,101.70,99.79,101.06,19716.2
1769345900000000,SOLUSDT,5m,99.92,100.76,99.39,100.23,16574.2
1769346200000000,SOLUSDT,5m,99.91,100.64,99.41,100.13,15031.8
1769346500000000,SOLUSDT,5m,100.07,100.51,99.25,99.69,13436.2
1769346800000000,SOLUSDT,5m,99.50,99.96,98.51,98.97,14858.7
1769347100000000,SOLUSDT,5m,100.03,100.52,99.06,99.54,15487.3
1769347400000000,SOLUSDT,5m,99.77,100.49,99.29,100.01,13514.9
1769347700000000,SOLUSDT,5m,99.64,100.82,98.99,100.17,18194.8
1769348000000000,SOLUSDT,5m,99.91,100.43,99.06,99.58,19505.4
1769348300000000,SOLUSDT,5m,99.82,100.12,99.59,99.90,9902.4
1769348600000000,SOLUSDT,5m,99.83,100.29,99.52,99.99,10836.2
1769348900000000,SOLUSDT,5m,100.47,101.01,100.13,100.67,12489.6
1769349200000000,SOLUSDT,5m,100.46,101.26,100.00,100.81,16657.0
1769349500000000,SOLUSDT,5m,99.86,100.73,99.37,100.24,18540.6
1769349800000000,SOLUSDT,5m,99.87,100.87,99.33,100.32,20674.4
1769350100000000,SOLUSDT,5m,99.93,100.88,99.37,100.32,21705.6
1769350400000000,SOLUSDT,5m,99.52,99.96,98.91,99.36,19015.5
1769350700000000,SOLUSDT,5m,100.23,100.72,99.41,99.90,17697.8
1769351000000000,SOLUSDT,5m,99.99,101.12,99.39,100.52,20389.1
1769351300000000,SOLUSDT,5m,100.07,101.01,99.51,100.45,21560.9
