timestamp_ms,symbol,timeframe,open,high,low,close,volume
1781028633000000,SOLUSDT,5m,99.92,100.16,99.57,100.02,8587.5
1781028933000000,SOLUSDT,5m,100.03,100.34,99.68,100.16,9866.9
1781029233000000,SOLUSDT,5m,100.16,100.33,99.78,100.08,8746.3
1781029533000000,SOLUSDT,5m,100.08,100.40,99.13,99.60,13002.4
1781029833000000,SOLUSDT,5m,99.62,100.08,98.47,99.06,13939.5
1781030133000000,SOLUSDT,5m,99.08,99.48,98.33,98.81,12431.2
1781030433000000,SOLUSDT,5m,98.87,99.23,98.28,98.68,12164.7
1781030733000000,SOLUSDT,5m,98.71,99.42,98.34,99.07,11207.9
1781031033000000,SOLUSDT,5m,99.43,99.81,98.82,99.21,12611.6
1781031333000000,SOLUSDT,5m,99.81,100.14,99.18,99.60,14382.6
1781031633000000,SOLUSDT,5m,99.71,100.12,99.31,99.82,11490.1
1781031933000000,SOLUSDT,5m,99.26,99.85,98.65,99.52,14894.6
1781032233000000,SOLUSDT,5m,99.06,99.68,98.66,99.20,15182.5
1781032533000000,SOLUSDT,5m,99.04,99.18,98.75,99.01,7871.0
1781032833000000,SOLUSDT,5m,99.17,99.35,98.83,99.11,8284.8
1781033133000000,SOLUSDT,5m,99.32,99.56,98.92,99.24,9295.4
1781033433000000,SOLUSDT,5m,99.39,99.98,99.00,99.62,13552.2
1781033733000000,SOLUSDT,5m,99.64,100.36,99.26,99.96,16081.3
1781034033000000,SOLUSDT,5m,99.99,100.80,99.55,100.36,18529.3
1781034333000000,SOLUSDT,5m,100.37,101.13,99.85,100.74,19471.6
1781034633000000,SOLUSDT,5m,100.74,101.07,100.13,100.60,16014.4
1781034933000000,SOLUSDT,5m,100.56,100.94,99.84,100.31,14183.5
1781035233000000,SOLUSDT,5m,100.28,101.04,99.72,100.64,15325.6
1781035533000000,SOLUSDT,5m,100.66,101.35,100.12,100.99,17389.9
1781035833000000,SOLUSDT,5m,101.10,101.37,100.84,101.06,8657.1
1781036133000000,SOLUSDT,5m,101.26,101.65,100.97,101.19,10743.4
1781036433000000,SOLUSDT,5m,101.22,101.48,100.93,101.24,10308.1
1781036733000000,SOLUSDT,5m,100.78,101.36,100.21,101.05,14857.2
1781037033000000,SOLUSDT,5m,100.27,100.99,99.56,100.53,14961.7
1781037333000000,SOLUSDT,5m,99.89,100.48,99.37,100.04,12552.6
1781037633000000,SOLUSDT,5m,99.71,100.30,99.33,99.84,11406.2
1781037933000000,SOLUSDT,5m,99.99,100.40,99.46,99.79,11036.4
1781038233000000,SOLUSDT,5m,100.14,100.97,99.75,100.52,13499.1
1781038533000000,SOLUSDT,5m,100.52,101.40,100.11,100.97,15825.0
1781038833000000,SOLUSDT,5m,100.93,101.32,100.26,100.69,13649.7
1781039133000000,SOLUSDT,5m,100.66,101.15,99.60,100.21,17560.9
1781039433000000,SOLUSDT,5m,100.24,100.65,99.55,100.03,19020.0
1781039733000000,SOLUSDT,5m,100.01,100.28,99.81,100.06,9557.4
1781040033000000,SOLUSDT,5m,100.07,100.45,99.85,100.19,10039.0
1781040333000000,SOLUSDT,5m,100.16,100.50,99.78,100.31,10434.9
1781040633000000,SOLUSDT,5m,100.51,100.79,99.87,100.37,14192.1
1781040933000000,SOLUSDT,5m,100.85,101.18,100.18,100.67,17171.3
1781041233000000,SOLUSDT,5m,101.30,101.75,100.72,101.08,18515.4
1781041533000000,SOLUSDT,5m,101.73,102.20,101.09,101.50,21272.6
1781041833000000,SOLUSDT,5m,101.70,102.12,101.30,101.76,18292.0
1781042133000000,SOLUSDT,5m,101.37,101.86,100.95,101.50,18020.4
1781042433000000,SOLUSDT,5m,101.61,102.03,100.87,101.38,18659.3
1781042733000000,SOLUSDT,5m,101.96,102.35,101.28,101.78,19320.6
1781043033000000,SOLUSDT,5m,102.08,102.39,101.82,102.12,8931.6
1781043333000000,SOLUSDT,5m,102.21,102.66,101.95,102.28,9738.3
1781043633000000,SOLUSDT,5m,102.33,102.64,102.06,102.28,9790.9
1781043933000000,SOLUSDT,5m,102.24,102.77,101.51,101.86,16285.7
1781044233000000,SOLUSDT,5m,101.72,102.20,100.68,101.30,19675.4
1781044533000000,SOLUSDT,5m,101.19,101.60,100.49,100.96,17176.3
1781044833000000,SOLUSDT,5m,100.94,101.41,100.32,100.71,14299.7
1781045133000000,SOLUSDT,5m,100.72,101.47,100.30,101.10,12942.6
1781045433000000,SOLUSDT,5m,101.45,101.89,100.78,101.25,13288.0
1781045733000000,SOLUSDT,5m,101.91,102.32,101.26,101.70,14510.2
1781046033000000,SOLUSDT,5m,101.83,102.35,101.41,101.96,12184.9
1781046333000000,SOLUSDT,5m,101.40,102.22,100.81,101.71,17533.5
1781046633000000,SOLUSDT,5m,101.16,101.82,100.69,101.29,19076.0
1781046933000000,SOLUSDT,5m,101.15,101.43,100.90,101.12,10374.3
1781047233000000,SOLUSDT,5m,101.29,101.61,100.96,101.19,11472.3
1781047533000000,SOLUSDT,5m,101.40,101.71,101.00,101.31,11502.9
1781047833000000,SOLUSDT,5m,101.46,102.19,101.08,101.69,14568.0
1781048133000000,SOLUSDT,5m,101.75,102.34,101.22,101.99,16444.7
1781048433000000,SOLUSDT,5m,102.11,102.94,101.72,102.47,18706.9
1781048733000000,SOLUSDT,5m,102.51,103.43,102.08,102.92,21183.8
1781049033000000,SOLUSDT,5m,102.91,103.32,102.39,102.80,19101.7
1781049333000000,SOLUSDT,5m,102.75,103.23,102.05,102.50,19477.1
1781049633000000,SOLUSDT,5m,102.42,103.44,101.92,102.92,20056.2
1781049933000000,SOLUSDT,5m,102.85,103.70,102.37,103.24,21571.8
