timestamp_ms,symbol,timeframe,open,high,low,close,volume
1770240000000000,SOLUSDT,5m,99.97,100.26,99.76,100.05,6815.3
1770240300000000,SOLUSDT,5m,100.07,100.43,99.83,100.19,7845.8
1770240600000000,SOLUSDT,5m,100.22,100.47,99.85,100.11,8174.2
1770240900000000,SOLUSDT,5m,100.07,100.49,99.19,99.62,13021.3
1770241200000000,SOLUSDT,5m,99.55,100.04,98.53,99.03,13198.7
1770241500000000,SOLUSDT,5m,98.99,99.36,98.42,98.79,11017.9
1770241800000000,SOLUSDT,5m,98.80,99.49,98.42,99.11,9738.2
1770242100000000,SOLUSDT,5m,99.16,99.90,98.80,99.54,10794.0
1770242400000000,SOLUSDT,5m,99.60,100.36,99.21,99.97,12147.2
1770242700000000,SOLUSDT,5m,99.96,100.32,99.43,99.79,10498.8
1770243000000000,SOLUSDT,5m,99.74,100.17,98.92,99.36,12960.6
1770243300000000,SOLUSDT,5m,99.31,99.77,98.48,98.94,14358.6
1770243600000000,SOLUSDT,5m,98.97,99.21,98.79,99.03,7038.0
1770243900000000,SOLUSDT,5m,99.05,99.39,98.83,99.17,7890.4
1770244200000000,SOLUSDT,5m,99.19,99.56,98.94,99.31,8685.9
1770244500000000,SOLUSDT,5m,99.30,100.11,98.89,99.71,13089.3
1770244800000000,SOLUSDT,5m,99.66,100.46,99.25,100.05,13831.6
1770245100000000,SOLUSDT,5m,100.01,100.79,99.59,100.37,14176.6
1770245400000000,SOLUSDT,5m,100.37,101.08,99.98,100.69,15078.5
1770245700000000,SOLUSDT,5m,100.72,101.05,100.20,100.53,13906.0
1770246000000000,SOLUSDT,5m,100.55,100.91,99.94,100.30,13534.7
1770246300000000,SOLUSDT,5m,100.28,101.14,99.85,100.71,15609.3
1770246600000000,SOLUSDT,5m,100.67,101.38,100.28,100.98,15717.0
1770246900000000,SOLUSDT,5m,100.97,101.39,100.67,101.09,12627.9
1770247200000000,SOLUSDT,5m,101.14,101.44,100.92,101.22,7630.4
1770247500000000,SOLUSDT,5m,101.25,101.62,101.00,101.37,8784.1
1770247800000000,SOLUSDT,5m,101.39,101.66,101.01,101.28,9137.5
1770248100000000,SOLUSDT,5m,101.24,101.67,100.35,100.78,14556.0
1770248400000000,SOLUSDT,5m,100.71,101.22,99.66,100.17,14777.2
1770248700000000,SOLUSDT,5m,100.13,100.51,99.54,99.92,12347.0
1770249000000000,SOLUSDT,5m,99.94,100.65,99.54,100.25,10912.9
1770249300000000,SOLUSDT,5m,100.31,101.08,99.93,100.70,12084.9
1770249600000000,SOLUSDT,5m,100.76,101.55,100.36,101.14,13578.8
1770249900000000,SOLUSDT,5m,101.13,101.50,100.61,100.98,11736.2
1770250200000000,SOLUSDT,5m,100.92,101.36,100.09,100.53,14510.7
1770250500000000,SOLUSDT,5m,100.48,100.97,99.62,100.10,16075.7
1770250800000000,SOLUSDT,5m,100.13,100.38,99.94,100.19,7464.2
1770251100000000,SOLUSDT,5m,100.20,100.55,99.97,100.32,8368.2
1770251400000000,SOLUSDT,5m,100.35,100.75,100.09,100.49,9219.2
1770251700000000,SOLUSDT,5m,100.47,101.31,100.05,100.89,13892.9
1770252000000000,SOLUSDT,5m,100.85,101.69,100.42,101.26,14669.3
