timestamp_ms,symbol,timeframe,open,high,low,close,volume
1774736528000000,SOLUSDT,5m,99.96,100.25,99.67,100.06,8226.7
1774736828000000,SOLUSDT,5m,100.05,100.43,99.78,100.19,9635.3
1774737128000000,SOLUSDT,5m,100.18,100.41,99.78,100.05,9129.2
1774737428000000,SOLUSDT,5m,100.06,100.45,99.10,99.52,13180.5
1774737728000000,SOLUSDT,5m,99.55,100.02,98.46,98.94,13351.5
1774738028000000,SOLUSDT,5m,98.98,99.34,98.39,98.76,11633.6
1774738328000000,SOLUSDT,5m,98.80,99.49,98.42,99.14,11093.0
1774738628000000,SOLUSDT,5m,99.16,99.98,98.82,99.60,12292.4
1774738928000000,SOLUSDT,5m,99.60,100.48,99.26,100.06,14346.3
1774739228000000,SOLUSDT,5m,99.97,100.31,99.44,99.81,12456.0
1774739528000000,SOLUSDT,5m,99.77,100.14,98.95,99.38,14672.3
1774739828000000,SOLUSDT,5m,99.32,99.71,98.43,98.90,15458.0
1774740128000000,SOLUSDT,5m,98.99,99.21,98.77,99.02,7357.0
1774740428000000,SOLUSDT,5m,99.07,99.41,98.81,99.19,8568.0
1774740728000000,SOLUSDT,5m,99.20,99.58,98.92,99.32,8762.0
1774741028000000,SOLUSDT,5m,99.32,100.14,98.94,99.73,13291.9
1774741328000000,SOLUSDT,5m,99.71,100.55,99.35,100.11,15809.9
1774741628000000,SOLUSDT,5m,100.07,100.92,99.71,100.46,16731.4
1774741928000000,SOLUSDT,5m,100.42,101.13,100.01,100.76,17641.0
1774742228000000,SOLUSDT,5m,100.81,101.12,100.20,100.57,15646.6
1774742528000000,SOLUSDT,5m,100.62,100.97,99.93,100.31,14752.7
1774742828000000,SOLUSDT,5m,100.36,101.16,99.92,100.72,15410.9
1774743128000000,SOLUSDT,5m,100.74,101.37,100.31,101.01,15431.1
1774743428000000,SOLUSDT,5m,101.03,101.42,100.72,101.14,13207.1
1774743728000000,SOLUSDT,5m,101.14,101.49,100.91,101.26,8214.3
1774744028000000,SOLUSDT,5m,101.26,101.71,100.99,101.44,10451.3
1774744328000000,SOLUSDT,5m,101.40,101.72,101.02,101.30,10614.0
1774744628000000,SOLUSDT,5m,101.24,101.63,100.22,100.71,15648.8
1774744928000000,SOLUSDT,5m,100.69,101.17,99.57,100.13,14416.3
1774745228000000,SOLUSDT,5m,100.13,100.50,99.47,99.88,11649.9
1774745528000000,SOLUSDT,5m,99.95,100.65,99.54,100.22,10292.0
1774745828000000,SOLUSDT,5m,100.30,101.12,99.93,100.72,11783.5
1774746128000000,SOLUSDT,5m,100.75,101.62,100.38,101.20,14900.3
