timestamp_ms,symbol,timeframe,open,high,low,close,volume
1773245250000000,SOLUSDT,5m,99.97,100.21,99.78,100.04,6781.4
1773245550000000,SOLUSDT,5m,100.04,100.37,99.81,100.18,7926.2
1773245850000000,SOLUSDT,5m,100.17,100.40,99.74,100.00,8074.7
1773246150000000,SOLUSDT,5m,99.99,100.40,99.04,99.46,11853.0
1773246450000000,SOLUSDT,5m,99.47,99.93,98.43,98.90,12633.7
1773246750000000,SOLUSDT,5m,98.92,99.26,98.37,98.72,10720.3
1773247050000000,SOLUSDT,5m,98.75,99.62,98.34,99.22,10699.3
1773247350000000,SOLUSDT,5m,99.23,100.10,98.85,99.69,11654.4
1773247650000000,SOLUSDT,5m,99.69,100.52,99.33,100.09,13738.9
1773247950000000,SOLUSDT,5m,100.01,100.29,99.53,99.86,11159.2
1773248250000000,SOLUSDT,5m,99.83,100.18,98.98,99.40,13408.7
1773248550000000,SOLUSDT,5m,99.39,99.79,98.51,98.95,14068.2
1773248850000000,SOLUSDT,5m,99.04,99.19,98.87,99.05,6284.2
1773249150000000,SOLUSDT,5m,99.11,99.45,98.87,99.23,7634.9
1773249450000000,SOLUSDT,5m,99.25,99.58,99.01,99.34,8140.3
1773249750000000,SOLUSDT,5m,99.33,100.33,98.91,99.87,13407.5
1773250050000000,SOLUSDT,5m,99.83,100.76,99.41,100.28,15456.8
1773250350000000,SOLUSDT,5m,100.24,101.15,99.82,100.64,16160.1
1773250650000000,SOLUSDT,5m,100.62,101.32,100.16,100.95,16759.3
1773250950000000,SOLUSDT,5m,101.00,101.34,100.29,100.69,14644.6
1773251250000000,SOLUSDT,5m,100.78,101.15,99.97,100.39,13679.1
1773251550000000,SOLUSDT,5m,100.45,101.39,99.92,100.89,14557.0
1773251850000000,SOLUSDT,5m,100.92,101.59,100.52,101.20,14822.5
1773252150000000,SOLUSDT,5m,101.21,101.59,100.93,101.31,12905.2
1773252450000000,SOLUSDT,5m,101.30,101.57,101.13,101.37,7161.8
1773252750000000,SOLUSDT,5m,101.37,101.80,101.16,101.56,9066.4
1773253050000000,SOLUSDT,5m,101.52,101.81,101.11,101.36,9792.1
1773253350000000,SOLUSDT,5m,101.31,101.71,100.26,100.77,14469.2
1773253650000000,SOLUSDT,5m,100.74,101.23,99.64,100.20,13716.6
1773253950000000,SOLUSDT,5m,100.19,100.56,99.57,99.96,10667.8
1773254250000000,SOLUSDT,5m,100.03,100.87,99.59,100.43,9984.1
1773254550000000,SOLUSDT,5m,100.50,101.34,100.10,100.94,11407.2
1773254850000000,SOLUSDT,5m,100.95,101.78,100.57,101.39,14006.5
1773255150000000,SOLUSDT,5m,101.34,101.69,100.89,101.21,12232.2
1773255450000000,SOLUSDT,5m,101.17,101.62,100.32,100.74,15967.7
1773255750000000,SOLUSDT,5m,100.69,101.17,99.86,100.30,16409.5
1773256050000000,SOLUSDT,5m,100.30,100.47,100.12,100.34,7343.5
1773256350000000,SOLUSDT,5m,100.36,100.69,100.13,100.48,8560.7
1773256650000000,SOLUSDT,5m,100.50,100.82,100.25,100.59,9142.5
1773256950000000,SOLUSDT,5m,100.58,101.56,100.11,101.13,14292.1
1773257250000000,SOLUSDT,5m,101.09,102.00,100.62,101.56,16165.5
1773257550000000,SOLUSDT,5m,101.51,102.45,101.04,101.98,17692.8
1773257850000000,SOLUSDT,5m,101.97,102.77,101.56,102.33,18159.2
1773258150000000,SOLUSDT,5m,102.34,102.74,101.73,102.10,17019.9
1773258450000000,SOLUSDT,5m,102.11,102.50,101.44,101.79,16468.3
1773258750000000,SOLUSDT,5m,101.73,102.70,101.22,102.25,18622.9
1773259050000000,SOLUSDT,5m,102.24,102.92,101.83,102.55,17993.5
1773259350000000,SOLUSDT,5m,102.56,102.89,102.27,102.63,14421.2
1773259650000000,SOLUSDT,5m,102.65,102.86,102.45,102.69,7575.5
1773259950000000,SOLUSDT,5m,102.73,103.10,102.49,102.88,8690.6
1773260250000000,SOLUSDT,5m,102.87,103.14,102.47,102.73,9801.0
1773260550000000,SOLUSDT,5m,102.69,103.15,101.77,102.20,15334.3
1773260850000000,SOLUSDT,5m,102.15,102.68,101.13,101.60,16478.9
1773261150000000,SOLUSDT,5m,101.58,101.97,101.02,101.37,12991.3
1773261450000000,SOLUSDT,5m,101.37,102.21,100.90,101.81,11756.2
1773261750000000,SOLUSDT,5m,101.86,102.71,101.39,102.31,12726.8
1773262050000000,SOLUSDT,5m,102.35,103.14,101.90,102.73,13482.4
1773262350000000,SOLUSDT,5m,102.75,103.06,102.23,102.58,11404.6
1773262650000000,SOLUSDT,5m,102.56,102.98,101.71,102.14,14848.6
1773262950000000,SOLUSDT,5m,102.12,102.60,101.23,101.69,17259.4
1773263250000000,SOLUSDT,5m,101.73,101.97,101.57,101.80,8140.0
1773263550000000,SOLUSDT,5m,101.79,102.18,101.56,101.94,9892.8
1773263850000000,SOLUSDT,5m,101.90,102.33,101.64,102.04,10663.5
1773264150000000,SOLUSDT,5m,101.99,102.96,101.46,102.50,15076.6
1773264450000000,SOLUSDT,5m,102.51,103.42,101.99,102.94,16476.1
1773264750000000,SOLUSDT,5m,102.95,103.81,102.45,103.34,17267.4
1773265050000000,SOLUSDT,5m,103.38,104.16,102.93,103.74,18976.7
1773265350000000,SOLUSDT,5m,103.77,104.19,103.10,103.50,17931.7
1773265650000000,SOLUSDT,5m,103.52,103.95,102.81,103.22,18236.9
1773265950000000,SOLUSDT,5m,103.16,104.34,102.62,103.77,21668.3
1773266250000000,SOLUSDT,5m,103.70,104.49,103.27,104.03,20102.0
1773266550000000,SOLUSDT,5m,104.02,104.45,103.71,104.10,16211.5
