timestamp_ms,symbol,timeframe,open,high,low,close,volume
1786848075000000,SOLUSDT,5m,99.90,100.10,99.60,99.96,8560.7
1786848375000000,SOLUSDT,5m,99.97,100.25,99.67,100.10,9640.4
1786848675000000,SOLUSDT,5m,100.10,100.30,99.60,99.94,9625.5
1786848975000000,SOLUSDT,5m,99.97,100.34,98.82,99.38,14085.5
1786849275000000,SOLUSDT,5m,99.40,99.83,98.27,98.89,14445.3
1786849575000000,SOLUSDT,5m,98.87,99.22,98.28,98.70,12010.4
1786849875000000,SOLUSDT,5m,98.73,99.60,98.28,99.17,12153.3
1786850175000000,SOLUSDT,5m,99.19,100.10,98.73,99.69,13258.7
1786850475000000,SOLUSDT,5m,99.95,100.42,99.36,99.79,15176.7
1786850775000000,SOLUSDT,5m,99.90,100.23,99.53,99.97,12546.5
1786851075000000,SOLUSDT,5m,99.50,100.05,99.02,99.73,15088.9
1786851375000000,SOLUSDT,5m,99.01,99.60,98.43,99.28,15942.5
1786851675000000,SOLUSDT,5m,99.05,99.22,98.87,99.05,7233.1
1786851975000000,SOLUSDT,5m,99.19,99.35,98.80,99.13,8645.8
1786852275000000,SOLUSDT,5m,99.30,99.51,98.95,99.25,9035.9
1786852575000000,SOLUSDT,5m,99.74,100.15,98.90,99.44,15277.1
1786852875000000,SOLUSDT,5m,99.90,100.69,99.38,100.22,18087.9
1786853175000000,SOLUSDT,5m,100.27,101.10,99.78,100.61,18803.2
1786853475000000,SOLUSDT,5m,100.68,101.36,100.18,100.94,20347.4
1786853775000000,SOLUSDT,5m,101.02,101.38,100.24,100.71,18160.3
1786854075000000,SOLUSDT,5m,100.73,101.10,99.93,100.44,16954.1
1786854375000000,SOLUSDT,5m,100.48,101.35,99.87,100.86,17906.9
1786854675000000,SOLUSDT,5m,100.89,101.52,100.40,101.18,18157.2
1786854975000000,SOLUSDT,5m,101.19,101.54,100.82,101.29,15896.1
1786855275000000,SOLUSDT,5m,101.36,101.59,101.14,101.32,8417.8
1786855575000000,SOLUSDT,5m,101.52,101.82,101.24,101.44,10278.0
1786855875000000,SOLUSDT,5m,101.38,101.70,101.07,101.46,11007.8
1786856175000000,SOLUSDT,5m,100.83,101.53,100.20,101.17,15335.3
1786856475000000,SOLUSDT,5m,100.31,101.07,99.62,100.59,14713.6
1786856775000000,SOLUSDT,5m,100.00,100.51,99.55,100.14,11542.5
1786857075000000,SOLUSDT,5m,100.34,100.91,99.69,100.12,11026.5
1786857375000000,SOLUSDT,5m,100.86,101.36,100.17,100.60,13027.2
1786857675000000,SOLUSDT,5m,101.01,101.85,100.61,101.36,16471.3
1786857975000000,SOLUSDT,5m,101.33,101.72,100.87,101.21,14005.5
1786858275000000,SOLUSDT,5m,101.18,101.63,100.21,100.70,17945.5
1786858575000000,SOLUSDT,5m,100.69,101.14,99.68,100.25,18600.7
1786858875000000,SOLUSDT,5m,100.31,100.50,100.11,100.34,8780.1
1786859175000000,SOLUSDT,5m,100.38,100.73,100.16,100.48,10070.0
1786859475000000,SOLUSDT,5m,100.51,100.87,100.28,100.60,10725.6
1786859775000000,SOLUSDT,5m,100.53,101.48,99.87,101.15,17227.6
1786860075000000,SOLUSDT,5m,101.39,101.74,100.55,101.19,19645.2
1786860375000000,SOLUSDT,5m,101.84,102.23,101.03,101.61,20987.1
1786860675000000,SOLUSDT,5m,102.23,102.73,101.65,102.06,21240.9
1786860975000000,SOLUSDT,5m,102.15,102.72,101.75,102.29,20179.5
1786861275000000,SOLUSDT,5m,101.86,102.40,101.45,102.02,19056.7
1786861575000000,SOLUSDT,5m,102.09,102.56,101.28,101.86,22026.2
1786861875000000,SOLUSDT,5m,102.44,102.85,101.84,102.29,21327.6
1786862175000000,SOLUSDT,5m,102.59,102.86,102.22,102.55,17403.7
1786862475000000,SOLUSDT,5m,102.65,102.89,102.43,102.67,8966.9
1786862775000000,SOLUSDT,5m,102.77,103.17,102.54,102.87,9916.7
1786863075000000,SOLUSDT,5m,102.87,103.25,102.54,102.76,11225.0
1786863375000000,SOLUSDT,5m,102.70,103.31,101.80,102.22,17800.2
1786863675000000,SOLUSDT,5m,102.06,102.55,101.04,101.66,19704.3
1786863975000000,SOLUSDT,5m,101.57,101.95,100.97,101.39,15498.9
1786864275000000,SOLUSDT,5m,101.38,102.35,100.93,101.83,13253.8
1786864575000000,SOLUSDT,5m,101.83,102.80,101.31,102.32,14761.1
1786864875000000,SOLUSDT,5m,102.63,103.12,101.97,102.46,16240.9
1786865175000000,SOLUSDT,5m,102.61,103.05,102.23,102.70,13409.9
1786865475000000,SOLUSDT,5m,102.23,102.91,101.74,102.45,17264.7
1786865775000000,SOLUSDT,5m,101.76,102.54,101.20,102.03,20032.4
1786866075000000,SOLUSDT,5m,101.77,101.95,101.55,101.73,9343.5
1786866375000000,SOLUSDT,5m,101.90,102.17,101.58,101.81,11214.0
1786866675000000,SOLUSDT,5m,102.01,102.37,101.68,101.92,12141.7
1786866975000000,SOLUSDT,5m,102.41,102.98,101.61,102.10,18281.2
1786867275000000,SOLUSDT,5m,102.60,103.55,102.10,102.93,19552.5
1786867575000000,SOLUSDT,5m,102.99,103.71,102.37,103.30,20113.5
1786867875000000,SOLUSDT,5m,103.42,104.22,102.98,103.72,22071.8
1786868175000000,SOLUSDT,5m,103.77,104.27,103.11,103.51,21156.8
1786868475000000,SOLUSDT,5m,103.49,103.95,102.80,103.26,21024.4
1786868775000000,SOLUSDT,5m,103.19,104.39,102.64,103.75,24723.1
1786869075000000,SOLUSDT,5m,103.69,104.49,103.24,104.01,22790.9
1786869375000000,SOLUSDT,5m,104.02,104.47,103.65,104.10,18647.3
