timestamp_ms,symbol,timeframe,open,high,low,close,volume
1799250800000000,SOLUSDT,5m,99.90,100.09,99.56,99.95,9399.7
1799251100000000,SOLUSDT,5m,99.97,100.24,99.65,100.09,10523.6
1799251400000000,SOLUSDT,5m,100.09,100.29,99.58,99.94,10446.0
1799251700000000,SOLUSDT,5m,99.94,100.33,98.78,99.38,15196.5
1799252000000000,SOLUSDT,5m,99.37,99.82,98.23,98.89,15493.0
1799252300000000,SOLUSDT,5m,98.85,99.21,98.25,98.70,12805.4
1799252600000000,SOLUSDT,5m,98.73,99.60,98.26,99.15,12768.3
1799252900000000,SOLUSDT,5m,99.19,100.09,98.71,99.67,13829.6
1799253200000000,SOLUSDT,5m,99.95,100.42,99.33,99.79,15841.9
1799253500000000,SOLUSDT,5m,99.90,100.23,99.51,99.97,13127.2
1799253800000000,SOLUSDT,5m,99.50,100.05,99.00,99.73,15819.1
1799254100000000,SOLUSDT,5m,99.01,99.60,98.40,99.27,16780.5
1799254400000000,SOLUSDT,5m,99.05,99.22,98.85,99.05,7576.0
1799254700000000,SOLUSDT,5m,99.19,99.35,98.78,99.13,9091.5
1799255000000000,SOLUSDT,5m,99.30,99.51,98.94,99.25,9464.2
1799255300000000,SOLUSDT,5m,99.73,100.15,98.89,99.44,15958.7
1799255600000000,SOLUSDT,5m,99.89,100.70,99.37,100.21,18881.3
1799255900000000,SOLUSDT,5m,100.26,101.11,99.77,100.59,19613.6
1799256200000000,SOLUSDT,5m,100.68,101.37,100.17,100.94,21363.1
1799256500000000,SOLUSDT,5m,101.02,101.39,100.23,100.71,18991.1
1799256800000000,SOLUSDT,5m,100.73,101.11,99.92,100.44,17624.5
1799257100000000,SOLUSDT,5m,100.48,101.37,99.87,100.86,18517.6
1799257400000000,SOLUSDT,5m,100.89,101.53,100.40,101.18,18827.4
1799257700000000,SOLUSDT,5m,101.19,101.54,100.82,101.29,16527.2
1799258000000000,SOLUSDT,5m,101.36,101.60,101.14,101.32,8853.0
1799258300000000,SOLUSDT,5m,101.52,101.84,101.24,101.44,10838.0
1799258600000000,SOLUSDT,5m,101.38,101.71,101.07,101.46,11638.1
1799258900000000,SOLUSDT,5m,100.83,101.56,100.20,101.18,16282.4
1799259200000000,SOLUSDT,5m,100.32,101.10,99.63,100.59,15736.0
