timestamp_ms,symbol,timeframe,open,high,low,close,volume
1767420000000000,SOLUSDT,5m,100.00,100.18,99.90,100.06,6750.0
1767420300000000,SOLUSDT,5m,100.06,100.31,99.93,100.19,7180.0
1767420600000000,SOLUSDT,5m,100.19,100.45,100.02,100.33,7620.0
1767420900000000,SOLUSDT,5m,100.33,100.90,100.16,100.76,11800.0
1767421200000000,SOLUSDT,5m,100.76,101.39,100.61,101.19,13750.0
1767421500000000,SOLUSDT,5m,101.19,101.78,100.98,101.55,14120.0
1767421800000000,SOLUSDT,5m,101.55,102.10,101.27,101.86,14950.0
1767422100000000,SOLUSDT,5m,101.86,102.06,101.31,101.44,11180.0
1767422400000000,SOLUSDT,5m,101.44,101.70,100.89,101.00,11690.0
1767422700000000,SOLUSDT,5m,101.00,101.22,100.28,100.55,12880.0
1767423000000000,SOLUSDT,5m,100.55,100.81,99.94,100.21,11350.0
1767423300000000,SOLUSDT,5m,100.21,100.49,99.80,100.03,9480.0
1767423600000000,SOLUSDT,5m,100.03,100.39,99.82,100.25,8420.0
1767423900000000,SOLUSDT,5m,100.25,100.74,100.07,100.57,9250.0
1767424200000000,SOLUSDT,5m,100.57,101.00,100.31,100.84,10040.0
1767424500000000,SOLUSDT,5m,100.84,101.04,100.20,100.36,12400.0
1767424800000000,SOLUSDT,5m,100.36,100.58,99.58,99.82,14920.0
1767425100000000,SOLUSDT,5m,99.82,100.06,99.14,99.39,15680.0
1767425400000000,SOLUSDT,5m,99.39,99.76,99.05,99.60,8840.0
1767425700000000,SOLUSDT,5m,99.60,100.00,99.28,99.82,8360.0
1767426000000000,SOLUSDT,5m,99.82,100.24,99.61,100.10,9180.0
1767426300000000,SOLUSDT,5m,100.10,100.51,99.90,100.38,9640.0
1767426600000000,SOLUSDT,5m,100.38,100.68,100.02,100.18,9050.0
1767426900000000,SOLUSDT,5m,100.18,100.43,99.76,99.94,9520.0
