tick,timestamp_ms,symbol,symbol_family,action,raw_action,phase_active,phase_distance,phase_age,episode_binding_pressure,episode_release_pressure,episode_relation,best_action_training,reward,close_reward,best_reward_training,outcome_event,event_reward,event_raw_return,entry_price,tp_price,sl_price,exit_price,bars_held,better_entry_training,entry_improvement_room,score_wait,score_long,score_short,base_score_wait,base_score_long,base_score_short,wait_bias,trade_caution_long,trade_caution_short,immature_memory_pressure_long,immature_memory_pressure_short,weak_signal_pressure_long,weak_signal_pressure_short,readiness_wait,readiness_long,readiness_short,memory_bias_wait,memory_bias_long,memory_bias_short,associative_wait,associative_long,associative_short,observation_wait,observation_long,observation_short,observation_readiness_wait,observation_readiness_long,observation_readiness_short,trade_readiness,associative_trade,observation_trade_signal,observation_trade_readiness,maturity_gap,mature_transfer,observation_learning_action,observation_learning_pressure,sehen_form_flow,sehen_form_stability,sehen_form_change,hoeren_energy_tone,hoeren_energy_shift,fuehlen_mcm_coherence,fuehlen_mcm_tension,fuehlen_mcm_asymmetry
1,1767480300000000,dio_0cgnxn5,dio_0cgn,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,102.15000000,102.15000000,102.15000000,102.15000000,0,102.15000000,0.000000,0.012233,-0.029610,-0.029048,-0.010136,0.005052,0.003712,0.022368,0.046246,0.046142,0.019899,0.019883,0.026347,0.026259,0.000000,0.005068,0.005855,0.000000,0.011584,0.013382,0.000000,0.072398,0.083640,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005855,0.083640,0.000000,0.000000,0.077785,0.005855,LONG,0.079835,0.054440,1.000000,0.108879,0.055143,0.206897,0.984560,0.063445,0.097996
2,1767480600000000,dio_0x52rrz,dio_0x52,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,102.32000000,102.32000000,102.32000000,102.32000000,0,102.32000000,0.000000,0.012278,-0.030139,-0.171108,-0.010111,0.004981,0.003405,0.022390,0.046335,0.036051,0.019902,0.021936,0.026433,0.014114,0.000000,0.004906,-0.096806,0.000000,0.011214,-0.138463,0.000000,0.070089,0.083305,0.000000,0.000000,0.008492,0.000000,0.000000,0.000934,0.004906,0.083305,0.008492,0.000934,0.078399,0.004906,LONG,0.080116,0.146987,1.000000,0.076034,0.133722,0.272727,0.962558,0.130063,0.155106
3,1767480900000000,dio_1guc9eq,dio_1guc,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,102.69000000,102.69000000,102.69000000,102.69000000,0,102.69000000,0.000000,0.014055,-0.026152,-0.033349,-0.008258,0.003403,0.001193,0.022314,0.045642,0.046857,0.019834,0.019892,0.025808,0.026965,0.000000,0.008287,0.005388,0.000000,0.016088,0.012315,0.000000,0.062210,0.076967,0.000000,0.000591,0.000000,0.000000,0.000065,0.000000,0.008287,0.076967,0.000591,0.000065,0.068680,0.008287,LONG,0.071580,0.348413,1.000000,0.254893,0.389153,0.686391,0.891037,0.350561,0.393564
4,1767481200000000,dio_199cglh,dio_199c,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,103.08000000,103.08000000,103.08000000,103.08000000,0,103.08000000,0.000000,0.013626,-0.032489,0.011618,-0.008321,0.004394,0.002276,0.021947,0.046731,0.040432,0.019914,0.019508,0.026817,0.020924,0.000000,0.004309,0.024597,0.000000,0.009849,0.049773,0.000000,0.061553,0.079686,0.000000,0.000000,0.003828,0.000000,0.000000,0.000421,0.024597,0.079686,0.003828,0.000421,0.055089,0.024597,LONG,0.063698,0.560727,1.000000,0.190121,0.369894,0.102459,0.896430,0.421280,0.380128
5,1767481500000000,dio_0u1izga,dio_0u1i,SHORT,SHORT,0,1.000000,9999,0.000000,1.000000,none,SHORT,1.000000,1.132599,1.000000,TP,1.000000,0.005820,103.44000000,102.83800000,104.04200000,102.83800000,3,103.93000000,0.004737,-0.004612,-0.032257,1.269452,-0.008674,0.004892,0.002610,0.004062,0.046695,0.006190,0.019916,0.003611,0.026778,0.002579,0.000000,0.004176,0.819463,0.000000,0.009546,1.273033,0.000000,0.059662,0.082545,0.000000,0.000000,0.010570,0.000000,0.000000,0.001163,0.819463,0.082545,0.010570,0.001163,0.000000,0.082545,-,0.000000,0.701583,1.000000,0.051820,0.280371,0.132890,0.921496,0.420712,0.431901
10,1767483000000000,dio_1pfo7u4,dio_1pfo,WAIT,WAIT,0,0.437749,5,0.000000,1.000000,different_contact,LONG,0.000000,0.000000,0.045249,NO_TRADE,0.000000,0.000000,101.91000000,101.91000000,101.91000000,101.91000000,0,101.91000000,0.000000,0.011172,-0.032259,-0.034675,-0.011230,0.004424,0.002464,0.022401,0.046692,0.047098,0.019912,0.019913,0.026779,0.027185,0.000000,0.004379,0.004357,0.000000,0.010009,0.009959,0.000000,0.062556,0.062246,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004379,0.062556,0.000000,0.000000,0.058177,0.004379,LONG,0.059709,-0.958963,1.000000,0.150823,-0.011519,-0.248869,0.996775,0.431734,-0.550596
11,1767483300000000,dio_1mx2l9m,dio_1mx2,WAIT,WAIT,0,0.424131,6,0.000000,1.000000,different_contact,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,101.72000000,101.72000000,101.72000000,101.72000000,0,101.72000000,0.000000,0.011443,-0.031875,-0.034810,-0.010956,0.004467,0.002374,0.022399,0.046626,0.047122,0.019910,0.019913,0.026716,0.027209,0.000000,0.004499,0.004348,0.000000,0.010283,0.009937,0.000000,0.064270,0.062108,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004499,0.064270,0.000000,0.000000,0.059771,0.004499,LONG,0.061346,-0.823245,1.000000,0.275568,-0.122876,-0.180587,0.965595,0.441462,-0.430998
12,1767483600000000,dio_173sbgr,dio_173s,WAIT,WAIT,0,0.588385,7,0.000000,1.000000,different_contact,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,101.94000000,101.94000000,101.94000000,101.94000000,0,101.94000000,0.000000,0.017356,-0.032327,-0.038542,-0.005025,0.002271,0.000637,0.022381,0.046688,0.047780,0.019894,0.019925,0.026794,0.027856,0.000000,0.005289,0.003763,0.000000,0.012089,0.008602,0.000000,0.075559,0.053760,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005289,0.075559,0.000000,0.000000,0.070270,0.005289,SHORT,0.072121,-0.475480,0.000000,0.637839,-0.190469,-0.151163,0.346669,0.381753,-0.143420
13,1767483900000000,dio_1g18jad,dio_1g18,SHORT,SHORT,0,0.670949,8,0.000000,1.000000,none,SHORT,1.000000,0.845303,1.000000,TP,1.000000,0.007843,102.26000000,101.45800000,103.06200000,101.45800000,3,102.72000000,0.004498,0.003208,-0.036287,1.375028,0.000663,-0.000402,-0.000939,0.002545,0.047364,0.004663,0.019900,0.002262,0.027465,0.002400,0.000000,0.005022,0.886898,0.000000,0.011479,1.380630,0.000000,0.071742,0.059446,0.000000,0.000000,0.007519,0.000000,0.000000,0.000827,0.886898,0.071742,0.007519,0.000827,0.000000,0.071742,-,0.000000,0.005433,-1.000000,0.460892,-0.127410,0.037406,-0.235675,0.129537,0.121138
18,1767485400000000,dio_0gmg3at,dio_0gmg,WAIT,WAIT,0,0.517550,5,0.000000,1.000000,different_contact,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,101.10000000,101.10000000,101.10000000,101.10000000,0,101.10000000,0.000000,0.018644,-0.032866,-0.039998,-0.003743,0.002482,0.000295,0.022387,0.046782,0.048046,0.019900,0.019932,0.026882,0.028114,0.000000,0.005003,0.003392,0.000000,0.011434,0.007754,0.000000,0.071465,0.048460,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005003,0.071465,0.000000,0.000000,0.066462,0.005003,LONG,0.068213,-0.758808,0.000000,0.860120,-0.206849,-0.440860,0.342082,0.543195,-0.306676
