tick,timestamp_ms,symbol,symbol_family,action,raw_action,phase_active,phase_distance,phase_age,episode_binding_pressure,episode_release_pressure,episode_relation,best_action_training,reward,close_reward,best_reward_training,outcome_event,event_reward,event_raw_return,entry_price,tp_price,sl_price,exit_price,bars_held,better_entry_training,entry_improvement_room,score_wait,score_long,score_short,base_score_wait,base_score_long,base_score_short,wait_bias,trade_caution_long,trade_caution_short,immature_memory_pressure_long,immature_memory_pressure_short,weak_signal_pressure_long,weak_signal_pressure_short,readiness_wait,readiness_long,readiness_short,memory_bias_wait,memory_bias_long,memory_bias_short,associative_wait,associative_long,associative_short,observation_wait,observation_long,observation_short,observation_readiness_wait,observation_readiness_long,observation_readiness_short,trade_readiness,associative_trade,observation_trade_signal,observation_trade_readiness,maturity_gap,mature_transfer,observation_learning_action,observation_learning_pressure,sehen_form_flow,sehen_form_stability,sehen_form_change,hoeren_energy_tone,hoeren_energy_shift,fuehlen_mcm_coherence,fuehlen_mcm_tension,fuehlen_mcm_asymmetry
1,1767490300000000,dio_0cgnxn5,dio_0cgn,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,102.15000000,102.15000000,102.15000000,102.15000000,0,102.15000000,0.000000,0.012236,-0.030306,-0.029505,-0.010136,0.005052,0.003712,0.022372,0.046363,0.046219,0.019904,0.019886,0.026460,0.026332,0.000000,0.004814,0.005688,0.000000,0.011005,0.013001,0.000000,0.068778,0.081259,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005688,0.081259,0.000000,0.000000,0.075571,0.005688,SHORT,0.077561,0.054440,1.000000,0.108879,0.055143,0.206897,0.984560,0.063445,0.097996
2,1767490600000000,dio_0fa9zle,dio_0fa9,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,101.68000000,101.68000000,101.68000000,101.68000000,0,101.68000000,0.000000,0.025951,-0.044737,-0.045635,0.003535,-0.004182,-0.005057,0.022416,0.048917,0.049087,0.019927,0.019926,0.028990,0.029161,0.000000,0.003658,0.003722,0.000000,0.008362,0.008508,0.000000,0.052262,0.053178,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003722,0.053178,0.000000,0.000000,0.049455,0.003722,SHORT,0.050758,-0.201426,-1.000000,-0.620110,0.360444,0.804878,-0.300924,0.335203,-0.100649
3,1767490900000000,dio_06bdgpn,dio_06bd,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,101.18000000,101.18000000,101.18000000,101.18000000,0,101.18000000,0.000000,0.022002,-0.041384,-0.043097,-0.000410,-0.002043,-0.003142,0.022412,0.048289,0.048607,0.019922,0.019924,0.028368,0.028683,0.000000,0.003915,0.003785,0.000000,0.008949,0.008653,0.000000,0.055929,0.054078,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003915,0.055929,0.000000,0.000000,0.052014,0.003915,SHORT,0.053384,-0.473624,-0.333333,-0.345201,0.373255,0.295567,0.095489,0.410921,-0.288964
4,1767491200000000,dio_0ojrw25,dio_0ojr,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.72000000,100.72000000,100.72000000,100.72000000,0,100.72000000,0.000000,0.019801,-0.039784,-0.042640,-0.002606,-0.001183,-0.002571,0.022408,0.047996,0.048524,0.019918,0.019926,0.028078,0.028598,0.000000,0.004110,0.003699,0.000000,0.009395,0.008455,0.000000,0.058717,0.052844,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004110,0.058717,0.000000,0.000000,0.054607,0.004110,SHORT,0.056045,-0.724046,0.000000,-0.188908,0.350179,0.137457,0.301950,0.481400,-0.423312
5,1767491500000000,dio_04zirxa,dio_04zi,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.34000000,100.34000000,100.34000000,100.34000000,0,100.34000000,0.000000,0.013162,-0.036036,-0.037943,-0.009243,0.002056,0.000098,0.022405,0.047337,0.047667,0.019919,0.019916,0.027418,0.027751,0.000000,0.004045,0.004211,0.000000,0.009245,0.009626,0.000000,0.057781,0.060162,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004211,0.060162,0.000000,0.000000,0.055951,0.004211,LONG,0.057425,-0.984391,1.000000,0.101715,0.180164,-0.057307,0.949554,0.505388,-0.538309
6,1767491800000000,dio_1qigcjr,dio_1qig,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.08000000,100.08000000,100.08000000,100.08000000,0,100.08000000,0.000000,0.012069,-0.034171,-0.036439,-0.010334,0.002927,0.001070,0.022402,0.047013,0.047402,0.019913,0.019913,0.027100,0.027489,0.000000,0.004338,0.004328,0.000000,0.009916,0.009893,0.000000,0.061973,0.061833,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004338,0.061973,0.000000,0.000000,0.057635,0.004338,LONG,0.059153,-0.874202,1.000000,0.202334,-0.011927,-0.101781,0.996660,0.404548,-0.461349
7,1767492100000000,dio_0vc85jd,dio_0vc8,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,0.000000,0.438144,NO_TRADE,0.000000,0.000000,100.30000000,100.30000000,100.30000000,100.30000000,0,100.30000000,0.000000,0.018510,-0.035158,-0.040944,-0.003878,0.000679,-0.000797,0.022388,0.047171,0.048215,0.019901,0.019929,0.027270,0.028286,0.000000,0.004959,0.003530,0.000000,0.011334,0.008068,0.000000,0.070838,0.050425,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004959,0.070838,0.000000,0.000000,0.065879,0.004959,SHORT,0.067615,-0.483187,0.000000,0.648337,-0.183654,-0.206186,0.348577,0.383807,-0.156221
8,1767492400000000,dio_1g7l35z,dio_1g7l,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.58000000,100.58000000,100.58000000,100.58000000,0,100.58000000,0.000000,0.024151,-0.039028,-0.042332,0.001755,-0.001717,-0.002336,0.022396,0.047853,0.048467,0.019908,0.019926,0.027945,0.028541,0.000000,0.004612,0.003706,0.000000,0.010542,0.008471,0.000000,0.065888,0.052945,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004612,0.065888,0.000000,0.000000,0.061275,0.004612,SHORT,0.062890,-0.077222,-1.000000,0.464469,-0.135390,0.080214,-0.237909,0.163612,0.084271
9,1767492700000000,dio_1k0rwi1,dio_1k0r,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.80000000,100.80000000,100.80000000,100.80000000,0,100.80000000,0.000000,0.018270,-0.211968,-0.037151,-0.004136,0.002068,0.000820,0.022406,0.034575,0.047528,0.022470,0.019916,0.012105,0.027612,0.000000,-0.123493,0.004181,0.000000,-0.179461,0.009557,0.000000,0.070005,0.059733,0.000000,0.010292,0.000000,0.000000,0.001132,0.000000,0.004181,0.070005,0.010292,0.001132,0.065823,0.004181,SHORT,0.067287,0.254690,0.000000,0.154195,-0.105623,-0.057471,0.370425,0.176003,0.168139
10,1767493000000000,dio_10kxynx,dio_10kx,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.62000000,100.62000000,100.62000000,100.62000000,0,100.62000000,0.000000,0.018077,-0.034628,-0.036952,-0.004321,0.002061,0.000829,0.022398,0.047087,0.047493,0.019909,0.019915,0.027178,0.027578,0.000000,0.004550,0.004249,0.000000,0.010399,0.009711,0.000000,0.064993,0.060696,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004550,0.064993,0.000000,0.000000,0.060443,0.004550,SHORT,0.062036,0.299760,0.000000,-0.464234,-0.057187,-0.062112,0.383988,0.224195,0.044027
11,1767493300000000,dio_1f4vx6s,dio_1f4v,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.28000000,100.28000000,100.28000000,100.28000000,0,100.28000000,0.000000,0.023801,-0.040353,-0.041590,0.001394,-0.001717,-0.002018,0.022407,0.048098,0.048328,0.019917,0.019923,0.028181,0.028405,0.000000,0.004140,0.003831,0.000000,0.009462,0.008757,0.000000,0.059137,0.054728,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004140,0.059137,0.000000,0.000000,0.054997,0.004140,SHORT,0.056446,-0.011078,-1.000000,-0.493718,0.084406,0.159236,-0.223634,0.119098,-0.092849
12,1767493600000000,dio_1w4m0ap,dio_1w4m,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,0.000000,0.490798,NO_TRADE,0.000000,0.000000,99.96000000,99.96000000,99.96000000,99.96000000,0,99.96000000,0.000000,0.017803,-0.035903,-0.038703,-0.004594,0.000934,-0.000151,0.022397,0.047305,0.047804,0.019908,0.019919,0.027397,0.027885,0.000000,0.004580,0.004048,0.000000,0.010469,0.009252,0.000000,0.065429,0.057825,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004580,0.065429,0.000000,0.000000,0.060849,0.004580,SHORT,0.062452,-0.342458,0.000000,-0.244287,0.107545,0.061350,0.369887,0.228087,-0.238135
13,1767493900000000,dio_1vjg16d,dio_1vjg,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,99.72000000,99.72000000,99.72000000,99.72000000,0,99.72000000,0.000000,0.011737,-0.033052,-0.034143,-0.010655,0.003646,0.001854,0.022392,0.046823,0.047000,0.019911,0.019904,0.026912,0.027097,0.000000,0.004430,0.004814,0.000000,0.010125,0.011004,0.000000,0.063283,0.068773,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004814,0.068773,0.000000,0.000000,0.063959,0.004814,LONG,0.065644,-0.595238,1.000000,0.042702,0.095716,0.000000,0.973200,0.297033,-0.323085
14,1767494200000000,dio_1t73pqz,dio_1t73,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,99.94000000,99.94000000,99.94000000,99.94000000,0,99.94000000,0.000000,0.018037,-0.034206,-0.039521,-0.004351,0.001454,0.000218,0.022388,0.047009,0.047958,0.019901,0.019928,0.027108,0.028029,0.000000,0.004965,0.003595,0.000000,0.011349,0.008218,0.000000,0.070930,0.051363,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004965,0.070930,0.000000,0.000000,0.065965,0.004965,SHORT,0.067703,-0.375450,0.000000,0.577393,-0.152016,-0.343750,0.357435,0.313919,-0.140428
15,1767494500000000,dio_1q9bwwb,dio_1q9b,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.18000000,100.18000000,100.18000000,100.18000000,0,100.18000000,0.000000,0.023858,-0.038725,-0.041869,0.001461,-0.001390,-0.001952,0.022397,0.047799,0.048382,0.019908,0.019926,0.027891,0.028456,0.000000,0.004578,0.003703,0.000000,0.010465,0.008464,0.000000,0.065404,0.052899,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004578,0.065404,0.000000,0.000000,0.060826,0.004578,SHORT,0.062428,-0.055400,-1.000000,0.392229,-0.113507,0.094340,-0.231782,0.133698,0.081979
16,1767494800000000,dio_0rb2qnk,dio_0rb2,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.02000000,100.02000000,100.02000000,100.02000000,0,100.02000000,0.000000,0.023678,-0.039158,-0.040967,0.001276,-0.001240,-0.001462,0.022402,0.047880,0.048215,0.019913,0.019924,0.027967,0.028291,0.000000,0.004358,0.003811,0.000000,0.009962,0.008710,0.000000,0.062264,0.054436,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004358,0.062264,0.000000,0.000000,0.057906,0.004358,SHORT,0.059431,0.033347,-1.000000,-0.259186,-0.051115,0.064516,-0.214312,0.076944,-0.030627
