tick,timestamp_ms,symbol,symbol_family,action,raw_action,phase_active,phase_distance,phase_age,episode_binding_pressure,episode_release_pressure,episode_relation,best_action_training,reward,close_reward,best_reward_training,outcome_event,event_reward,event_raw_return,entry_price,tp_price,sl_price,exit_price,bars_held,better_entry_training,entry_improvement_room,score_wait,score_long,score_short,base_score_wait,base_score_long,base_score_short,wait_bias,trade_caution_long,trade_caution_short,immature_memory_pressure_long,immature_memory_pressure_short,weak_signal_pressure_long,weak_signal_pressure_short,readiness_wait,readiness_long,readiness_short,memory_bias_wait,memory_bias_long,memory_bias_short,associative_wait,associative_long,associative_short,observation_wait,observation_long,observation_short,observation_readiness_wait,observation_readiness_long,observation_readiness_short,trade_readiness,associative_trade,observation_trade_signal,observation_trade_readiness,maturity_gap,mature_transfer,observation_learning_action,observation_learning_pressure,sehen_form_flow,sehen_form_stability,sehen_form_change,hoeren_energy_tone,hoeren_energy_shift,fuehlen_mcm_coherence,fuehlen_mcm_tension,fuehlen_mcm_asymmetry
1,1767500300000000,dio_1c6be9z,dio_1c6b,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,102.12000000,102.12000000,102.12000000,102.12000000,0,102.12000000,0.000000,0.012055,-0.028492,-0.027272,-0.010301,0.005211,0.003962,0.022356,0.046061,0.045850,0.019892,0.019872,0.026169,0.025978,0.000000,0.005406,0.006394,0.000000,0.012358,0.014616,0.000000,0.077235,0.091347,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006394,0.091347,0.000000,0.000000,0.084953,0.006394,SHORT,0.087191,0.038108,1.000000,0.076215,0.040115,0.142857,0.988768,0.045048,0.068203
2,1767500600000000,dio_1d1z7n5,dio_1d1z,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,101.72000000,101.72000000,101.72000000,101.72000000,0,101.72000000,0.000000,0.025224,-0.042745,0.000451,0.003356,-0.003902,-0.004717,0.021869,0.048535,0.041647,0.019915,0.019439,0.028619,0.022209,0.000000,0.004240,0.028063,0.000000,0.009692,0.046815,0.000000,0.060573,0.058611,0.000000,0.000000,0.002637,0.000000,0.000000,0.000290,0.028063,0.060573,0.002637,0.000290,0.032510,0.028063,SHORT,0.042332,-0.179650,-1.000000,-0.511433,0.337931,0.775862,-0.294621,0.299214,-0.068176
3,1767500900000000,dio_10dkbdg,dio_10dk,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,101.28000000,101.28000000,101.28000000,101.28000000,0,101.28000000,0.000000,0.021569,-0.011050,-0.041683,-0.000487,-0.001890,-0.002972,0.022056,0.043257,0.048339,0.019605,0.019916,0.023652,0.028423,0.000000,0.019729,0.004212,0.000000,0.034098,0.009628,0.000000,0.064785,0.060175,0.000000,0.001767,0.000000,0.000000,0.000194,0.000000,0.019729,0.064785,0.001767,0.000194,0.045056,0.019729,SHORT,0.051961,-0.419184,-0.333333,-0.301121,0.369028,0.333333,0.096672,0.379228,-0.240346
4,1767501200000000,dio_1d3rtjg,dio_1d3r,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.92000000,100.92000000,100.92000000,100.92000000,0,100.92000000,0.000000,0.019329,-0.095977,-0.040256,-0.003080,-0.000368,-0.001428,0.022409,0.041502,0.048082,0.020869,0.019919,0.020633,0.028163,0.000000,-0.043428,0.004048,0.000000,-0.054107,0.009254,0.000000,0.071720,0.057835,0.000000,0.006250,0.000000,0.000000,0.000687,0.000000,0.004048,0.071720,0.006250,0.000687,0.067671,0.004048,SHORT,0.069088,-0.615167,0.000000,-0.115070,0.280834,-0.075758,0.321366,0.394732,-0.387262
5,1767501500000000,dio_0n9edet,dio_0n9e,LONG,LONG,0,1.000000,9999,0.000000,1.000000,none,LONG,1.000000,1.389869,1.000000,TP,1.000000,0.006238,100.68000000,101.30800000,100.05200000,101.30800000,2,100.26000000,0.004172,-0.001089,0.924528,-0.035144,-0.009425,0.002508,0.000556,0.008336,0.010821,0.047168,0.007410,0.019900,0.003411,0.027268,0.000000,0.629493,0.005017,0.000000,0.932841,0.011467,0.000000,0.068511,0.071668,0.000000,0.008819,0.000000,0.000000,0.000970,0.000000,0.629493,0.071668,0.008819,0.000970,0.000000,0.071668,-,0.000000,-0.783392,1.000000,0.172693,0.176286,0.063694,0.950640,0.430696,-0.384515
10,1767503000000000,dio_1f9y063,dio_1f9y,WAIT,WAIT,0,0.359538,5,0.000000,1.000000,different_contact,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,102.48000000,102.48000000,102.48000000,102.48000000,0,102.48000000,0.000000,0.013771,-0.019045,-0.030279,-0.008491,0.005872,0.001893,0.022263,0.044534,0.046336,0.019789,0.019876,0.024744,0.026460,0.000000,0.010538,0.006197,0.000000,0.019616,0.014164,0.000000,0.062818,0.088523,0.000000,0.000994,0.000000,0.000000,0.000109,0.000000,0.010538,0.088523,0.000994,0.000109,0.077985,0.010538,LONG,0.081673,0.881135,1.000000,0.025694,0.085225,0.025381,0.976137,0.409982,0.504678
11,1767503300000000,dio_143dusg,dio_143d,WAIT,WAIT,0,0.394757,6,0.000000,1.000000,different_contact,LONG,0.000000,0.000000,0.301508,NO_TRADE,0.000000,0.000000,102.76000000,102.76000000,102.76000000,102.76000000,0,102.76000000,0.000000,0.013055,-0.018543,-0.029194,-0.009278,0.006617,0.002528,0.022333,0.044514,0.046158,0.019851,0.019874,0.024662,0.026284,0.000000,0.007428,0.006316,0.000000,0.019354,0.014436,0.000000,0.062312,0.090224,0.000000,0.001372,0.000000,0.000000,0.000151,0.000000,0.007428,0.090224,0.001372,0.000151,0.082797,0.007428,LONG,0.085396,0.845244,1.000000,-0.155560,0.023468,-0.100503,0.993429,0.389748,0.415902
12,1767503600000000,dio_1m4no20,dio_1m4n,WAIT,WAIT,0,0.389568,7,0.000000,1.000000,different_contact,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,103.02000000,103.02000000,103.02000000,103.02000000,0,103.02000000,0.000000,0.012693,-0.028899,-0.028914,-0.009665,0.007023,0.002850,0.022359,0.046142,0.046114,0.019911,0.019874,0.026231,0.026239,0.000000,0.004471,0.006278,0.000000,0.010220,0.014350,0.000000,0.063875,0.089685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006278,0.089685,0.000000,0.000000,0.083407,0.006278,SHORT,0.085605,0.754296,1.000000,-0.125526,-0.070649,-0.124378,0.980218,0.366561,0.367404
13,1767503900000000,dio_1k7yck2,dio_1k7y,LONG,LONG,0,0.552587,8,0.000000,1.000000,none,LONG,1.000000,0.695042,1.000000,TP,1.000000,0.007710,102.72000000,103.51200000,101.92800000,103.51200000,4,102.16000000,0.005452,0.004926,0.871830,-0.036631,-0.004754,0.003003,0.000270,0.009680,0.012190,0.047431,0.008604,0.019908,0.003586,0.027523,0.000000,0.569798,0.004607,0.000000,0.881016,0.010530,0.000000,0.072990,0.065814,0.000000,0.010415,0.000000,0.000000,0.001146,0.000000,0.569798,0.072990,0.010415,0.001146,0.000000,0.072990,-,0.000000,0.359266,0.000000,-0.670882,-0.077778,0.025253,0.378222,0.290899,0.045228
18,1767505400000000,dio_0120ekw,dio_0120,WAIT,LONG,1,0.407697,5,0.596279,0.289239,same_episode,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,103.70000000,103.70000000,103.70000000,103.70000000,0,103.70000000,0.000000,0.008788,0.247259,-0.030180,-0.009869,0.007135,0.001883,0.018656,0.025744,0.046319,0.016583,0.019875,0.009160,0.026444,0.000000,0.170825,0.006237,0.000000,0.265868,0.014256,0.000000,0.066478,0.089099,0.000000,0.005919,0.000000,0.000000,0.000651,0.000000,0.170825,0.089099,0.005919,0.000651,0.000000,0.089099,LONG,0.031185,0.639442,1.000000,0.062829,0.112281,0.108108,0.968561,0.325776,0.394788
