tick,timestamp_ms,symbol,symbol_family,action,raw_action,phase_active,phase_distance,phase_age,episode_binding_pressure,episode_release_pressure,episode_relation,best_action_training,reward,close_reward,best_reward_training,outcome_event,event_reward,event_raw_return,entry_price,tp_price,sl_price,exit_price,bars_held,better_entry_training,entry_improvement_room,score_wait,score_long,score_short,base_score_wait,base_score_long,base_score_short,wait_bias,trade_caution_long,trade_caution_short,immature_memory_pressure_long,immature_memory_pressure_short,weak_signal_pressure_long,weak_signal_pressure_short,readiness_wait,readiness_long,readiness_short,memory_bias_wait,memory_bias_long,memory_bias_short,associative_wait,associative_long,associative_short,observation_wait,observation_long,observation_short,observation_readiness_wait,observation_readiness_long,observation_readiness_short,trade_readiness,associative_trade,observation_trade_signal,observation_trade_readiness,maturity_gap,mature_transfer,observation_learning_action,observation_learning_pressure,sehen_form_flow,sehen_form_stability,sehen_form_change,hoeren_energy_tone,hoeren_energy_shift,fuehlen_mcm_coherence,fuehlen_mcm_tension,fuehlen_mcm_asymmetry
1,1767490300000000,dio_0cgnxn5,dio_0cgn,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,102.15000000,102.15000000,102.15000000,102.15000000,0,102.15000000,0.000000,0.049166,-0.054477,-0.003971,-0.010136,0.005052,0.003712,0.059301,0.070856,0.050752,0.049614,0.046232,0.021242,0.004520,0.000000,0.004955,0.015526,0.000000,0.011326,0.043069,0.000000,0.070789,0.081445,0.000000,0.000000,0.004513,0.000000,0.000000,0.000496,0.015526,0.081445,0.004513,0.000496,0.065919,0.015526,SHORT,0.071353,0.054440,1.000000,0.108879,0.055143,0.206897,0.984560,0.063445,0.097996
2,1767490600000000,dio_0fa9zle,dio_0fa9,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,101.68000000,101.68000000,101.68000000,101.68000000,0,101.68000000,0.000000,0.062925,-0.073363,-0.025224,0.003529,-0.004121,-0.004981,0.059397,0.077807,0.058730,0.050001,0.046909,0.027806,0.011822,0.000000,0.003747,0.013410,0.000000,0.008565,0.038487,0.000000,0.053529,0.053544,0.000000,0.000000,0.003039,0.000000,0.000000,0.000334,0.013410,0.053544,0.003039,0.000334,0.040133,0.013410,SHORT,0.044827,-0.201426,-1.000000,-0.620110,0.360444,0.804878,-0.300924,0.335203,-0.100649
3,1767490900000000,dio_06bdgpn,dio_06bd,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,101.18000000,101.18000000,101.18000000,101.18000000,0,101.18000000,0.000000,0.058980,-0.068617,-0.021836,-0.000413,-0.001749,-0.002978,0.059393,0.076066,0.057510,0.049912,0.046881,0.026153,0.010629,0.000000,0.004024,0.013498,0.000000,0.009197,0.038652,0.000000,0.057483,0.054474,0.000000,0.000000,0.003241,0.000000,0.000000,0.000357,0.013498,0.057483,0.003241,0.000357,0.043985,0.013498,SHORT,0.048709,-0.473624,-0.333333,-0.345201,0.373255,0.295567,0.095489,0.410921,-0.288964
4,1767491200000000,dio_0ojrw25,dio_0ojr,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.72000000,100.72000000,100.72000000,100.72000000,0,100.72000000,0.000000,0.056796,-0.066080,-0.020999,-0.002600,-0.000630,-0.002247,0.059396,0.075122,0.057227,0.049846,0.046902,0.025277,0.010325,0.000000,0.004232,0.013431,0.000000,0.009673,0.038474,0.000000,0.060455,0.053290,0.000000,0.000000,0.003385,0.000000,0.000000,0.000372,0.013431,0.060455,0.003385,0.000372,0.047025,0.013431,SHORT,0.051725,-0.724046,0.000000,-0.188908,0.350179,0.137457,0.301950,0.481400,-0.423312
5,1767491500000000,dio_04zirxa,dio_04zi,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.34000000,100.34000000,100.34000000,100.34000000,0,100.34000000,0.000000,0.050174,-0.011753,-0.064264,-0.009203,0.002714,0.000527,0.059378,0.053863,0.074477,0.046774,0.049844,0.007089,0.024633,0.000000,0.013830,0.004238,0.000000,0.039397,0.009686,0.000000,0.059082,0.060537,0.000000,0.003333,0.000000,0.000000,0.000367,0.000000,0.013830,0.060537,0.003333,0.000367,0.046706,0.013830,LONG,0.051547,-0.984391,1.000000,0.101715,0.180164,-0.057307,0.949554,0.505388,-0.538309
6,1767491800000000,dio_1qigcjr,dio_1qig,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.08000000,100.08000000,100.08000000,100.08000000,0,100.08000000,0.000000,0.049117,-0.008758,-0.062648,-0.010246,0.003863,0.001286,0.059363,0.052734,0.073880,0.046670,0.049808,0.006063,0.024072,0.000000,0.014155,0.004351,0.000000,0.040112,0.009946,0.000000,0.063474,0.062160,0.000000,0.003492,0.000000,0.000000,0.000384,0.000000,0.014155,0.063474,0.003492,0.000384,0.049319,0.014155,LONG,0.054273,-0.874202,1.000000,0.202334,-0.011927,-0.101781,0.996660,0.404548,-0.461349
7,1767492100000000,dio_0ui9cgg,dio_0ui9,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,0.000000,0.438144,NO_TRADE,0.000000,0.000000,100.30000000,100.30000000,100.30000000,100.30000000,0,100.30000000,0.000000,0.055802,-0.058541,-0.046987,-0.003845,0.002018,-0.000670,0.059647,0.072264,0.067602,0.049561,0.048690,0.022702,0.018912,0.000000,0.005121,0.007844,0.000000,0.011705,0.021285,0.000000,0.073155,0.050873,0.000000,0.000000,0.001779,0.000000,0.000000,0.000196,0.007844,0.073155,0.001779,0.000196,0.065311,0.007844,SHORT,0.068057,-0.483187,0.000000,0.648337,-0.183654,-0.206186,0.348577,0.383807,-0.156221
8,1767492400000000,dio_1g7l35z,dio_1g7l,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.58000000,100.58000000,100.58000000,100.58000000,0,100.58000000,0.000000,0.061151,-0.065031,-0.020880,0.001758,-0.001271,-0.002249,0.059393,0.074641,0.057172,0.049677,0.046883,0.024965,0.010289,0.000000,0.004761,0.013491,0.000000,0.010881,0.038541,0.000000,0.068007,0.053505,0.000000,0.000000,0.003793,0.000000,0.000000,0.000417,0.013491,0.068007,0.003793,0.000417,0.054517,0.013491,SHORT,0.059239,-0.077222,-1.000000,0.464469,-0.135390,0.080214,-0.237909,0.163612,0.084271
9,1767492700000000,dio_1k0rwi1,dio_1k0r,LONG,LONG,0,1.000000,9999,0.000000,1.000000,none,SHORT,-1.000000,-0.810979,1.000000,SL,-1.000000,-0.006905,100.80000000,101.49600000,100.10400000,100.10400000,2,99.48000000,0.013095,0.036178,0.627869,-0.014613,-0.004130,0.002873,0.001007,0.040308,0.000000,0.054937,0.000000,0.046865,0.000000,0.008072,0.000000,0.437607,0.013545,0.000000,0.624996,0.039317,0.000000,0.073233,0.060249,0.000000,0.010292,0.000000,0.000000,0.001132,0.000000,0.437607,0.073233,0.010292,0.001132,0.000000,0.073233,-,0.000000,0.254690,0.000000,0.154195,-0.105623,-0.057471,0.370425,0.176003,0.168139
14,1767494200000000,dio_1t73pqz,dio_1t73,WAIT,WAIT,0,0.230685,5,0.000000,1.000000,different_contact,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,99.94000000,99.94000000,99.94000000,99.94000000,0,99.94000000,0.000000,0.055465,-0.057801,-0.015848,-0.003930,0.002507,0.001155,0.059395,0.072002,0.055396,0.049563,0.046898,0.022439,0.008499,0.000000,0.005116,0.013444,0.000000,0.011694,0.038393,0.000000,0.073087,0.052457,0.000000,0.000000,0.004041,0.000000,0.000000,0.000444,0.013444,0.073087,0.004041,0.000444,0.059643,0.013444,SHORT,0.064348,-0.375450,0.000000,0.577393,-0.152016,-0.343750,0.357435,0.313919,-0.140428
