family,classification,run_count,rows,executed_rows,observed_rows,raw_trade_rows,first_observed_run,first_observed_tick,first_executed_run,first_executed_tick,reward_sum,executed_reward_sum,observed_best_reward_sum,avg_observation_learning_pressure,observed_sehen_form_flow,executed_sehen_form_flow,observed_sehen_form_stability,executed_sehen_form_stability,observed_sehen_form_change,executed_sehen_form_change,observed_hoeren_energy_tone,executed_hoeren_energy_tone,observed_hoeren_energy_shift,executed_hoeren_energy_shift,observed_fuehlen_mcm_coherence,executed_fuehlen_mcm_coherence,observed_fuehlen_mcm_tension,executed_fuehlen_mcm_tension,observed_fuehlen_mcm_asymmetry,executed_fuehlen_mcm_asymmetry,observed_trade_readiness,executed_trade_readiness,observed_associative_trade,executed_associative_trade,observed_observation_trade_signal,executed_observation_trade_signal,observed_observation_trade_readiness,executed_observation_trade_readiness,observed_maturity_gap,executed_maturity_gap,observed_mature_transfer,executed_mature_transfer,observed_observation_learning_pressure,executed_observation_learning_pressure
dio_14eb,observation_to_positive_action,4,4,2,2,2,100,6,102,6,2.841602,2.841602,2.841602,0.067954,0.863558,0.863558,1.0,1.0,-0.135046,-0.135046,0.118434,0.118434,0.0,0.0,0.966838,0.966838,0.434044,0.434044,0.451181,0.451181,0.012269,0.127762,0.075929,0.074731,0.00298,0.010862,0.000328,0.001195,0.06366,0.008553,0.012269,0.066178,0.067954,0.0
dio_0eh8,observation_to_positive_action,4,4,1,3,1,100,14,103,14,0.742752,0.742752,2.228256,0.041234,0.34362,0.34362,0.0,0.0,0.183591,0.183591,-0.009032,-0.009032,0.0,0.0,0.397471,0.397471,0.177488,0.177488,0.236489,0.236489,0.041975,0.06151,0.068518,0.0693,0.007157,0.007157,0.000787,0.000787,0.026543,0.00779,0.041975,0.06151,0.041234,0.0
dio_1ayy,held_observation,4,4,0,4,0,100,11,0,0,0.0,0.0,0.266268,0.056734,-0.777384,0.0,1.0,0.0,0.254882,0.0,-0.104452,0.0,-0.192308,0.0,0.970754,0.0,0.411152,0.0,-0.412625,0.0,0.006314,0.0,0.060839,0.0,0.000327,0.0,3.6e-05,0.0,0.054524,0.0,0.006314,0.0,0.056734,0.0
dio_16kb,held_observation,4,4,0,4,0,100,12,0,0,0.0,0.0,2.458664,0.054424,-0.40696,0.0,0.0,0.0,0.597322,0.0,-0.180263,0.0,-0.175879,0.0,0.349526,0.0,0.342205,0.0,-0.119716,0.0,0.022894,0.0,0.069305,0.0,0.003275,0.0,0.00036,0.0,0.046412,0.0,0.022894,0.0,0.054424,0.0
dio_0szn,held_observation,4,4,0,4,1,100,13,0,0,0.0,0.0,2.781548,0.046475,0.0,0.0,-1.0,0.0,0.442677,0.0,-0.071779,0.0,0.131579,0.0,-0.220098,0.0,0.100975,0.0,0.132558,0.0,0.025258,0.0,0.062894,0.0,0.003295,0.0,0.000362,0.0,0.037635,0.0,0.025258,0.0,0.046475,0.0
dio_0gtz,held_observation,3,3,0,3,0,100,15,0,0,0.0,0.0,0.347538,0.061241,0.177671,0.0,0.0,0.0,-0.824125,0.0,0.164605,0.0,0.255682,0.0,0.35391,0.0,0.275616,0.0,-0.047158,0.0,0.006356,0.0,0.065372,0.0,0.000408,0.0,4.5e-05,0.0,0.059017,0.0,0.006356,0.0,0.061241,0.0
dio_0edu,held_observation,3,3,0,3,0,100,16,0,0,0.0,0.0,1.051893,0.049646,-0.232682,0.0,-1.0,0.0,-0.613235,0.0,0.237644,0.0,0.184211,0.0,-0.26654,0.0,0.295654,0.0,-0.240636,0.0,0.008986,0.0,0.055487,0.0,0.001036,0.0,0.000114,0.0,0.046501,0.0,0.008986,0.0,0.049646,0.0
dio_1361,held_observation,3,3,0,3,0,100,17,0,0,0.0,0.0,1.661376,0.051108,-0.640728,0.0,0.0,0.0,-0.224555,0.0,0.114193,0.0,-0.121359,0.0,0.368026,0.0,0.352996,0.0,-0.436973,0.0,0.012635,0.0,0.059321,0.0,0.001731,0.0,0.00019,0.0,0.046686,0.0,0.012635,0.0,0.051108,0.0
dio_1l2h,held_observation,3,3,0,3,0,100,18,0,0,0.0,0.0,0.553242,0.061581,-0.683015,0.0,0.0,0.0,0.754835,0.0,-0.145381,0.0,-0.241546,0.0,0.359293,0.0,0.4687,0.0,-0.249637,0.0,0.007484,0.0,0.066446,0.0,0.000654,0.0,7.2e-05,0.0,0.058962,0.0,0.007484,0.0,0.061581,0.0
dio_14i8,held_observation,2,2,0,2,0,100,7,0,0,0.0,0.0,1.770832,0.057081,0.363684,0.0,0.0,0.0,-0.882325,0.0,-0.061212,0.0,-0.1,0.0,0.382861,0.0,0.319628,0.0,-0.028095,0.0,0.008691,0.0,0.062729,0.0,0.00154,0.0,0.00017,0.0,0.05404,0.0,0.008691,0.0,0.057081,0.0
