tick,timestamp_ms,symbol,symbol_family,action,raw_action,phase_active,phase_distance,phase_age,episode_binding_pressure,episode_release_pressure,episode_relation,best_action_training,reward,best_reward_training,better_entry_training,score_wait,score_long,score_short,sehen_form_flow,sehen_form_stability,sehen_form_change,hoeren_energy_tone,hoeren_energy_shift,fuehlen_mcm_coherence,fuehlen_mcm_tension,fuehlen_mcm_asymmetry
1,1767250300000000,dio_1r0hda7,dio_1r0h,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,1.637852,99.74000000,0.051180,-0.079338,-0.079779,-0.111178,1.000000,-0.222356,0.101323,0.400000,0.971630,0.124827,-0.035625
2,1767250600000000,dio_0dcm0af,dio_0dcm,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,1.373445,99.54000000,0.051106,-0.080237,-0.077729,-0.222356,1.000000,-0.000446,0.160258,0.283019,0.955128,0.160769,-0.068022
3,1767250900000000,dio_1sxooqm,dio_1sxo,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,0.892464,99.08000000,0.052546,-0.082271,-0.081541,-0.478065,1.000000,-0.290895,0.358512,0.659341,0.899617,0.397905,-0.205663
4,1767251200000000,dio_030975f,dio_0309,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,0.374544,98.34000000,0.054464,-0.083335,-0.082809,-0.889423,1.000000,-0.510313,0.430579,0.392857,0.879438,0.636051,-0.541980
5,1767251500000000,dio_1j78aih,dio_1j78,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,0.087611,97.72000000,0.053939,-0.083229,-0.082768,-1.000000,1.000000,-0.178474,0.228000,-0.057143,0.936160,0.544316,-0.614262
6,1767251800000000,dio_1mml4kx,dio_1mml,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,0.207188,97.66000000,0.053974,-0.082664,-0.082728,-1.000000,1.000000,0.613060,-0.154210,-0.513514,0.956821,0.582858,-0.515568
7,1767252100000000,dio_1v23ekc,dio_1v23,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,0.172721,97.78000000,0.059047,-0.082835,-0.083056,-0.728928,0.000000,0.669394,-0.292716,-0.248619,0.318040,0.536194,-0.297269
8,1767252400000000,dio_0qb31rn,dio_0qb3,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,0.019169,97.90000000,0.062545,-0.082675,-0.082456,-0.248571,-1.000000,0.347098,-0.225694,0.060976,-0.263194,0.254727,-0.043701
9,1767252700000000,dio_01nfcv4,dio_01nf,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,0.155676,97.78000000,0.062292,-0.082451,-0.082034,0.034111,-1.000000,-0.204416,-0.136738,0.000000,-0.238287,0.104463,-0.029958
10,1767253000000000,dio_0nmiyar,dio_0nmi,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,0.104207,97.94000000,0.056128,-0.080684,-0.080888,0.159283,0.000000,0.136249,-0.027670,0.000000,0.392253,0.100320,0.121898
11,1767253300000000,dio_1vb3v1l,dio_1vb3,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,0.410100,98.02000000,0.056173,-0.080719,-0.080788,0.136361,0.000000,0.030098,-0.036335,-0.099010,0.389826,0.077348,0.063783
12,1767253600000000,dio_0f4h622,dio_0f4h,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,0.817431,98.10000000,0.055875,-0.080538,-0.080736,0.113494,0.000000,0.045225,-0.029880,0.000000,0.391634,0.067453,0.074411
13,1767253900000000,dio_1uezyf5,dio_1uez,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,1.446988,98.04000000,0.056610,-0.080720,-0.081237,0.147724,0.000000,-0.189044,-0.066337,-0.103093,0.381426,0.120152,0.016736
14,1767254200000000,dio_0k534n0,dio_0k53,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,1.939152,98.08000000,0.056021,-0.080107,-0.080539,0.079414,0.000000,0.007505,-0.070337,-0.054348,0.380306,0.064096,0.035403
15,1767254500000000,dio_1tg921i,dio_1tg9,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,1.886148,98.18000000,0.056094,-0.079381,-0.080469,0.090684,0.000000,0.090600,-0.076656,-0.117647,0.378536,0.084779,0.048998
16,1767254800000000,dio_1rkaw11,dio_1rka,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,1.437890,98.62000000,0.056266,-0.078007,-0.082346,0.294484,0.000000,0.467731,0.351530,0.918367,0.301572,0.346163,0.460840
