family,phases,phase_count,rows,executed,positive_executed,burdened_executed,observed_potential,held_same_episode,reward_sum,avg_visual_mcm_alignment_trace,avg_tone_tension_resonance_trace,max_trade_readiness,max_mature_transfer
dio_1d6j,"order_shift,order_shift_varianz",2,8,5,5,0,3,0,4.768065,0.991901,0.965502,0.523523,0.05709
dio_1ytj,"order_shift_drift,order_shift_varianz",2,7,3,3,0,2,2,3.443424,0.991259,0.867444,0.497767,0.062001
dio_1lam,shift,1,4,4,4,0,0,0,5.19776,0.995705,0.970582,0.761004,0.078122
dio_1cpq,shift,1,4,3,3,0,0,1,3.876612,0.775503,0.865427,0.510169,0.066977
dio_1ioc,order_shift_varianz,1,4,2,2,0,2,0,3.339704,0.9672,0.96177,0.232116,0.079776
dio_1fqy,order_shift_drift,1,4,2,2,0,2,0,3.10993,0.926858,0.957579,0.216453,0.075255
dio_121e,order_shift,1,4,2,2,0,2,0,3.042412,0.936537,0.951007,0.211842,0.081719
dio_1r0b,shift,1,2,2,2,0,0,0,1.959404,0.866835,0.603844,0.363935,0.064581
dio_0odx,shift,1,4,2,2,0,2,0,0.520934,0.911981,0.777749,0.092001,0.055604
dio_0nmi,order_shift,1,2,1,1,0,1,0,2.0,0.973671,0.942918,0.104784,0.059966
dio_0f4h,order_shift,1,1,1,1,0,0,0,2.0,0.994056,0.939385,0.172588,0.061115
dio_1h5i,order_shift,1,3,1,1,0,2,0,1.652416,0.966362,0.976322,0.064142,0.060884
dio_15th,order_shift_drift,1,3,1,1,0,2,0,1.296838,0.962733,0.943116,0.051073,0.051073
dio_1sxo,order_shift_varianz,1,2,1,1,0,1,0,0.993834,0.801728,0.952709,0.076944,0.069375
dio_1e6y,order_shift_drift,1,4,1,1,0,3,0,0.941453,0.983794,0.873401,0.07695,0.059666
dio_1mml,shift,1,1,1,1,0,0,0,0.237245,0.912398,0.578349,0.086014,0.04983
dio_1wwt,order_shift,1,4,0,0,0,4,0,0.0,0.967863,0.837527,0.04661,0.04661
dio_0my4,order_shift_drift,1,4,0,0,0,4,0,0.0,0.925599,0.626393,0.036879,0.036879
dio_08wa,order_shift,1,4,0,0,0,4,0,0.0,0.886663,0.597352,0.022227,0.022227
dio_151h,order_shift_varianz,1,4,0,0,0,4,0,0.0,0.884571,0.606009,0.010461,0.010461
dio_066x,order_shift_varianz,1,3,0,0,0,3,0,0.0,0.958834,0.761113,0.017901,0.017901
dio_03fl,order_shift_varianz,1,4,0,0,0,3,1,0.0,0.895492,0.705145,0.049949,0.049949
dio_0knp,order_shift,1,3,0,0,0,3,0,0.0,0.891968,0.581614,0.00548,0.00548
dio_0iy2,order_shift_varianz,1,3,0,0,0,3,0,0.0,0.869638,0.512876,0.01359,0.01359
dio_1pyo,order_shift_drift,1,2,0,0,0,2,0,0.0,0.980249,0.836087,0.019025,0.019025
dio_1iuo,order_shift_drift,1,2,0,0,0,2,0,0.0,0.962061,0.94815,0.021999,0.021999
dio_1k0r,order_shift_drift,1,2,0,0,0,2,0,0.0,0.961523,0.934322,0.020565,0.020565
dio_1hkr,order_shift_varianz,1,4,0,0,0,2,2,0.0,0.960995,0.804932,0.091462,0.055656
dio_0d07,order_shift,1,2,0,0,0,2,0,0.0,0.931789,0.685012,0.006525,0.006525
dio_1gz3,order_shift_drift,1,2,0,0,0,2,0,0.0,0.916012,0.526425,0.00725,0.00725
dio_185j,order_shift,1,2,0,0,0,2,0,0.0,0.914525,0.723199,0.010018,0.010018
dio_01yf,order_shift,1,2,0,0,0,2,0,0.0,0.887382,0.960196,0.016301,0.016301
dio_0q8z,order_shift_varianz,1,2,0,0,0,2,0,0.0,0.865405,0.971465,0.017637,0.017637
dio_18je,order_shift_drift,1,2,0,0,0,2,0,0.0,0.863906,0.956565,0.018078,0.018078
dio_1i0f,order_shift,1,2,0,0,0,2,0,0.0,0.813847,0.893742,0.012728,0.012728
dio_0nvr,order_shift,1,2,0,0,0,2,0,0.0,0.802968,0.77327,0.005402,0.005402
dio_1y8o,order_shift_drift,1,2,0,0,0,2,0,0.0,0.788627,0.766389,0.004275,0.004275
dio_1xdw,order_shift_drift,1,2,0,0,0,2,0,0.0,0.751548,0.871649,0.010235,0.010235
dio_1j0n,order_shift,1,1,0,0,0,1,0,0.0,0.968496,0.848788,0.004095,0.004095
dio_1ieq,order_shift_drift,1,1,0,0,0,1,0,0.0,0.953522,0.803313,0.046758,0.046758
dio_0786,order_shift_drift,1,1,0,0,0,1,0,0.0,0.910104,0.71572,0.004144,0.004144
dio_018g,order_shift,1,1,0,0,0,1,0,0.0,0.887779,0.66456,0.004547,0.004547
dio_1h37,shift,1,1,0,0,0,1,0,0.0,0.882719,0.681865,0.005742,0.005742
dio_0r8e,order_shift_varianz,1,1,0,0,0,1,0,0.0,0.878643,0.701743,0.004006,0.004006
dio_0mp4,order_shift_varianz,1,1,0,0,0,1,0,0.0,0.769624,0.79681,0.004609,0.004609
dio_1hjj,shift,1,1,0,0,0,0,1,0.0,0.839268,0.706363,0.079478,0.045332
dio_0t45,shift,1,2,0,0,0,0,2,0.0,0.802869,0.898277,0.143727,0.062919
dio_0lt6,order_shift_drift,1,1,1,0,1,0,0,-0.249492,0.889309,0.536721,0.329321,0.066798
dio_00eh,order_shift,1,2,1,0,1,1,0,-0.431148,0.887779,0.66456,0.072906,0.066364
