family,local_action,local_confirmation,state,confirmation_label,runs,rows,executed_long,executed_short,best_long,best_short,reward_sum,observation_learning_events,avg_observation_pressure,best_support_family,best_support_action,best_support_score,support_matches_local,best_conflict_family,best_conflict_actions,best_conflict_score,phase,support_pair
dio_0n4c,SHORT,0.567726,locally_confirmed,executed_local_confirmation,"7,8,9,10",4,0,2,0,4,2.938984,2,0.13905,dio_1r0h,SHORT,1.069861,1,dio_0byw,SHORT/LONG,1.321475,varianz,dio_0n4c<->dio_1r0h
dio_179o,LONG,0.445774,locally_confirmed,executed_local_confirmation,"7,8,9",3,1,0,3,0,1.431863,2,0.034838,dio_1v23,LONG,0.98709,1,dio_1iuq,LONG/SHORT,0.547266,varianz,dio_179o<->dio_1v23
dio_0uct,LONG,0.377189,locally_confirmed,executed_local_confirmation,"7,8,9,10",4,1,0,4,0,0.956362,3,0.06537,dio_1mml,LONG,0.990469,1,dio_18iw,LONG/SHORT,0.750181,varianz,dio_0uct<->dio_1mml
dio_0irs,LONG,0.235885,observed_related,observed_related_potential,"7,8",2,0,0,2,0,0.0,2,0.08825,dio_0byw,LONG,0.920872,1,dio_0n4c,LONG/SHORT,0.888342,varianz,dio_0byw<->dio_0irs
dio_13wt,SHORT,0.229619,observed_related,observed_related_potential,"7,8",2,0,0,0,2,0.0,2,0.053438,dio_0nv8,SHORT,0.735585,1,dio_1tg9,SHORT/LONG,0.89861,varianz,dio_0nv8<->dio_13wt
dio_0vyd,SHORT,0.228466,observed_related,observed_related_potential,"7,8",2,0,0,0,2,0.0,2,0.047033,dio_0nv8,SHORT,0.971932,1,dio_0wsj,SHORT/LONG,0.940264,varianz,dio_0nv8<->dio_0vyd
dio_081d,LONG,0.228234,observed_related,observed_related_potential,"7,8",2,0,0,2,0,0.0,2,0.045744,dio_0nmi,LONG,0.970342,1,dio_1144,LONG/SHORT,0.989463,varianz,dio_081d<->dio_0nmi
dio_0oio,LONG,0.228234,observed_related,observed_related_potential,"7,8,10",3,0,0,3,0,0.0,3,0.045744,dio_1ieq,LONG,0.88871,1,dio_0rh0,LONG/SHORT,0.634307,varianz,dio_0oio<->dio_1ieq
dio_07mf,LONG,0.227637,observed_related,observed_related_potential,"7,8,9,10",4,0,0,4,0,0.0,4,0.042429,dio_1j78,LONG,0.693364,1,dio_1iuq,LONG/SHORT,0.942246,varianz,dio_07mf<->dio_1j78
dio_1at7,SHORT,0.226922,observed_related,observed_related_potential,"7,8",2,0,0,0,2,0.0,2,0.038453,dio_0w1v,SHORT,0.803368,1,dio_07mf,SHORT/LONG,0.469171,varianz,dio_0w1v<->dio_1at7
dio_1lz7,SHORT,0.22658,observed_related,observed_related_potential,"7,8",2,0,0,0,2,0.0,2,0.036557,dio_0w1v,SHORT,0.712287,1,dio_0xq8,SHORT/LONG,0.333289,varianz,dio_0w1v<->dio_1lz7
dio_18wf,LONG,0.225103,observed_related,observed_related_potential,"7,8",2,0,0,2,0,0.0,2,0.02835,dio_0qb3,LONG,0.98156,1,dio_0nv8,LONG/SHORT,0.858042,varianz,dio_0qb3<->dio_18wf
dio_0byw,LONG,0.82,locally_confirmed,executed_local_confirmation,"19,20,21,22",4,4,0,4,0,4.407692,0,0.0,dio_052z,LONG,1.18744,1,dio_0n4c,LONG/SHORT,1.321475,sensorischer_drift,dio_052z<->dio_0byw
dio_0b0d,SHORT,0.82,locally_confirmed,executed_local_confirmation,"19,20",2,0,2,0,2,3.297658,0,0.0,dio_074d,SHORT,0.870699,1,dio_1uez,SHORT/LONG,0.787595,sensorischer_drift,dio_074d<->dio_0b0d
dio_1mc3,SHORT,0.442898,locally_confirmed,executed_local_confirmation,"19,20,21",3,0,1,0,3,1.378998,2,0.032902,dio_0i5m,SHORT,0.921049,1,dio_01nf,SHORT/LONG,0.789064,sensorischer_drift,dio_0i5m<->dio_1mc3
dio_05z6,SHORT,0.370877,locally_confirmed,executed_local_confirmation,"19,20,21,22",4,0,1,0,4,0.90105,3,0.033979,dio_0zlr,SHORT,0.930504,1,dio_1uez,SHORT/LONG,0.596611,sensorischer_drift,dio_05z6<->dio_0zlr
dio_19qg,SHORT,0.228228,observed_related,observed_related_potential,22,1,0,0,0,1,0.0,1,0.04571,dio_0av4,SHORT,0.98805,1,dio_07mf,SHORT/LONG,0.655677,sensorischer_drift,dio_0av4<->dio_19qg
dio_01xf,LONG,0.227971,observed_related,observed_related_potential,"21,22",2,0,0,2,0,0.0,2,0.044283,dio_1mml,LONG,0.994884,1,dio_18iw,LONG/SHORT,0.755657,sensorischer_drift,dio_01xf<->dio_1mml
dio_0jqv,SHORT,0.22727,observed_related,observed_related_potential,"21,22",2,0,0,0,2,0.0,2,0.040388,dio_0309,SHORT,0.930662,1,dio_1j78,SHORT/LONG,0.943233,sensorischer_drift,dio_0309<->dio_0jqv
dio_074d,SHORT,0.227126,observed_related,observed_related_potential,"19,20",2,0,0,0,2,0.0,2,0.039591,dio_0b0d,SHORT,0.870699,1,dio_1uez,SHORT/LONG,0.914925,sensorischer_drift,dio_074d<->dio_0b0d
dio_00eh,SHORT,0.226231,observed_related,observed_related_potential,"19,20,21,22",4,0,0,0,4,0.0,4,0.034616,dio_0rh0,SHORT,0.984568,1,dio_1ieq,SHORT/LONG,0.763619,sensorischer_drift,dio_00eh<->dio_0rh0
dio_0v36,SHORT,0.225189,observed_related,observed_related_potential,"19,20",2,0,0,0,2,0.0,2,0.028828,dio_0nv8,SHORT,0.98703,1,dio_01nf,SHORT/LONG,0.928161,sensorischer_drift,dio_0nv8<->dio_0v36
dio_1hkr,-,0.0,local_only,unconfirmed,"19,20,21,22",4,0,0,0,0,0.0,0,0.0,-,-,0.0,0,-,-,0.0,sensorischer_drift,-
dio_1h37,-,0.0,local_only,unconfirmed,"21,22",2,0,0,0,0,0.0,0,0.0,-,-,0.0,0,-,-,0.0,sensorischer_drift,-
dio_052z,LONG,0.531942,locally_confirmed,executed_local_confirmation,"15,16,17,18",4,2,0,4,0,2.162886,2,0.064815,dio_0byw,LONG,1.18744,1,dio_0n4c,LONG/SHORT,1.014524,sensorische_varianz,dio_052z<->dio_0byw
dio_0nv8,SHORT,0.465048,locally_confirmed,executed_local_confirmation,"15,16,17",3,0,1,0,3,1.826216,2,0.03114,dio_0v36,SHORT,0.98703,1,dio_01nf,SHORT/LONG,0.958927,sensorische_varianz,dio_0nv8<->dio_0v36
dio_0fp8,SHORT,0.367451,locally_confirmed,executed_local_confirmation,"15,16,17,18",4,0,1,0,4,0.796759,3,0.037572,dio_0lt6,SHORT,1.011128,1,dio_0irs,SHORT/LONG,0.557167,sensorische_varianz,dio_0fp8<->dio_0lt6
dio_18iw,SHORT,0.229016,observed_related,observed_related_potential,"15,16,18",3,0,0,0,3,0.0,3,0.050089,dio_0jqv,SHORT,0.898745,1,dio_1j78,SHORT/LONG,0.985895,sensorische_varianz,dio_0jqv<->dio_18iw
dio_1ml8,LONG,0.22749,observed_related,observed_related_potential,"15,16",2,0,0,2,0,0.0,2,0.041612,dio_081d,LONG,0.931321,1,dio_1144,LONG/SHORT,0.902951,sensorische_varianz,dio_081d<->dio_1ml8
dio_0rh0,SHORT,0.227477,observed_related,observed_related_potential,"15,16,17,18",4,0,0,0,4,0.0,4,0.041539,dio_00eh,SHORT,0.984568,1,dio_1ieq,SHORT/LONG,0.844794,sensorische_varianz,dio_00eh<->dio_0rh0
