family,phases,phase_count,rows,executed_local_confirmation,observed_related_potential,unexecuted_local_potential,unconfirmed,long_local,short_local,avg_local_confirmation,max_local_confirmation,reward_sum,top_support_family,top_support_count,top_conflict_family,top_conflict_count
dio_0byw,"referenz,sensorischer_drift",2,2,2,0,0,0,2,0,0.745035,0.82,12.311844,dio_052z,2,dio_0n4c,2
dio_0b0d,"sensorische_varianz,sensorischer_drift",2,2,1,1,0,0,0,2,0.523504,0.82,3.297658,dio_074d,2,dio_1uez,2
dio_1r0h,rauschen,1,1,1,0,0,0,0,1,0.575538,0.575538,3.275704,dio_0n4c,1,dio_0byw,1
dio_0n4c,varianz,1,1,1,0,0,0,0,1,0.567726,0.567726,2.938984,dio_1r0h,1,dio_0byw,1
dio_052z,sensorische_varianz,1,1,1,0,0,0,1,0,0.531942,0.531942,2.162886,dio_0byw,1,dio_0n4c,1
dio_0lt6,referenz,1,1,1,0,0,0,0,1,0.49903,0.49903,2.130489,dio_0fp8,1,dio_0byw,1
dio_0nv8,sensorische_varianz,1,1,1,0,0,0,0,1,0.465048,0.465048,1.826216,dio_0v36,1,dio_01nf,1
dio_14zx,referenz,1,1,1,0,0,0,0,1,0.459745,0.459745,1.782506,dio_1bzs,1,dio_1uez,1
dio_1uez,rauschen,1,1,1,0,0,0,1,0,0.446938,0.446938,1.446988,dio_1vb3,1,dio_074d,1
dio_179o,varianz,1,1,1,0,0,0,1,0,0.445774,0.445774,1.431863,dio_1v23,1,dio_1iuq,1
dio_1mc3,sensorischer_drift,1,1,1,0,0,0,0,1,0.442898,0.442898,1.378998,dio_0i5m,1,dio_01nf,1
dio_0uct,varianz,1,1,1,0,0,0,1,0,0.377189,0.377189,0.956362,dio_1mml,1,dio_18iw,1
dio_05z6,sensorischer_drift,1,1,1,0,0,0,0,1,0.370877,0.370877,0.90105,dio_0zlr,1,dio_1uez,1
dio_0f4h,rauschen,1,1,1,0,0,0,1,0,0.368216,0.368216,0.817431,dio_1vb3,1,dio_1144,1
dio_0fp8,sensorische_varianz,1,1,1,0,0,0,0,1,0.367451,0.367451,0.796759,dio_0lt6,1,dio_0irs,1
dio_0irs,varianz,1,1,0,1,0,0,1,0,0.235885,0.235885,0.0,dio_0byw,1,dio_0n4c,1
dio_0dcm,rauschen,1,1,0,1,0,0,0,1,0.234177,0.234177,0.0,dio_1r0h,1,dio_0qyu,1
dio_1sxo,rauschen,1,1,0,1,0,0,0,1,0.231742,0.231742,0.0,dio_1r0h,1,dio_0qyu,1
dio_1j78,rauschen,1,1,0,1,0,0,1,0,0.231441,0.231441,0.0,dio_01xf,1,dio_18iw,1
dio_1mml,rauschen,1,1,0,1,0,0,1,0,0.23047,0.23047,0.0,dio_01xf,1,dio_18iw,1
dio_0309,rauschen,1,1,0,1,0,0,0,1,0.230271,0.230271,0.0,dio_0jqv,1,dio_1j78,1
dio_13wt,varianz,1,1,0,1,0,0,0,1,0.229619,0.229619,0.0,dio_0nv8,1,dio_1tg9,1
dio_18iw,sensorische_varianz,1,1,0,1,0,0,0,1,0.229016,0.229016,0.0,dio_0jqv,1,dio_1j78,1
dio_0vyd,varianz,1,1,0,1,0,0,0,1,0.228466,0.228466,0.0,dio_0nv8,1,dio_0wsj,1
dio_081d,varianz,1,1,0,1,0,0,1,0,0.228234,0.228234,0.0,dio_0nmi,1,dio_1144,1
dio_0oio,varianz,1,1,0,1,0,0,1,0,0.228234,0.228234,0.0,dio_1ieq,1,dio_0rh0,1
dio_19qg,sensorischer_drift,1,1,0,1,0,0,0,1,0.228228,0.228228,0.0,dio_0av4,1,dio_07mf,1
dio_0nmi,rauschen,1,1,0,1,0,0,1,0,0.228113,0.228113,0.0,dio_0f4h,1,dio_1144,1
dio_1v23,rauschen,1,1,0,1,0,0,1,0,0.227973,0.227973,0.0,dio_179o,1,dio_074d,1
dio_01xf,sensorischer_drift,1,1,0,1,0,0,1,0,0.227971,0.227971,0.0,dio_1mml,1,dio_18iw,1
dio_07mf,varianz,1,1,0,1,0,0,1,0,0.227637,0.227637,0.0,dio_1j78,1,dio_1iuq,1
dio_1ml8,sensorische_varianz,1,1,0,1,0,0,1,0,0.22749,0.22749,0.0,dio_081d,1,dio_1144,1
dio_0rh0,sensorische_varianz,1,1,0,1,0,0,0,1,0.227477,0.227477,0.0,dio_00eh,1,dio_1ieq,1
dio_0jqv,sensorischer_drift,1,1,0,1,0,0,0,1,0.22727,0.22727,0.0,dio_0309,1,dio_1j78,1
dio_074d,sensorischer_drift,1,1,0,1,0,0,0,1,0.227126,0.227126,0.0,dio_0b0d,1,dio_1uez,1
dio_1vb3,rauschen,1,1,0,1,0,0,1,0,0.22709,0.22709,0.0,dio_0f4h,1,dio_074d,1
dio_07yj,sensorische_varianz,1,1,0,1,0,0,1,0,0.227082,0.227082,0.0,dio_1tki,1,dio_13wt,1
dio_1at7,varianz,1,1,0,1,0,0,0,1,0.226922,0.226922,0.0,dio_0w1v,1,dio_07mf,1
dio_0k53,rauschen,1,1,0,1,0,0,1,0,0.226823,0.226823,0.0,dio_0f4h,1,dio_074d,1
dio_0rgr,sensorische_varianz,1,1,0,1,0,0,1,0,0.22662,0.22662,0.0,dio_1rka,1,dio_1144,1
dio_1lz7,varianz,1,1,0,1,0,0,0,1,0.22658,0.22658,0.0,dio_0w1v,1,dio_0xq8,1
dio_1tg9,rauschen,1,1,0,1,0,0,1,0,0.226572,0.226572,0.0,dio_0k53,1,dio_13wt,1
dio_0wsj,sensorische_varianz,1,1,0,1,0,0,1,0,0.226565,0.226565,0.0,dio_01nf,1,dio_0vyd,1
dio_1ieq,sensorische_varianz,1,1,0,1,0,0,1,0,0.226549,0.226549,0.0,dio_0oio,1,dio_0rh0,1
dio_0qb3,rauschen,1,1,0,1,0,0,1,0,0.226505,0.226505,0.0,dio_18wf,1,dio_0nv8,1
dio_0ifl,sensorische_varianz,1,1,0,1,0,0,0,1,0.226393,0.226393,0.0,dio_0i5m,1,dio_01nf,1
dio_00eh,sensorischer_drift,1,1,0,1,0,0,0,1,0.226231,0.226231,0.0,dio_0rh0,1,dio_1ieq,1
dio_01nf,rauschen,1,1,0,1,0,0,1,0,0.22617,0.22617,0.0,dio_0wsj,1,dio_0nv8,1
dio_1iuq,sensorische_varianz,1,1,0,1,0,0,0,1,0.225937,0.225937,0.0,dio_19qg,1,dio_07mf,1
dio_1rka,rauschen,1,1,0,1,0,0,1,0,0.225645,0.225645,0.0,dio_0rgr,1,dio_1144,1
dio_0i5m,sensorische_varianz,1,1,0,1,0,0,0,1,0.225566,0.225566,0.0,dio_0ifl,1,dio_01nf,1
dio_0v36,sensorischer_drift,1,1,0,1,0,0,0,1,0.225189,0.225189,0.0,dio_0nv8,1,dio_01nf,1
dio_1bzs,sensorische_varianz,1,1,0,1,0,0,0,1,0.225145,0.225145,0.0,dio_14zx,1,dio_1uez,1
dio_18wf,varianz,1,1,0,1,0,0,1,0,0.225103,0.225103,0.0,dio_0qb3,1,dio_0nv8,1
dio_0v7w,referenz,1,1,0,1,0,0,0,1,0.225097,0.225097,0.0,dio_0w1v,1,dio_0wsj,1
dio_0av4,sensorische_varianz,1,1,0,1,0,0,0,1,0.224788,0.224788,0.0,dio_19qg,1,dio_07mf,1
dio_0nny,referenz,1,1,0,1,0,0,1,0,0.221703,0.221703,0.0,dio_0rgr,1,dio_1144,1
dio_0w1v,referenz,1,1,0,1,0,0,0,1,0.221677,0.221677,0.0,dio_0v7w,1,dio_01nf,1
dio_0qyu,referenz,1,1,0,1,0,0,1,0,0.221593,0.221593,0.0,dio_0byw,1,dio_1r0h,1
dio_0xq8,referenz,1,1,0,1,0,0,1,0,0.22153,0.22153,0.0,dio_0rgr,1,dio_1lz7,1
dio_1tki,referenz,1,1,0,1,0,0,1,0,0.221493,0.221493,0.0,dio_07yj,1,dio_13wt,1
dio_0zlr,referenz,1,1,0,1,0,0,0,1,0.221169,0.221169,0.0,dio_05z6,1,dio_1uez,1
dio_1144,referenz,1,1,0,1,0,0,0,1,0.221063,0.221063,0.0,dio_14zx,1,dio_081d,1
dio_0rej,referenz,1,1,0,1,0,0,0,1,0.221046,0.221046,0.0,dio_0v7w,1,dio_0wsj,1
dio_11wp,referenz,1,1,0,0,0,1,0,0,0.0,0.0,0.0,-,0,-,0
dio_12qo,referenz,1,1,0,0,0,1,0,0,0.0,0.0,0.0,-,0,-,0
dio_1ll4,sensorische_varianz,1,1,0,0,0,1,0,0,0.0,0.0,0.0,-,0,-,0
dio_1hkr,sensorischer_drift,1,1,0,0,0,1,0,0,0.0,0.0,0.0,-,0,-,0
dio_1h37,sensorischer_drift,1,1,0,0,0,1,0,0,0.0,0.0,0.0,-,0,-,0
