tick,timestamp_ms,symbol,symbol_family,passive_world_label,passive_world_observations,passive_world_mean_avg_carry,passive_world_mean_avg_carried_cos,passive_world_best_max_carry,passive_world_best_max_carried_cos,passive_world_positive_carried_cos_count,passive_world_avg_readiness,passive_world_passive_only,passive_inner_awareness_loaded,passive_inner_awareness_state,passive_inner_awareness_direction,passive_inner_awareness_observations,passive_inner_awareness_afterlook,passive_inner_awareness_carry,passive_inner_awareness_world_carry,passive_inner_awareness_passive_only,passive_inner_awareness_is_gate,passive_inner_awareness_is_motoric,passive_inner_awareness_influences_action,passive_inner_awareness_symbol_family,reflection_context_state,reflection_context_carry,reflection_context_strain,reflection_context_alignment,reflection_world_support,reflection_current_support,action,raw_action,phase_active,phase_distance,phase_age,episode_binding_pressure,episode_release_pressure,episode_relation,mini_temporal_state,mini_family_age,mini_ticks_since_family_seen,mini_recurrence_strength,mini_afterimage,mini_time_distance,mini_temporal_form_distance,mini_temporal_trust_support,mini_temporal_caution_support,mini_neuro_dominant_tone,mini_focus_tone,mini_trust_tone,mini_caution_tone,mini_strain_tone,mini_relief_tone,mini_observation_tone,mini_neuro_support,mini_neuro_load,mini_neuro_balance,best_action_training,reward,close_reward,best_reward_training,outcome_event,event_reward,event_raw_return,entry_price,tp_price,sl_price,exit_price,bars_held,better_entry_training,entry_improvement_room,score_wait,score_long,score_short,base_score_wait,base_score_long,base_score_short,wait_bias,trade_caution_long,trade_caution_short,immature_memory_pressure_long,immature_memory_pressure_short,weak_signal_pressure_long,weak_signal_pressure_short,readiness_wait,readiness_long,readiness_short,memory_bias_wait,memory_bias_long,memory_bias_short,associative_wait,associative_long,associative_short,observation_wait,observation_long,observation_short,observation_readiness_wait,observation_readiness_long,observation_readiness_short,trade_readiness,associative_trade,observation_trade_signal,observation_trade_readiness,maturity_gap,mature_transfer,observation_learning_action,observation_learning_pressure,sehen_form_flow,sehen_form_stability,sehen_form_change,hoeren_energy_tone,hoeren_energy_shift,fuehlen_mcm_coherence,fuehlen_mcm_tension,fuehlen_mcm_asymmetry
1,1767450300000000,dio_0x52rrz,dio_0x52,probe12_trace,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,1,inner_overcautious_carrying_pressure,LONG,2,1.000000,0.309721,0.000000,1,0,0,0,dio_0x52,reflection_context_unloaded,0.144500,0.264256,0.765508,0.038979,0.273470,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.740716,0.002520,0.230928,0.157657,0.319426,0.432777,0.362718,0.167825,0.194894,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.18000000,100.18000000,100.18000000,100.18000000,0,100.18000000,0.000000,0.012372,-0.037199,-0.045692,-0.009961,0.004895,0.003466,0.022333,0.047484,0.049158,0.019852,0.020000,0.027632,0.029158,0.000000,0.007411,0.000000,0.000000,0.005390,0.000000,0.000000,0.000000,0.000000,0.000000,0.067371,0.000000,0.000000,0.007411,0.000000,0.007411,0.000000,0.067371,0.007411,0.000000,0.000000,LONG,0.538968,0.072186,1.000000,0.144372,0.069807,0.266667,0.980454,0.082737,0.128407
2,1767450600000000,dio_0qze2dp,dio_0qze,probe12_trace,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,1,inner_overcautious_carrying_pressure,LONG,2,1.000000,0.310681,0.273622,1,0,0,0,dio_0qze,reflection_context_unloaded,0.143760,0.267541,0.761202,0.036301,0.275099,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.731953,0.002565,0.238130,0.171629,0.311499,0.432737,0.358369,0.176862,0.181507,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.34000000,100.34000000,100.34000000,100.34000000,0,100.34000000,0.000000,0.012081,-0.036698,-0.045394,-0.010250,0.005211,0.003707,0.022330,0.047394,0.049101,0.019849,0.020000,0.027545,0.029101,0.000000,0.007543,0.000000,0.000000,0.005486,0.000000,0.000000,0.000000,0.000000,0.000000,0.068571,0.000000,0.000000,0.007543,0.000000,0.007543,0.000000,0.068571,0.007543,0.000000,0.000000,LONG,0.548571,0.161031,1.000000,0.033086,0.109270,0.180000,0.969404,0.118820,0.134118
3,1767450900000000,dio_1guc9eq,dio_1guc,probe12_trace,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,1,inner_overcautious_carrying_pressure,LONG,4,1.000000,0.302082,0.000000,1,0,0,0,dio_1guc,reflection_context_unloaded,0.129814,0.290993,0.753377,0.018834,0.265456,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.674817,0.002547,0.285184,0.262685,0.259870,0.432752,0.329977,0.235809,0.094169,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.72000000,100.72000000,100.72000000,100.72000000,0,100.72000000,0.000000,0.014040,-0.038784,-0.048354,-0.008292,0.003529,0.001320,0.022331,0.047762,0.049674,0.019850,0.020000,0.027912,0.029674,0.000000,0.007492,0.000000,0.000000,0.005449,0.000000,0.000000,0.000000,0.000000,0.000000,0.068111,0.000000,0.000000,0.007492,0.000000,0.007492,0.000000,0.068111,0.007492,0.000000,0.000000,LONG,0.544888,0.372036,1.000000,0.259876,0.370262,0.646707,0.896327,0.353345,0.400052
4,1767451200000000,dio_0y8w6m7,dio_0y8w,probe12_trace,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,1,inner_overcautious_carrying_pressure,LONG,1,1.000000,0.293007,0.000000,1,0,0,0,dio_0y8w,reflection_context_unloaded,0.128950,0.299152,0.740621,0.012229,0.271608,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.656624,0.002687,0.303583,0.298384,0.239615,0.432629,0.320042,0.258898,0.061144,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,101.15000000,101.15000000,101.15000000,101.15000000,0,101.15000000,0.000000,0.014213,-0.037454,-0.047359,-0.008110,0.004318,0.002120,0.022322,0.047520,0.049479,0.019842,0.020000,0.027678,0.029479,0.000000,0.007903,0.000000,0.000000,0.005748,0.000000,0.000000,0.000000,0.000000,0.000000,0.071848,0.000000,0.000000,0.007903,0.000000,0.007903,0.000000,0.071848,0.007903,0.000000,0.000000,LONG,0.574781,0.610806,1.000000,0.226822,0.363715,0.145228,0.898160,0.445590,0.425534
5,1767451500000000,dio_0u1izga,dio_0u1i,probe12_trace,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,1,inner_action_withholding_split,SHORT,3,1.000000,0.290309,0.275784,1,0,0,0,dio_0u1i,reflection_context_unloaded,0.135434,0.294636,0.732492,0.015056,0.282563,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.668624,0.002831,0.296418,0.284708,0.247356,0.432502,0.325280,0.250001,0.075279,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,101.50000000,101.50000000,101.50000000,101.50000000,0,101.50000000,0.000000,0.013468,-0.043577,-0.038775,-0.008845,0.005181,0.002917,0.022313,0.048758,0.047747,0.020000,0.019833,0.028758,0.027913,0.000000,0.000000,0.008326,0.000000,0.000000,0.006055,0.000000,0.000000,0.000000,0.000000,0.000000,0.075687,0.000000,0.000000,0.008326,0.008326,0.000000,0.075687,0.008326,0.000000,0.000000,SHORT,0.605497,0.732016,1.000000,0.026930,0.235589,0.068259,0.934035,0.410703,0.430044
6,1767451800000000,dio_14ebdp0,dio_14eb,probe12_trace,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,1,inner_overcautious_carrying_pressure,SHORT,1,1.000000,0.301077,0.278254,1,0,0,0,dio_14eb,reflection_context_unloaded,0.137908,0.294477,0.726731,0.014937,0.288206,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.671409,0.002915,0.297324,0.286476,0.246345,0.432428,0.325829,0.251143,0.074686,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,101.82000000,101.82000000,101.82000000,101.82000000,0,101.82000000,0.000000,0.013037,-0.042886,-0.038028,-0.009270,0.005743,0.003348,0.022307,0.048630,0.047610,0.020000,0.019829,0.028630,0.027782,0.000000,0.000000,0.008572,0.000000,0.000000,0.006234,0.000000,0.000000,0.000000,0.000000,0.000000,0.077929,0.000000,0.000000,0.008572,0.008572,0.000000,0.077929,0.008572,0.000000,0.000000,SHORT,0.623429,0.819436,1.000000,-0.076239,0.140575,0.029499,0.960639,0.415403,0.446486
7,1767452100000000,dio_14i8uk7,dio_14i8,probe12_trace,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,1,inner_overcautious_carrying_pressure,SHORT,1,1.000000,0.260666,0.000000,1,0,0,0,dio_14i8,reflection_context_unloaded,0.098372,0.295069,0.802668,0.009573,0.206904,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.470695,0.001905,0.277808,0.248876,0.267765,0.433319,0.274627,0.226764,0.047864,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,101.42000000,101.42000000,101.42000000,101.42000000,0,101.42000000,0.000000,0.017386,-0.046351,-0.043075,-0.004988,0.002933,0.001423,0.022374,0.049284,0.048573,0.020000,0.019888,0.029284,0.028686,0.000000,0.000000,0.005604,0.000000,0.000000,0.004076,0.000000,0.000000,0.000000,0.000000,0.000000,0.050948,0.000000,0.000000,0.005604,0.005604,0.000000,0.050948,0.005604,0.000000,0.000000,SHORT,0.407582,0.386109,0.000000,-0.839544,-0.048756,-0.107817,0.386348,0.316970,-0.006833
8,1767452400000000,dio_0u8uz63,dio_0u8u,probe12_trace,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,1,inner_cautious_potential,SHORT,1,1.000000,0.229610,0.000000,1,0,0,0,dio_0u8u,reflection_context_unloaded,0.067889,0.287060,0.870425,0.009580,0.139155,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,observation_tone,0.283256,0.001068,0.243082,0.181732,0.305919,0.434058,0.231183,0.183284,0.047899,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.96000000,100.96000000,100.96000000,100.96000000,0,100.96000000,0.000000,0.022658,-0.050570,-0.048597,0.000229,-0.000759,-0.001210,0.022429,0.049812,0.049671,0.020000,0.019937,0.029812,0.029734,0.000000,0.000000,0.003142,0.000000,0.000000,0.002285,0.000000,0.000000,0.000000,0.000000,0.000000,0.028560,0.000000,0.000000,0.003142,0.003142,0.000000,0.028560,0.003142,0.000000,0.000000,SHORT,0.228477,-0.104355,-1.000000,-0.603378,0.005442,0.129534,-0.201524,0.142655,-0.177343
9,1767452700000000,dio_0ufve6g,dio_0ufv,probe12_trace,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,1,inner_overcautious_carrying_pressure,LONG,1,0.368550,0.263650,0.000000,1,0,0,0,dio_0ufv,reflection_context_unloaded,0.101884,0.293859,0.795503,0.009860,0.214357,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.470976,0.000753,0.276700,0.247064,0.268907,0.434336,0.274817,0.225515,0.049302,LONG,0.000000,0.000000,0.368550,NO_TRADE,0.000000,0.000000,100.50000000,100.50000000,100.50000000,100.50000000,0,100.50000000,0.000000,0.017070,-0.046445,-0.050167,-0.005380,0.001211,-0.000222,0.022450,0.049267,0.049945,0.019956,0.020000,0.029311,0.029945,0.000000,0.002213,0.000000,0.000000,0.001610,0.000000,0.000000,0.000000,0.000000,0.000000,0.020121,0.000000,0.000000,0.002213,0.000000,0.002213,0.000000,0.020121,0.002213,0.000000,0.000000,LONG,0.436756,-0.547345,0.000000,-0.309533,0.074200,0.159705,0.379224,0.310575,-0.348860
10,1767453000000000,dio_0g0pdn4,dio_0g0p,probe12_trace,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,0,1,inner_overcautious_carrying_pressure,LONG,1,0.167866,0.302851,0.278738,1,0,0,0,dio_0g0p,reflection_context_unloaded,0.140668,0.292544,0.723626,0.016300,0.292674,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.680437,0.000506,0.293993,0.280897,0.249748,0.434554,0.328833,0.247334,0.081500,LONG,0.000000,0.000000,0.167866,NO_TRADE,0.000000,0.000000,100.17000000,100.17000000,100.17000000,100.17000000,0,100.17000000,0.000000,0.011189,-0.043977,-0.047817,-0.011277,0.003750,0.001751,0.022467,0.048809,0.049568,0.019970,0.020000,0.028839,0.029568,0.000000,0.001488,0.000000,0.000000,0.001082,0.000000,0.000000,0.000000,0.000000,0.000000,0.013529,0.000000,0.000000,0.001488,0.000000,0.001488,0.000000,0.013529,0.001488,0.000000,0.000000,LONG,0.644762,-0.900282,1.000000,0.117393,-0.001483,-0.083933,0.999585,0.397524,-0.492770
