family,classification,trace_notes,phases,phase_count,executed_runs,observed_runs,reward_sum,reward_per_executed_run,visual_mcm,tone_tension,bearing_neighbor_count,same_family_relation_count
dio_0nmi,stabile_reifespur,weltuebergreifend|ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn|gleiche_familie_ueber_phasen,"order_shift,sensor_relation_probe2",2,4,1,6.770993,1.692748,0.97403,0.93153,8,2
dio_1d6j,stabile_reifespur,weltuebergreifend|ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn|gleiche_familie_ueber_phasen,"order_shift,order_shift_varianz",2,5,3,4.768065,0.953613,0.991901,0.965502,8,2
dio_1iuo,stabile_reifespur,weltuebergreifend|ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn|gleiche_familie_ueber_phasen,"order_shift_drift,order_shift_resonanz",2,2,2,3.524774,1.762387,0.953851,0.940485,5,2
dio_1lam,starke_lokale_sensorikspur,ausgefuehrt|positive_konsequenz|sensorische_nachbarn,shift,1,4,0,5.19776,1.29944,0.995705,0.970582,6,0
dio_0n4c,starke_lokale_sensorikspur,ausgefuehrt|positive_konsequenz|sensorische_nachbarn,sensor_relation_probe,1,4,0,4.34092,1.08523,0.950057,0.975544,6,0
dio_1ioc,starke_lokale_sensorikspur,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,order_shift_varianz,1,2,2,3.339704,1.669852,0.9672,0.96177,6,0
dio_1fqy,starke_lokale_sensorikspur,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,order_shift_drift,1,2,2,3.10993,1.554965,0.926858,0.957579,6,0
dio_121e,starke_lokale_sensorikspur,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,order_shift,1,2,2,3.042412,1.521206,0.936537,0.951007,6,0
dio_0pw5,starke_lokale_sensorikspur,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,order_shift_resonanz,1,2,2,2.70756,1.35378,0.94575,0.959822,6,0
dio_1uyk,starke_lokale_sensorikspur,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,sensor_relation_probe2,1,2,2,2.46987,1.234935,0.93833,0.995162,6,0
dio_1r42,starke_lokale_sensorikspur,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,order_shift_resonanz,1,2,2,2.421188,1.210594,0.99664,0.9229,1,0
dio_1ytj,reifespur_mit_nachhall,weltuebergreifend|ausgefuehrt|beobachtet|nachhall_gehalten|positive_konsequenz|sensorische_nachbarn|gleiche_familie_ueber_phasen,"order_shift_drift,order_shift_varianz",2,3,4,3.443424,1.147808,0.991259,0.867444,2,2
dio_1hkr,reifespur_mit_nachhall,weltuebergreifend|ausgefuehrt|beobachtet|nachhall_gehalten|positive_konsequenz|sensorische_nachbarn|gleiche_familie_ueber_phasen,"order_shift_varianz,sensor_relation_probe",2,3,4,0.199002,0.066334,0.953977,0.797493,2,2
dio_1cpq,positive_einzelspur,ausgefuehrt|beobachtet|nachhall_gehalten|positive_konsequenz,shift,1,3,1,3.876612,1.292204,0.775503,0.865427,0,0
