run,tick,timestamp_ms,symbol_family,action,outcome_event,contact_state,inner_state,sight_state,hearing_state,feeling_state,binding_state,sehen_form_flow,sehen_form_stability,hoeren_energy_tone,fuehlen_mcm_coherence,fuehlen_mcm_tension,reward,event_reward,inner_sentence,passive_only
153,1,1767490300000000,dio_0c6o,LONG,SL,real_contact_burdened,inner_consequence_conflicted,sehen_stabile_form,hoeren_mittlere_spannung,fuehlen_koharent_ruhig,multisensory_conflicted_burden,0.05444,1.0,0.055143,0.98456,0.063445,-1.0,-1.0,"dio_0c6o: sehen_stabile_form, hoeren_mittlere_spannung, fuehlen_koharent_ruhig; Innenlage=inner_consequence_conflicted, Kontakt=real_contact_burdened, Aktion=LONG; Bindung=multisensory_conflicted_burden.",1
153,6,1767491800000000,dio_1qig,WAIT,NO_TRADE,observed_without_action,inner_consequence_quiet,sehen_geformte_bewegung,hoeren_leise,fuehlen_koharent_gespannt,multisensory_quiet_observation,-0.874202,1.0,-0.011927,0.99666,0.404548,0.0,0.0,"dio_1qig: sehen_geformte_bewegung, hoeren_leise, fuehlen_koharent_gespannt; Innenlage=inner_consequence_quiet, Kontakt=observed_without_action, Aktion=WAIT; Bindung=multisensory_quiet_observation.",1
153,7,1767492100000000,dio_0vc8,WAIT,NO_TRADE,observed_without_action,inner_consequence_quiet,sehen_bewegte_form,hoeren_dunkle_spannung,fuehlen_hohe_spannung,multisensory_quiet_observation,-0.483187,0.0,-0.183654,0.348577,0.383807,0.0,0.0,"dio_0vc8: sehen_bewegte_form, hoeren_dunkle_spannung, fuehlen_hohe_spannung; Innenlage=inner_consequence_quiet, Kontakt=observed_without_action, Aktion=WAIT; Bindung=multisensory_quiet_observation.",1
153,8,1767492400000000,dio_1g7l,WAIT,NO_TRADE,observed_without_action,inner_consequence_quiet,sehen_stabile_form,hoeren_dunkle_spannung,fuehlen_inkoharent,multisensory_quiet_observation,-0.077222,-1.0,-0.13539,-0.237909,0.163612,0.0,0.0,"dio_1g7l: sehen_stabile_form, hoeren_dunkle_spannung, fuehlen_inkoharent; Innenlage=inner_consequence_quiet, Kontakt=observed_without_action, Aktion=WAIT; Bindung=multisensory_quiet_observation.",1
153,9,1767492700000000,dio_1k0r,LONG,SL,real_contact_burdened,inner_consequence_conflicted,sehen_teilform,hoeren_mittlere_spannung,fuehlen_offen,multisensory_conflicted_burden,0.25469,0.0,-0.105623,0.370425,0.176003,-1.0,-1.0,"dio_1k0r: sehen_teilform, hoeren_mittlere_spannung, fuehlen_offen; Innenlage=inner_consequence_conflicted, Kontakt=real_contact_burdened, Aktion=LONG; Bindung=multisensory_conflicted_burden.",1
153,14,1767494200000000,dio_1t73,WAIT,NO_TRADE,observed_without_action,inner_consequence_quiet,sehen_teilform,hoeren_dunkle_spannung,fuehlen_offen,multisensory_quiet_observation,-0.37545,0.0,-0.152016,0.357435,0.313919,0.0,0.0,"dio_1t73: sehen_teilform, hoeren_dunkle_spannung, fuehlen_offen; Innenlage=inner_consequence_quiet, Kontakt=observed_without_action, Aktion=WAIT; Bindung=multisensory_quiet_observation.",1
153,15,1767494500000000,dio_1q9b,WAIT,NO_TRADE,observed_without_action,inner_consequence_quiet,sehen_stabile_form,hoeren_mittlere_spannung,fuehlen_inkoharent,multisensory_quiet_observation,-0.0554,-1.0,-0.113507,-0.231782,0.133698,0.0,0.0,"dio_1q9b: sehen_stabile_form, hoeren_mittlere_spannung, fuehlen_inkoharent; Innenlage=inner_consequence_quiet, Kontakt=observed_without_action, Aktion=WAIT; Bindung=multisensory_quiet_observation.",1
153,16,1767494800000000,dio_0rb2,WAIT,NO_TRADE,observed_without_action,inner_consequence_quiet,sehen_stabile_form,hoeren_mittlere_spannung,fuehlen_inkoharent,multisensory_quiet_observation,0.033347,-1.0,-0.051115,-0.214312,0.076944,0.0,0.0,"dio_0rb2: sehen_stabile_form, hoeren_mittlere_spannung, fuehlen_inkoharent; Innenlage=inner_consequence_quiet, Kontakt=observed_without_action, Aktion=WAIT; Bindung=multisensory_quiet_observation.",1
153,17,1767495100000000,dio_1jo7,WAIT,NO_TRADE,observed_without_action,inner_consequence_quiet,sehen_stabile_form,hoeren_helle_spannung,fuehlen_inkoharent,multisensory_quiet_observation,-0.044569,-1.0,0.140686,-0.239392,0.163189,0.0,0.0,"dio_1jo7: sehen_stabile_form, hoeren_helle_spannung, fuehlen_inkoharent; Innenlage=inner_consequence_quiet, Kontakt=observed_without_action, Aktion=WAIT; Bindung=multisensory_quiet_observation.",1
153,18,1767495400000000,dio_1w4m,WAIT,NO_TRADE,observed_without_action,inner_consequence_quiet,sehen_teilform,hoeren_helle_spannung,fuehlen_offen,multisensory_quiet_observation,-0.344651,0.0,0.165485,0.353664,0.253604,0.0,0.0,"dio_1w4m: sehen_teilform, hoeren_helle_spannung, fuehlen_offen; Innenlage=inner_consequence_quiet, Kontakt=observed_without_action, Aktion=WAIT; Bindung=multisensory_quiet_observation.",1
