target_family,reference_family,neighbor_consequence_state,sensor_distance,sensor_similarity,target_reward_sum,reference_reward_sum,target_executed_rows,target_observed_rows,reference_executed_rows,reference_observed_rows,target_class,reference_class,target_phases,reference_phases
dio_0eh8,dio_0nmi,reifende_verwandtschaft,0.07339,0.92661,0.742752,6.770993,1,5,4,1,observation_maturing_pattern,matured_action_pattern,"sensor_relation_probe4,sensor_relation_probe8_negativkontakt","order_shift,sensor_relation_probe2"
dio_14eb,dio_1vm7,reifende_verwandtschaft,0.108066,0.891934,2.841602,3.554517,2,2,3,2,local_observation_to_action,matured_action_pattern,sensor_relation_probe8_negativkontakt,"sensor_relation_probe5,sensor_relation_probe5_repeat"
dio_14eb,dio_09jn,reifende_verwandtschaft,0.113349,0.886651,2.841602,4.693512,2,2,15,5,local_observation_to_action,matured_action_pattern,sensor_relation_probe8_negativkontakt,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat"
dio_0eh8,dio_1tik,reifende_verwandtschaft,0.424195,0.575805,0.742752,3.63996,1,5,8,4,observation_maturing_pattern,direct_mature_pattern,"sensor_relation_probe4,sensor_relation_probe8_negativkontakt","sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat"
dio_16kb,dio_1tik,beobachtete_verwandtschaft,0.090747,0.909253,0.0,3.63996,0,4,8,4,held_observation_pattern,direct_mature_pattern,sensor_relation_probe8_negativkontakt,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat"
dio_1kqv,dio_09jn,beobachtete_verwandtschaft,0.113465,0.886535,0.0,4.693512,0,20,15,5,held_observation_pattern,matured_action_pattern,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat"
dio_16kb,dio_0a54,beobachtete_verwandtschaft,0.188079,0.811921,0.0,3.445308,0,4,6,4,held_observation_pattern,matured_action_pattern,sensor_relation_probe8_negativkontakt,"sensor_relation_probe3,sensor_relation_probe4,sensor_relation_probe4_repeat"
dio_1kqv,dio_1vm7,beobachtete_verwandtschaft,0.260959,0.739041,0.0,3.554517,0,20,3,2,held_observation_pattern,matured_action_pattern,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat"
dio_1kqv,dio_14mj,beobachtete_verwandtschaft,0.282508,0.717492,0.0,7.185447,0,20,9,3,held_observation_pattern,matured_action_pattern,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat"
dio_16kb,dio_0nmi,beobachtete_verwandtschaft,0.303638,0.696362,0.0,6.770993,0,4,4,1,held_observation_pattern,matured_action_pattern,sensor_relation_probe8_negativkontakt,"order_shift,sensor_relation_probe2"
