tick,timestamp_ms,symbol,symbol_family,action,raw_action,phase_active,phase_distance,phase_age,episode_binding_pressure,episode_release_pressure,episode_relation,mini_temporal_state,mini_family_age,mini_ticks_since_family_seen,mini_recurrence_strength,mini_afterimage,mini_time_distance,mini_temporal_form_distance,mini_temporal_trust_support,mini_temporal_caution_support,mini_neuro_dominant_tone,mini_focus_tone,mini_trust_tone,mini_caution_tone,mini_strain_tone,mini_relief_tone,mini_observation_tone,mini_neuro_support,mini_neuro_load,mini_neuro_balance,best_action_training,reward,close_reward,best_reward_training,outcome_event,event_reward,event_raw_return,entry_price,tp_price,sl_price,exit_price,bars_held,better_entry_training,entry_improvement_room,score_wait,score_long,score_short,base_score_wait,base_score_long,base_score_short,wait_bias,trade_caution_long,trade_caution_short,immature_memory_pressure_long,immature_memory_pressure_short,weak_signal_pressure_long,weak_signal_pressure_short,readiness_wait,readiness_long,readiness_short,memory_bias_wait,memory_bias_long,memory_bias_short,associative_wait,associative_long,associative_short,observation_wait,observation_long,observation_short,observation_readiness_wait,observation_readiness_long,observation_readiness_short,trade_readiness,associative_trade,observation_trade_signal,observation_trade_readiness,maturity_gap,mature_transfer,observation_learning_action,observation_learning_pressure,sehen_form_flow,sehen_form_stability,sehen_form_change,hoeren_energy_tone,hoeren_energy_shift,fuehlen_mcm_coherence,fuehlen_mcm_tension,fuehlen_mcm_asymmetry
1,1767490300000000,dio_0cgnxn5,dio_0cgn,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.745149,0.005045,0.226950,0.148794,0.324199,0.430548,0.365462,0.162351,0.203110,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,102.15000000,102.15000000,102.15000000,102.15000000,0,102.15000000,0.000000,0.012030,-0.043250,-0.031964,-0.010136,0.005052,0.003712,0.022166,0.048695,0.046468,0.019997,0.019703,0.028698,0.026765,0.000000,0.000172,0.014839,0.000000,0.000392,0.010792,0.000000,0.002450,0.000000,0.000000,0.000000,0.134902,0.000000,0.000000,0.014839,0.014839,0.002450,0.134902,0.014839,0.000000,0.002450,SHORT,0.539270,0.054440,1.000000,0.108879,0.055143,0.206897,0.984560,0.063445,0.097996
2,1767490600000000,dio_0fa9zle,dio_0fa9,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,observation_tone,0.230830,0.001942,0.281553,0.255965,0.263741,0.433287,0.206504,0.231388,-0.024884,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,101.68000000,101.68000000,101.68000000,101.68000000,0,101.68000000,0.000000,0.025906,-0.053088,-0.050565,0.003535,-0.004182,-0.005057,0.022371,0.049014,0.049662,0.019999,0.019886,0.029015,0.029776,0.000000,0.000047,0.005711,0.000000,0.000108,0.004154,0.000000,0.000673,0.000000,0.000000,0.000000,0.051921,0.000000,0.000000,0.005711,0.005711,0.000673,0.051921,0.005711,0.000000,0.000673,SHORT,0.207563,-0.201426,-1.000000,-0.620110,0.360444,0.804878,-0.300924,0.335203,-0.100649
3,1767490900000000,dio_06bdgpn,dio_06bd,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,observation_tone,0.364517,0.003259,0.296661,0.284634,0.247354,0.432124,0.240190,0.250077,-0.009887,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,101.18000000,101.18000000,101.18000000,101.18000000,0,101.18000000,0.000000,0.021875,-0.051443,-0.045050,-0.000410,-0.002043,-0.003142,0.022284,0.049527,0.048880,0.019999,0.019808,0.029529,0.029072,0.000000,0.000056,0.009587,0.000000,0.000127,0.006972,0.000000,0.000795,0.000000,0.000000,0.000000,0.087152,0.000000,0.000000,0.009587,0.009587,0.000795,0.087152,0.009587,0.000000,0.000795,SHORT,0.348481,-0.473624,-0.333333,-0.345201,0.373255,0.295567,0.095489,0.410921,-0.288964
4,1767491200000000,dio_0ojrw25,dio_0ojr,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,observation_tone,0.425993,0.004075,0.310812,0.311567,0.232001,0.431404,0.253833,0.267615,-0.013782,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.72000000,100.72000000,100.72000000,100.72000000,0,100.72000000,0.000000,0.019624,-0.050784,-0.042153,-0.002606,-0.001183,-0.002571,0.022230,0.049740,0.048299,0.019999,0.019760,0.029741,0.028538,0.000000,0.000061,0.011986,0.000000,0.000139,0.008717,0.000000,0.000869,0.000000,0.000000,0.000000,0.108959,0.000000,0.000000,0.011986,0.011986,0.000869,0.108959,0.011986,0.000000,0.000869,SHORT,0.435715,-0.724046,0.000000,-0.188908,0.350179,0.137457,0.301950,0.481400,-0.423312
5,1767491500000000,dio_04zirxa,dio_04zi,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.651860,0.006012,0.315671,0.319869,0.227098,0.429695,0.316173,0.273240,0.042933,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.34000000,100.34000000,100.34000000,100.34000000,0,100.34000000,0.000000,0.012859,-0.031222,-0.049877,-0.009243,0.002056,0.000098,0.022102,0.046298,0.049975,0.019646,0.020000,0.026652,0.029975,0.000000,0.017683,0.000000,0.000000,0.013020,0.000000,0.000000,0.001462,0.000000,0.000000,0.159827,0.000000,0.000000,0.017581,0.000000,0.017683,0.001462,0.159827,0.017581,0.000000,0.001462,LONG,0.639130,-0.984391,1.000000,0.101715,0.180164,-0.057307,0.949554,0.505388,-0.538309
6,1767491800000000,dio_1qigcjr,dio_1qig,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.678623,0.006009,0.295441,0.280724,0.249295,0.429698,0.328994,0.247898,0.081096,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.08000000,100.08000000,100.08000000,100.08000000,0,100.08000000,0.000000,0.011769,-0.030195,-0.048665,-0.010334,0.002927,0.001070,0.022102,0.046130,0.049735,0.019647,0.020000,0.026483,0.029735,0.000000,0.017673,0.000000,0.000000,0.013008,0.000000,0.000000,0.001418,0.000000,0.000000,0.159765,0.000000,0.000000,0.017574,0.000000,0.017673,0.001418,0.159765,0.017574,0.000000,0.001418,LONG,0.638900,-0.874202,1.000000,0.202334,-0.011927,-0.101781,0.996660,0.404548,-0.461349
7,1767492100000000,dio_0vc85jd,dio_0vc8,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.452039,0.001686,0.291308,0.274971,0.252990,0.433512,0.265827,0.243663,0.022163,SHORT,0.000000,0.000000,0.438144,NO_TRADE,0.000000,0.000000,100.30000000,100.30000000,100.30000000,100.30000000,0,100.30000000,0.000000,0.018510,-0.048979,-0.046405,-0.003878,0.000679,-0.000797,0.022388,0.049796,0.049214,0.019999,0.019901,0.029797,0.029314,0.000000,0.000060,0.004959,0.000000,0.000138,0.003606,0.000000,0.000863,0.000000,0.000000,0.000000,0.045081,0.000000,0.000000,0.004959,0.004959,0.000863,0.045081,0.004959,0.000000,0.000863,SHORT,0.411448,-0.483187,0.000000,0.648337,-0.183654,-0.206186,0.348577,0.383807,-0.156221
8,1767492400000000,dio_1g7l35z,dio_1g7l,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,observation_tone,0.273970,0.002027,0.247220,0.189337,0.301511,0.433211,0.227661,0.188298,0.039362,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.58000000,100.58000000,100.58000000,100.58000000,0,100.58000000,0.000000,0.024121,-0.051199,-0.047388,0.001755,-0.001717,-0.002336,0.022366,0.049606,0.049389,0.019999,0.019881,0.029607,0.029508,0.000000,0.000054,0.005963,0.000000,0.000124,0.004337,0.000000,0.000774,0.000000,0.000000,0.000000,0.054211,0.000000,0.000000,0.005963,0.005963,0.000774,0.054211,0.005963,0.000000,0.000774,SHORT,0.216732,-0.077222,-1.000000,0.464469,-0.135390,0.080214,-0.237909,0.163612,0.084271
9,1767492700000000,dio_1k0rwi1,dio_1k0r,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.496659,0.003766,0.249655,0.193209,0.299142,0.431677,0.289690,0.190996,0.098694,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.80000000,100.80000000,100.80000000,100.80000000,0,100.80000000,0.000000,0.018115,-0.047157,-0.038836,-0.004136,0.002068,0.000820,0.022251,0.049439,0.047712,0.019998,0.019778,0.029440,0.027934,0.000000,0.000093,0.011077,0.000000,0.000213,0.008056,0.000000,0.001332,0.000000,0.000000,0.000000,0.100703,0.000000,0.000000,0.011077,0.011077,0.001332,0.100703,0.011077,0.000000,0.001332,SHORT,0.402655,0.254690,0.000000,0.154195,-0.105623,-0.057471,0.370425,0.176003,0.168139
10,1767493000000000,dio_10kxynx,dio_10kx,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.488919,0.003790,0.259296,0.211896,0.288544,0.431656,0.284983,0.203087,0.081896,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.62000000,100.62000000,100.62000000,100.62000000,0,100.62000000,0.000000,0.017928,-0.047210,-0.038760,-0.004321,0.002061,0.000829,0.022249,0.049449,0.047698,0.019998,0.019777,0.029450,0.027921,0.000000,0.000078,0.011148,0.000000,0.000179,0.008108,0.000000,0.001116,0.000000,0.000000,0.000000,0.101348,0.000000,0.000000,0.011148,0.011148,0.001116,0.101348,0.011148,0.000000,0.001116,SHORT,0.405268,0.299760,0.000000,-0.464234,-0.057187,-0.062112,0.383988,0.224195,0.044027
