tick,timestamp_ms,symbol,symbol_family,action,raw_action,phase_active,phase_distance,phase_age,episode_binding_pressure,episode_release_pressure,episode_relation,best_action_training,reward,close_reward,best_reward_training,outcome_event,event_reward,event_raw_return,entry_price,tp_price,sl_price,exit_price,bars_held,better_entry_training,entry_improvement_room,score_wait,score_long,score_short,base_score_wait,base_score_long,base_score_short,wait_bias,trade_caution_long,trade_caution_short,immature_memory_pressure_long,immature_memory_pressure_short,weak_signal_pressure_long,weak_signal_pressure_short,readiness_wait,readiness_long,readiness_short,memory_bias_wait,memory_bias_long,memory_bias_short,associative_wait,associative_long,associative_short,observation_wait,observation_long,observation_short,observation_readiness_wait,observation_readiness_long,observation_readiness_short,trade_readiness,associative_trade,observation_trade_signal,observation_trade_readiness,maturity_gap,mature_transfer,observation_learning_action,observation_learning_pressure,sehen_form_flow,sehen_form_stability,sehen_form_change,hoeren_energy_tone,hoeren_energy_shift,fuehlen_mcm_coherence,fuehlen_mcm_tension,fuehlen_mcm_asymmetry
1,1767225900000000,dio_02jf6qj,dio_02jf,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.84000000,100.84000000,100.84000000,100.84000000,0,100.84000000,0.000000,0.012002,0.011876,-0.046097,-0.009101,0.004838,0.003138,0.021103,0.039736,0.049235,0.018758,0.020000,0.020978,0.029235,0.000000,0.062085,0.000000,0.000000,0.046774,0.000000,0.000000,0.014862,0.000000,0.000000,0.554950,0.000000,0.000000,0.061045,0.000000,0.062085,0.014862,0.554950,0.061045,0.000000,0.014862,LONG,0.556228,0.254588,1.000000,0.509176,0.045561,0.169492,0.987243,0.207531,0.298670
2,1767226200000000,dio_161rnmk,dio_161r,LONG,LONG,0,1.000000,9999,0.000000,1.000000,none,LONG,1.000000,1.809276,1.000000,TP,1.000000,0.005925,101.26000000,101.86000000,100.66000000,101.86000000,1,101.18000000,0.000790,0.011321,0.016922,-0.045031,-0.009680,0.005723,0.004001,0.021001,0.039117,0.049032,0.018667,0.020000,0.020450,0.029032,0.000000,0.066637,0.000000,0.000000,0.050317,0.000000,0.000000,0.016988,0.000000,0.000000,0.594980,0.000000,0.000000,0.065448,0.000000,0.066637,0.016988,0.594980,0.065448,0.000000,0.016988,-,0.000000,0.487038,1.000000,-0.046397,0.028333,-0.033333,0.992067,0.223880,0.254939
7,1767227700000000,dio_17cmhvt,dio_17cm,WAIT,WAIT,0,0.190406,5,0.000000,1.000000,different_contact,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,103.58000000,103.58000000,103.58000000,103.58000000,0,103.58000000,0.000000,0.013763,-0.006608,-0.047830,-0.007900,0.006370,0.001741,0.021663,0.042368,0.049571,0.019256,0.020000,0.023112,0.029571,0.000000,0.037196,0.000000,0.000000,0.029391,0.000000,0.000000,0.021448,0.000000,0.000000,0.324494,0.000000,0.000000,0.035694,0.000000,0.037196,0.021448,0.324494,0.035694,0.000000,0.021448,LONG,0.651902,0.993623,1.000000,0.118334,0.071999,0.158501,0.979840,0.466495,0.616530
8,1767228000000000,dio_0fswicp,dio_0fsw,WAIT,WAIT,0,0.142213,6,0.000000,1.000000,different_contact,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,103.96000000,103.96000000,103.96000000,103.96000000,0,103.96000000,0.000000,0.013685,-0.036772,-0.046849,-0.008780,0.007243,0.002532,0.022466,0.047506,0.049380,0.019969,0.020000,0.027537,0.029380,0.000000,0.001527,0.000000,0.000000,0.003491,0.000000,0.000000,0.021818,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001527,0.021818,0.000000,0.000000,0.020291,0.001527,SHORT,0.662572,1.000000,1.000000,-0.119407,0.000545,-0.072046,0.999847,0.439334,0.516933
9,1767228300000000,dio_17y45qm,dio_17y4,WAIT,WAIT,0,0.341725,7,0.000000,1.000000,different_contact,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,103.76000000,103.76000000,103.76000000,103.76000000,0,103.76000000,0.000000,0.017719,-0.043679,-0.012733,-0.003835,0.003283,-0.000188,0.021555,0.048765,0.043101,0.019984,0.019160,0.028780,0.023941,0.000000,0.000788,0.042014,0.000000,0.001802,0.030555,0.000000,0.011261,0.000000,0.000000,0.000000,0.381943,0.000000,0.000000,0.042014,0.042014,0.011261,0.381943,0.042014,0.000000,0.011261,SHORT,0.437355,0.600747,0.000000,-0.684449,-0.056631,0.014124,0.384143,0.385611,0.174975
10,1767228600000000,dio_17o5wau,dio_17o5,WAIT,WAIT,0,0.580787,8,0.000000,1.000000,none,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,103.34000000,103.34000000,103.34000000,103.34000000,0,103.34000000,0.000000,0.023143,-0.026518,-0.051077,0.001224,-0.000581,-0.001431,0.021919,0.045404,0.049647,0.019484,0.020000,0.025921,0.029647,0.000000,0.025816,0.000000,0.000000,0.019467,0.000000,0.000000,0.006346,0.000000,0.000000,0.230650,0.000000,0.000000,0.025371,0.000000,0.025816,0.006346,0.230650,0.025371,0.000000,0.006346,LONG,0.231144,0.161749,-1.000000,-0.708479,-0.032799,0.000000,-0.209184,0.195067,-0.079455
11,1767228900000000,dio_1u7qufa,dio_1u7q,WAIT,WAIT,0,0.406925,9,0.000000,1.000000,none,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,103.02000000,103.02000000,103.02000000,103.02000000,0,103.02000000,0.000000,0.016239,-0.005614,-0.049081,-0.005232,0.002447,0.000736,0.021472,0.042092,0.049817,0.019086,0.020000,0.023006,0.029817,0.000000,0.045710,0.000000,0.000000,0.034031,0.000000,0.000000,0.007215,0.000000,0.000000,0.410959,0.000000,0.000000,0.045205,0.000000,0.045710,0.007215,0.410959,0.045205,0.000000,0.007215,LONG,0.411513,-0.300358,0.000000,-0.258769,-0.048848,-0.070822,0.386322,0.188070,-0.244470
12,1767229200000000,dio_06c2urd,dio_06c2,WAIT,WAIT,0,0.482047,10,0.000000,1.000000,none,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,103.18000000,103.18000000,103.18000000,103.18000000,0,103.18000000,0.000000,0.017027,-0.005577,-0.050172,-0.004440,0.002338,-0.000229,0.021466,0.042084,0.049943,0.019081,0.020000,0.023002,0.029943,0.000000,0.045936,0.000000,0.000000,0.034169,0.000000,0.000000,0.006976,0.000000,0.000000,0.413158,0.000000,0.000000,0.045447,0.000000,0.045936,0.006976,0.413158,0.045447,0.000000,0.006976,LONG,0.413687,-0.416827,0.000000,0.508425,-0.114635,-0.180723,0.367902,0.304562,-0.147546
13,1767229500000000,dio_0635nbd,dio_0635,WAIT,WAIT,0,0.670753,11,0.000000,1.000000,none,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,103.81000000,103.81000000,103.81000000,103.81000000,0,103.81000000,0.000000,0.024360,-0.030787,-0.052539,0.002358,-0.001519,-0.003355,0.022001,0.046152,0.049184,0.019557,0.020000,0.026595,0.029184,0.000000,0.022163,0.000000,0.000000,0.016883,0.000000,0.000000,0.007010,0.000000,0.000000,0.197022,0.000000,0.000000,0.021672,0.000000,0.022163,0.007010,0.197022,0.021672,0.000000,0.007010,LONG,0.197556,0.026771,-1.000000,0.885511,0.181073,0.472779,-0.250700,0.228976,0.322070
14,1767229800000000,dio_15voqz9,dio_15vo,WAIT,WAIT,0,0.382589,12,0.000000,1.000000,none,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,104.48000000,104.48000000,104.48000000,104.48000000,0,104.48000000,0.000000,0.019402,-0.002762,-0.051198,-0.002016,0.002523,-0.001590,0.021417,0.041689,0.049608,0.019038,0.020000,0.022652,0.029608,0.000000,0.048114,0.000000,0.000000,0.036405,0.000000,0.000000,0.012949,0.000000,0.000000,0.429163,0.000000,0.000000,0.047208,0.000000,0.048114,0.012949,0.429163,0.047208,0.000000,0.012949,LONG,0.430132,0.612864,0.000000,0.548146,0.188914,0.067568,0.347104,0.424450,0.488272
