tick,timestamp_ms,symbol,symbol_family,action,raw_action,phase_active,phase_distance,phase_age,episode_binding_pressure,episode_release_pressure,episode_relation,best_action_training,reward,best_reward_training,better_entry_training,score_wait,score_long,score_short,readiness_wait,readiness_long,readiness_short,memory_bias_wait,memory_bias_long,memory_bias_short,associative_wait,associative_long,associative_short,trade_readiness,associative_trade,maturity_gap,mature_transfer,observation_learning_action,observation_learning_pressure,sehen_form_flow,sehen_form_stability,sehen_form_change,hoeren_energy_tone,hoeren_energy_shift,fuehlen_mcm_coherence,fuehlen_mcm_tension,fuehlen_mcm_asymmetry
1,1767250300000000,dio_1r0hda7,dio_1r0h,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,1.637852,99.74000000,0.050801,-0.046799,-0.062952,0.000000,0.008423,0.004356,0.000000,0.019254,0.009957,0.000000,0.120335,0.062231,0.008423,0.120335,0.111912,0.008423,SHORT,0.114860,-0.111178,1.000000,-0.222356,0.101323,0.400000,0.971630,0.124827,-0.035625
2,1767250600000000,dio_0dcm0af,dio_0dcm,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,1.373445,99.54000000,0.050808,-0.051479,-0.066429,0.000000,0.007445,0.003766,0.000000,0.017017,0.008608,0.000000,0.106354,0.053798,0.007445,0.106354,0.098909,0.007445,SHORT,0.101514,-0.222356,1.000000,-0.000446,0.160258,0.283019,0.955128,0.160769,-0.068022
3,1767250900000000,dio_1sxooqm,dio_1sxo,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,0.892464,99.08000000,0.052312,-0.061170,-0.072273,0.000000,0.005982,0.003387,0.000000,0.013674,0.007741,0.000000,0.085463,0.048384,0.005982,0.085463,0.079481,0.005982,SHORT,0.081574,-0.478065,1.000000,-0.290895,0.358512,0.659341,0.899617,0.397905,-0.205663
4,1767251200000000,dio_030975f,dio_0309,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,0.374544,98.34000000,0.054266,-0.068433,-0.077690,0.000000,0.005050,0.002955,0.000000,0.011544,0.006755,0.000000,0.072150,0.042218,0.005050,0.072150,0.067099,0.005050,SHORT,0.068867,-0.889423,1.000000,-0.510313,0.430579,0.392857,0.879438,0.636051,-0.541980
5,1767251500000000,dio_1j78aih,dio_1j78,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,0.087611,97.72000000,0.053718,-0.066622,-0.077573,0.000000,0.005425,0.002786,0.000000,0.012400,0.006368,0.000000,0.077500,0.039801,0.005425,0.077500,0.072075,0.005425,LONG,0.073974,-1.000000,1.000000,-0.178474,0.228000,-0.057143,0.936160,0.544316,-0.614262
6,1767251800000000,dio_1mml4kx,dio_1mml,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,0.207188,97.66000000,0.053745,-0.064675,-0.078310,0.000000,0.005442,0.002377,0.000000,0.012440,0.005433,0.000000,0.077748,0.033959,0.005442,0.077748,0.072305,0.005442,LONG,0.074210,-1.000000,1.000000,0.613060,-0.154210,-0.513514,0.956821,0.582858,-0.515568
7,1767252100000000,dio_1v23ekc,dio_1v23,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,0.172721,97.78000000,0.058876,-0.070631,-0.079262,0.000000,0.004082,0.002351,0.000000,0.009329,0.005374,0.000000,0.058309,0.033586,0.004082,0.058309,0.054227,0.004082,LONG,0.055656,-0.728928,0.000000,0.669394,-0.292716,-0.248619,0.318040,0.536194,-0.297269
8,1767252400000000,dio_0qb31rn,dio_0qb3,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,0.019169,97.90000000,0.062423,-0.074198,-0.076569,0.000000,0.003017,0.002540,0.000000,0.006896,0.005806,0.000000,0.043102,0.036290,0.003017,0.043102,0.040084,0.003017,LONG,0.041140,-0.248571,-1.000000,0.347098,-0.225694,0.060976,-0.263194,0.254727,-0.043701
9,1767252700000000,dio_01nfcv4,dio_01nf,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,0.155676,97.78000000,0.062170,-0.073589,-0.074061,0.000000,0.002956,0.002717,0.000000,0.006756,0.006210,0.000000,0.042224,0.038813,0.002956,0.042224,0.039268,0.002956,LONG,0.040303,0.034111,-1.000000,-0.204416,-0.136738,0.000000,-0.238287,0.104463,-0.029958
10,1767253000000000,dio_0nmiyar,dio_0nmi,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,0.104207,97.94000000,0.055969,-0.066167,-0.071087,0.000000,0.003795,0.002797,0.000000,0.008675,0.006393,0.000000,0.054216,0.039959,0.003795,0.054216,0.050421,0.003795,LONG,0.051749,0.159283,0.000000,0.136249,-0.027670,0.000000,0.392253,0.100320,0.121898
