tick,timestamp_ms,symbol,symbol_family,action,raw_action,phase_active,phase_distance,phase_age,episode_binding_pressure,episode_release_pressure,episode_relation,best_action_training,reward,best_reward_training,entry_price,better_entry_training,entry_improvement_room,score_wait,score_long,score_short,readiness_wait,readiness_long,readiness_short,memory_bias_wait,memory_bias_long,memory_bias_short,associative_wait,associative_long,associative_short,observation_wait,observation_long,observation_short,observation_readiness_wait,observation_readiness_long,observation_readiness_short,trade_readiness,associative_trade,observation_trade_signal,observation_trade_readiness,maturity_gap,mature_transfer,observation_learning_action,observation_learning_pressure,sehen_form_flow,sehen_form_stability,sehen_form_change,hoeren_energy_tone,hoeren_energy_shift,fuehlen_mcm_coherence,fuehlen_mcm_tension,fuehlen_mcm_asymmetry
1,1767310300000000,dio_1fqyxat,dio_1fqy,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,1.554965,99.70000000,99.70000000,0.000000,0.050907,-0.057560,-0.058629,0.000000,0.005518,0.005318,0.000000,0.012612,0.012155,0.000000,0.078823,0.075971,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005518,0.078823,0.000000,0.000000,0.073306,0.005518,SHORT,0.075237,-0.100120,1.000000,-0.200240,0.054600,0.210526,0.984712,0.097021,-0.062020
2,1767310600000000,dio_18jeg3q,dio_18je,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,1.342856,99.34000000,99.34000000,0.000000,0.051485,-0.063527,-0.061584,0.000000,0.004704,0.005394,0.000000,0.010752,0.012330,0.000000,0.067202,0.077061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005394,0.077061,0.000000,0.000000,0.071667,0.005394,SHORT,0.073555,-0.300360,1.000000,-0.200963,0.198053,0.434783,0.944545,0.241488,-0.129477
3,1767310900000000,dio_1xdwpk4,dio_1xdw,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,0.575858,98.64000000,98.64000000,0.000000,0.053477,-0.073450,-0.068319,0.000000,0.003376,0.004999,0.000000,0.007716,0.011427,0.000000,0.048226,0.071418,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004999,0.071418,0.000000,0.000000,0.066418,0.004999,SHORT,0.068168,-0.689717,1.000000,-0.482223,0.411183,0.666667,0.884869,0.539534,-0.368642
4,1767311200000000,dio_1y8o1c5,dio_1y8o,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,0.087496,97.78000000,97.78000000,0.000000,0.054826,-0.076917,-0.073541,0.000000,0.003087,0.004275,0.000000,0.007056,0.009771,0.000000,0.044100,0.061071,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004275,0.061071,0.000000,0.000000,0.056796,0.004275,LONG,0.058292,-1.000000,1.000000,-0.507267,0.461296,0.327869,0.870837,0.694907,-0.616170
5,1767311500000000,dio_1gz3642,dio_1gz3,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,0.361255,97.56000000,97.56000000,0.000000,0.053481,-0.070505,-0.073526,0.000000,0.003946,0.003469,0.000000,0.009020,0.007929,0.000000,0.056373,0.049555,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003946,0.056373,0.000000,0.000000,0.052427,0.003946,LONG,0.053808,-1.000000,1.000000,0.467632,-0.036632,-0.612745,0.989743,0.510207,-0.570317
6,1767311800000000,dio_0my4jxv,dio_0my4,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,0.428722,97.72000000,97.72000000,0.000000,0.059390,-0.073309,-0.075936,0.000000,0.003660,0.003554,0.000000,0.008365,0.008123,0.000000,0.052282,0.050766,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003660,0.052282,0.000000,0.000000,0.048622,0.003660,LONG,0.049903,-0.905979,0.000000,0.849447,-0.246235,-0.312500,0.331054,0.619842,-0.365981
7,1767312100000000,dio_1e6ys9r,dio_1e6y,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,0.941453,97.62000000,97.62000000,0.000000,0.058445,-0.070912,-0.071398,0.000000,0.004003,0.004158,0.000000,0.009151,0.009504,0.000000,0.057192,0.059398,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004158,0.059398,0.000000,0.000000,0.055240,0.004158,LONG,0.056695,-0.574480,0.000000,0.231797,-0.261672,-0.050000,0.326732,0.388271,-0.276077
8,1767312400000000,dio_15thoa4,dio_15th,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,1.296838,97.84000000,97.84000000,0.000000,0.061966,-0.068199,-0.071138,0.000000,0.004028,0.003518,0.000000,0.009208,0.008041,0.000000,0.057549,0.050259,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004028,0.057549,0.000000,0.000000,0.053521,0.004028,LONG,0.054931,0.034090,-1.000000,0.310895,-0.208526,0.000000,-0.258387,0.151642,0.093705
9,1767312700000000,dio_1k0rwi1,dio_1k0r,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,1.668707,98.00000000,98.00000000,0.000000,0.056436,-0.063373,-0.066416,0.000000,0.004439,0.004117,0.000000,0.010145,0.009410,0.000000,0.063407,0.058811,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004439,0.063407,0.000000,0.000000,0.058969,0.004439,LONG,0.060522,0.250558,0.000000,0.075394,-0.088999,-0.038168,0.375080,0.154677,0.150774
10,1767313000000000,dio_1iuouyj,dio_1iuo,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,1.802820,98.10000000,98.10000000,0.000000,0.056279,-0.063297,-0.065899,0.000000,0.004461,0.004129,0.000000,0.010198,0.009438,0.000000,0.063736,0.058988,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004461,0.063736,0.000000,0.000000,0.059274,0.004461,LONG,0.060836,0.216037,0.000000,0.007244,-0.069043,-0.088496,0.380668,0.120893,0.105020
