family,run_count,first_run,last_run,executed_runs,observed_runs,held_runs,raw_runs,reward_sum,max_trade_readiness,max_mature_transfer,transition
dio_1ioc,4,40,43,2,2,0,2,3.339704,0.232116,0.079776,observation_to_execution
dio_1sxo,2,40,41,1,1,0,1,0.993834,0.076944,0.069375,observation_to_execution
dio_1d6j,4,40,43,4,0,0,4,3.624284,0.523523,0.05709,persistent_execution
dio_03fl,4,40,43,0,4,1,1,0.0,0.049949,0.049949,raw_pressure_held
dio_151h,4,40,43,0,4,0,0,0.0,0.010461,0.010461,stable_observation
dio_1hkr,4,40,43,0,4,2,2,0.0,0.091462,0.055656,raw_pressure_held
dio_1ytj,4,40,43,0,4,2,2,0.0,0.122182,0.058633,raw_pressure_held
dio_066x,3,40,43,0,3,0,0,0.0,0.017901,0.017901,stable_observation
dio_0iy2,3,40,43,0,3,0,0,0.0,0.01359,0.01359,stable_observation
dio_0q8z,2,40,41,0,2,0,0,0.0,0.017637,0.017637,stable_observation
dio_0mp4,1,40,40,0,1,0,0,0.0,0.004609,0.004609,stable_observation
dio_0r8e,1,40,40,0,1,0,0,0.0,0.004006,0.004006,stable_observation
