family,family_count,strongest_action_trace,reflection_map_states,timeline_state,current_seen_count,current_executed_count,current_observed_potential_count,current_held_pressure_count,current_reward_sum,current_best_reward_sum,current_actions,current_states,last_run,last_tick,timeline,stored_passive_sentence,timeline_passive_sentence,cortex_sentence
dio_04z7,8,LONG,-,-,4,4,0,0,4.34704,4.34704,LONG:4,executed_aligned:4,140,14,-,dio_04z7: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,dio_04z7: aktuelle Welt sieht 4 Kontakte; Aktenlage bleibt offen.
dio_0ofo,7,LONG,-,-,4,4,0,0,5.812,5.812,LONG:4,executed_aligned:4,140,6,-,dio_0ofo: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,dio_0ofo: aktuelle Welt sieht 4 Kontakte; Aktenlage bleibt offen.
dio_14xc,8,LONG,-,-,4,0,4,0,0.0,0.378512,WAIT:4,observed_trade_potential:4,140,11,-,dio_14xc: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,dio_14xc: aktuelle Welt sieht 4 Kontakte; Aktenlage bleibt offen.
dio_1bwb,8,SHORT,-,-,4,4,0,0,3.647524,3.647524,SHORT:4,executed_aligned:4,140,1,-,dio_1bwb: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei SHORT.,,dio_1bwb: aktuelle Welt sieht 4 Kontakte; Aktenlage bleibt offen.
dio_1k7y,8,LONG,-,-,4,0,0,4,0.0,2.780168,WAIT:4,held_trade_pressure:4,140,13,-,dio_1k7y: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,dio_1k7y: aktuelle Welt sieht 4 Kontakte; Aktenlage bleibt offen.
dio_1mym,8,LONG,-,-,4,0,4,0,0.0,0.700112,WAIT:4,observed_trade_potential:4,140,12,-,dio_1mym: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,dio_1mym: aktuelle Welt sieht 4 Kontakte; Aktenlage bleibt offen.
dio_0c6o,8,LONG,reflection_memory_conflict:1|reflection_memory_quiet:2|reflection_memory_reconfirmed:1,mixed_reconfirmed_and_conflict,0,0,0,0,0.0,0.0,-,-,,,probe14:reflection_memory_quiet -> probe15:reflection_memory_reconfirmed -> probe16:reflection_memory_conflict -> probe17:reflection_memory_quiet,dio_0c6o: wurde getragen und im Konflikt wiedergefunden; die bisher staerkste Handlungsspur liegt bei LONG.,"dio_0c6o: wurde getragen, aber nicht identisch in jeder Welt; Konflikt gehoert zur Akte.","dio_0c6o: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_005q,3,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_005q: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_005q: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_00eh,6,SHORT,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_00eh: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei SHORT.,,"dio_00eh: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_00h2,3,WAIT,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_00h2: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Spur bleibt Beobachtung/Warten.,,"dio_00h2: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_00rd,3,WAIT,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_00rd: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Spur bleibt Beobachtung/Warten.,,"dio_00rd: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_00t3,2,SHORT,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_00t3: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei SHORT.,,"dio_00t3: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_0120,3,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_0120: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_0120: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_017u,3,SHORT,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_017u: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei SHORT.,,"dio_017u: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_018g,1,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_018g: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_018g: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_01nf,4,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_01nf: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_01nf: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_01nr,4,SHORT,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_01nr: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei SHORT.,,"dio_01nr: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_01ql,2,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_01ql: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_01ql: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_01xf,2,LONG,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_01xf: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei LONG.,,"dio_01xf: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_01yf,4,SHORT,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_01yf: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei SHORT.,,"dio_01yf: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
dio_026q,2,SHORT,-,-,0,0,0,0,0.0,0.0,-,-,,,-,dio_026q: hat aktive oder beobachtete Erfahrung ohne passive Reflexionskarte; die bisher staerkste Handlungsspur liegt bei SHORT.,,"dio_026q: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
