label,debug_root,family,family_state,dominant_action,episode_count,executed_count,reward_sum,states,actions,passive_sentence
probe17_first,debug\dio_mini_probe17_self_awareness_recovery\run,dio_0ofo,carried,WAIT,3,1,1.453,executed_aligned:1|observed_trade_potential:2,LONG:1|WAIT:2,dio_0ofo: wird mit WAIT getragen; Sensorik und Konsequenz liegen zusammen.
probe17_first,debug\dio_mini_probe17_self_awareness_recovery\run,dio_0n9e,carried,WAIT,3,1,1.389869,executed_aligned:1|observed_trade_potential:2,LONG:1|WAIT:2,dio_0n9e: wird mit WAIT getragen; Sensorik und Konsequenz liegen zusammen.
probe17_first,debug\dio_mini_probe17_self_awareness_recovery\run,dio_04z7,carried,WAIT,4,1,1.08676,executed_aligned:1|observed_trade_potential:3,LONG:1|WAIT:3,dio_04z7: wird mit WAIT getragen; Sensorik und Konsequenz liegen zusammen.
probe17_first,debug\dio_mini_probe17_self_awareness_recovery\run,dio_1bwb,carried,WAIT,4,1,0.911881,executed_aligned:1|observed_trade_potential:3,SHORT:1|WAIT:3,dio_1bwb: wird mit WAIT getragen; Sensorik und Konsequenz liegen zusammen.
probe17_first,debug\dio_mini_probe17_self_awareness_recovery\run,dio_0120,observed,WAIT,3,0,0.0,observed_trade_potential:3,WAIT:3,"dio_0120: wird gesehen, bleibt als Potenzial ohne Handlung."
probe17_first,debug\dio_mini_probe17_self_awareness_recovery\run,dio_040y,observed,WAIT,2,0,0.0,observed_trade_potential:2,WAIT:2,"dio_040y: wird gesehen, bleibt als Potenzial ohne Handlung."
probe17_first,debug\dio_mini_probe17_self_awareness_recovery\run,dio_0akd,observed,WAIT,3,0,0.0,observed_trade_potential:3,WAIT:3,"dio_0akd: wird gesehen, bleibt als Potenzial ohne Handlung."
probe17_first,debug\dio_mini_probe17_self_awareness_recovery\run,dio_0bmh,observed,WAIT,2,0,0.0,observed_trade_potential:2,WAIT:2,"dio_0bmh: wird gesehen, bleibt als Potenzial ohne Handlung."
probe17_first,debug\dio_mini_probe17_self_awareness_recovery\run,dio_0fzl,observed,WAIT,3,0,0.0,observed_trade_potential:3,WAIT:3,"dio_0fzl: wird gesehen, bleibt als Potenzial ohne Handlung."
probe17_first,debug\dio_mini_probe17_self_awareness_recovery\run,dio_0ps1,observed,WAIT,2,0,0.0,observed_trade_potential:2,WAIT:2,"dio_0ps1: wird gesehen, bleibt als Potenzial ohne Handlung."
probe17_first,debug\dio_mini_probe17_self_awareness_recovery\run,dio_10dk,observed,WAIT,3,0,0.0,observed_trade_potential:3,WAIT:3,"dio_10dk: wird gesehen, bleibt als Potenzial ohne Handlung."
