run,tick,symbol_family,inner_state,previous_inner_state,inner_transition,stability_kind,contact_quality,contact_state,action,reward,best_reward_training,passive_only
137,1,dio_1bwb,inner_carried,-,timeline_start,start_state,positive_real_contact,executed_positive_contact,SHORT,0.911881,0.911881,1
137,6,dio_0ofo,inner_carried,inner_carried,same_inner_state,stable_state,positive_real_contact,executed_positive_contact,LONG,1.453,1.453,1
137,11,dio_14xc,inner_open_observation,inner_carried,inner_carried_to_inner_open_observation,transition_state,observed_potential,observed_potential_contact,WAIT,0.0,0.094628,1
137,12,dio_1mym,inner_open_observation,inner_open_observation,same_inner_state,stable_state,observed_potential,observed_potential_contact,WAIT,0.0,0.175028,1
137,13,dio_1k7y,inner_unfinished,inner_open_observation,inner_open_observation_to_inner_unfinished,transition_state,observed_potential,held_active_impulse,WAIT,0.0,0.695042,1
137,14,dio_04z7,inner_carried,inner_unfinished,inner_unfinished_to_inner_carried,transition_state,positive_real_contact,executed_positive_contact,LONG,1.08676,1.08676,1
138,1,dio_1bwb,inner_carried,-,timeline_start,start_state,positive_real_contact,executed_positive_contact,SHORT,0.911881,0.911881,1
138,6,dio_0ofo,inner_carried,inner_carried,same_inner_state,stable_state,positive_real_contact,executed_positive_contact,LONG,1.453,1.453,1
138,11,dio_14xc,inner_open_observation,inner_carried,inner_carried_to_inner_open_observation,transition_state,observed_potential,observed_potential_contact,WAIT,0.0,0.094628,1
138,12,dio_1mym,inner_open_observation,inner_open_observation,same_inner_state,stable_state,observed_potential,observed_potential_contact,WAIT,0.0,0.175028,1
138,13,dio_1k7y,inner_unfinished,inner_open_observation,inner_open_observation_to_inner_unfinished,transition_state,observed_potential,held_active_impulse,WAIT,0.0,0.695042,1
138,14,dio_04z7,inner_carried,inner_unfinished,inner_unfinished_to_inner_carried,transition_state,positive_real_contact,executed_positive_contact,LONG,1.08676,1.08676,1
139,1,dio_1bwb,inner_carried,-,timeline_start,start_state,positive_real_contact,executed_positive_contact,SHORT,0.911881,0.911881,1
139,6,dio_0ofo,inner_carried,inner_carried,same_inner_state,stable_state,positive_real_contact,executed_positive_contact,LONG,1.453,1.453,1
139,11,dio_14xc,inner_open_observation,inner_carried,inner_carried_to_inner_open_observation,transition_state,observed_potential,observed_potential_contact,WAIT,0.0,0.094628,1
139,12,dio_1mym,inner_open_observation,inner_open_observation,same_inner_state,stable_state,observed_potential,observed_potential_contact,WAIT,0.0,0.175028,1
139,13,dio_1k7y,inner_unfinished,inner_open_observation,inner_open_observation_to_inner_unfinished,transition_state,observed_potential,held_active_impulse,WAIT,0.0,0.695042,1
139,14,dio_04z7,inner_carried,inner_unfinished,inner_unfinished_to_inner_carried,transition_state,positive_real_contact,executed_positive_contact,LONG,1.08676,1.08676,1
140,1,dio_1bwb,inner_carried,-,timeline_start,start_state,positive_real_contact,executed_positive_contact,SHORT,0.911881,0.911881,1
140,6,dio_0ofo,inner_carried,inner_carried,same_inner_state,stable_state,positive_real_contact,executed_positive_contact,LONG,1.453,1.453,1
140,11,dio_14xc,inner_open_observation,inner_carried,inner_carried_to_inner_open_observation,transition_state,observed_potential,observed_potential_contact,WAIT,0.0,0.094628,1
140,12,dio_1mym,inner_open_observation,inner_open_observation,same_inner_state,stable_state,observed_potential,observed_potential_contact,WAIT,0.0,0.175028,1
140,13,dio_1k7y,inner_unfinished,inner_open_observation,inner_open_observation_to_inner_unfinished,transition_state,observed_potential,held_active_impulse,WAIT,0.0,0.695042,1
140,14,dio_04z7,inner_carried,inner_unfinished,inner_unfinished_to_inner_carried,transition_state,positive_real_contact,executed_positive_contact,LONG,1.08676,1.08676,1
