run,tick,timestamp_ms,symbol,symbol_family,inner_state,reflection_posture,contact_state,action,raw_action,best_action_training,reward,best_reward_training,phase_active,episode_relation,sehen_form_flow,sehen_form_stability,hoeren_energy_tone,fuehlen_mcm_coherence,fuehlen_mcm_tension,inner_sentence,passive_only
145,1,1767600300000000,dio_1u7v0v3,dio_1u7v,inner_carried,passive_reflection_stable_carry,executed_positive_contact,SHORT,SHORT,SHORT,0.894392,0.894392,0,none,0.032622,1.0,0.039728,0.988876,0.040826,"dio_1u7v: innen getragen, realer Kontakt SHORT, reward=0.894392.",1
145,6,1767601800000000,dio_0arws0q,dio_0arw,inner_carried,passive_reflection_stable_carry,executed_positive_contact,LONG,LONG,LONG,1.384854,1.384854,0,different_contact,-0.447325,0.0,-0.00536,0.398499,0.275533,"dio_0arw: innen getragen, realer Kontakt LONG, reward=1.384854.",1
145,11,1767603300000000,dio_14xcnvd,dio_14xc,inner_open_observation,passive_reflection_open_observation,observed_potential_contact,WAIT,WAIT,LONG,0.0,0.094515,0,different_contact,0.822477,1.0,0.010545,0.997047,0.377032,dio_14xc: innen offen beobachtet; Kontaktzustand observed_potential_contact.,1
145,12,1767603600000000,dio_1vpirj0,dio_1vpi,inner_cautious,passive_reflection_caution_after_conflict,executed_negative_contact,SHORT,SHORT,LONG,-0.342483,0.142483,0,different_contact,0.742634,1.0,-0.052832,0.985207,0.348372,dio_1vpi: innen vorsichtig; Kontaktzustand executed_negative_contact.,1
145,17,1767605100000000,dio_02qut94,dio_02qu,inner_unknown,,observed_potential_contact,WAIT,WAIT,LONG,0.0,0.36744,0,different_contact,0.291659,0.0,0.053713,0.38496,0.192154,dio_02qu: keine passive Innenlage zugeordnet; Kontaktzustand observed_potential_contact.,1
145,18,1767605400000000,dio_0120ekw,dio_0120,inner_unknown,,executed_positive_contact,LONG,LONG,LONG,0.333693,0.333693,0,different_contact,0.606218,1.0,0.115901,0.967548,0.321409,dio_0120: keine passive Innenlage zugeordnet; Kontaktzustand executed_positive_contact.,1
146,1,1767600300000000,dio_1u7v0v3,dio_1u7v,inner_carried,passive_reflection_stable_carry,executed_positive_contact,SHORT,SHORT,SHORT,0.894392,0.894392,0,none,0.032622,1.0,0.039728,0.988876,0.040826,"dio_1u7v: innen getragen, realer Kontakt SHORT, reward=0.894392.",1
146,6,1767601800000000,dio_0arws0q,dio_0arw,inner_carried,passive_reflection_stable_carry,executed_positive_contact,LONG,LONG,LONG,1.384854,1.384854,0,different_contact,-0.447325,0.0,-0.00536,0.398499,0.275533,"dio_0arw: innen getragen, realer Kontakt LONG, reward=1.384854.",1
146,11,1767603300000000,dio_14xcnvd,dio_14xc,inner_open_observation,passive_reflection_open_observation,observed_potential_contact,WAIT,WAIT,LONG,0.0,0.094515,0,different_contact,0.822477,1.0,0.010545,0.997047,0.377032,dio_14xc: innen offen beobachtet; Kontaktzustand observed_potential_contact.,1
146,12,1767603600000000,dio_1vpirj0,dio_1vpi,inner_cautious,passive_reflection_caution_after_conflict,executed_negative_contact,SHORT,SHORT,LONG,-0.342483,0.142483,0,different_contact,0.742634,1.0,-0.052832,0.985207,0.348372,dio_1vpi: innen vorsichtig; Kontaktzustand executed_negative_contact.,1
