run,tick,symbol_family,inner_state,previous_inner_state,inner_transition,stability_kind,contact_quality,contact_state,action,reward,best_reward_training,passive_only
141,1,dio_1u7v,inner_carried,-,timeline_start,start_state,observed_potential,observed_potential_contact,WAIT,0.0,0.894392,1
141,2,dio_16yc,inner_unknown,inner_carried,inner_carried_to_inner_unknown,transition_state,observed_potential,observed_potential_contact,WAIT,0.0,0.325504,1
141,3,dio_1g2t,inner_unknown,inner_unknown,same_inner_state,stable_state,observed_potential,observed_potential_contact,WAIT,0.0,0.146451,1
141,4,dio_0fiy,inner_unknown,inner_unknown,same_inner_state,stable_state,observed_potential,observed_potential_contact,WAIT,0.0,0.757407,1
141,5,dio_0ems,inner_unknown,inner_unknown,same_inner_state,stable_state,observed_potential,observed_potential_contact,WAIT,0.0,1.304587,1
141,6,dio_0arw,inner_carried,inner_unknown,inner_unknown_to_inner_carried,transition_state,observed_potential,observed_potential_contact,WAIT,0.0,1.384854,1
141,7,dio_0x1o,inner_unknown,inner_carried,inner_carried_to_inner_unknown,transition_state,observed_potential,observed_potential_contact,WAIT,0.0,1.364008,1
141,8,dio_0bmh,inner_unknown,inner_unknown,same_inner_state,stable_state,observed_potential,observed_potential_contact,WAIT,0.0,0.817371,1
141,9,dio_0igh,inner_unknown,inner_unknown,same_inner_state,stable_state,observed_potential,observed_potential_contact,WAIT,0.0,0.324337,1
141,10,dio_1qwp,inner_unknown,inner_unknown,same_inner_state,stable_state,observed_potential,observed_potential_contact,WAIT,0.0,0.078757,1
141,11,dio_14xc,inner_open_observation,inner_unknown,inner_unknown_to_inner_open_observation,transition_state,observed_potential,observed_potential_contact,WAIT,0.0,0.094515,1
141,12,dio_1vpi,inner_cautious,inner_open_observation,inner_open_observation_to_inner_cautious,transition_state,negative_real_contact,executed_negative_contact,SHORT,-0.342483,0.142483,1
141,17,dio_02qu,inner_unknown,inner_cautious,inner_cautious_to_inner_unknown,transition_state,observed_potential,observed_potential_contact,WAIT,0.0,0.36744,1
141,18,dio_0120,inner_unknown,inner_unknown,same_inner_state,stable_state,observed_potential,observed_potential_contact,WAIT,0.0,0.333693,1
