symbol_family,development_state,maturation_state,count,runs,first_moment_state,last_moment_state,moment_path,binding_path,action_path,distinct_moment_count,reward_sum,event_reward_sum,development_sentence,passive_only
dio_0rb2,development_quiet_observation,maturation_quiet_observation,3,"153,154,155",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT -> WAIT,1,0.0,0.0,dio_0rb2: ruhig beobachtet/gehalten; Pfad=moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed; Aktionen=WAIT -> WAIT -> WAIT.,1
dio_0vc8,development_quiet_observation,maturation_quiet_observation,3,"153,154,155",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT -> WAIT,1,0.0,0.0,dio_0vc8: ruhig beobachtet/gehalten; Pfad=moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed; Aktionen=WAIT -> WAIT -> WAIT.,1
dio_1g7l,development_quiet_observation,maturation_quiet_observation,3,"153,154,155",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT -> WAIT,1,0.0,0.0,dio_1g7l: ruhig beobachtet/gehalten; Pfad=moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed; Aktionen=WAIT -> WAIT -> WAIT.,1
dio_1jo7,development_quiet_observation,maturation_quiet_observation,3,"153,154,155",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT -> WAIT,1,0.0,0.0,dio_1jo7: ruhig beobachtet/gehalten; Pfad=moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed; Aktionen=WAIT -> WAIT -> WAIT.,1
dio_1q9b,development_quiet_observation,maturation_quiet_observation,3,"153,154,155",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT -> WAIT,1,0.0,0.0,dio_1q9b: ruhig beobachtet/gehalten; Pfad=moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed; Aktionen=WAIT -> WAIT -> WAIT.,1
dio_1qig,development_quiet_observation,maturation_quiet_observation,3,"153,154,155",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT -> WAIT,1,0.0,0.0,dio_1qig: ruhig beobachtet/gehalten; Pfad=moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed; Aktionen=WAIT -> WAIT -> WAIT.,1
dio_1t73,development_quiet_observation,maturation_quiet_observation,3,"153,154,155",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT -> WAIT,1,0.0,0.0,dio_1t73: ruhig beobachtet/gehalten; Pfad=moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed; Aktionen=WAIT -> WAIT -> WAIT.,1
dio_1w4m,development_quiet_observation,maturation_quiet_observation,3,"153,154,155",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT -> WAIT,1,0.0,0.0,dio_1w4m: ruhig beobachtet/gehalten; Pfad=moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed; Aktionen=WAIT -> WAIT -> WAIT.,1
dio_0c6o,development_repeated_burden,maturation_stable_conflicted_burden,3,"153,154,155",moment_conflicted_burden,moment_conflicted_burden,moment_conflicted_burden -> moment_conflicted_burden -> moment_conflicted_burden,multisensory_conflicted_burden -> multisensory_conflicted_burden -> multisensory_conflicted_burden,LONG -> LONG -> LONG,1,-3.0,-3.0,dio_0c6o: wiederholt belastend/widerspruechlich; Pfad=moment_conflicted_burden -> moment_conflicted_burden -> moment_conflicted_burden; Aktionen=LONG -> LONG -> LONG; reward_sum=-3.000000.,1
dio_1k0r,development_repeated_burden,maturation_stable_conflicted_burden,3,"153,154,155",moment_conflicted_burden,moment_conflicted_burden,moment_conflicted_burden -> moment_conflicted_burden -> moment_conflicted_burden,multisensory_conflicted_burden -> multisensory_conflicted_burden -> multisensory_conflicted_burden,LONG -> LONG -> LONG,1,-3.0,-3.0,dio_1k0r: wiederholt belastend/widerspruechlich; Pfad=moment_conflicted_burden -> moment_conflicted_burden -> moment_conflicted_burden; Aktionen=LONG -> LONG -> LONG; reward_sum=-3.000000.,1
