source_label,run,tick,timestamp_ms,symbol,symbol_family,family_action,action,raw_action,outcome_event,phase_time_state,episode_relation,phase_active,phase_age,finite_phase_age,phase_distance,episode_binding_pressure,episode_release_pressure,bars_held,event_reward,reward,best_action_training,sehen_form_flow,hoeren_energy_tone,fuehlen_mcm_coherence,passive_only,influences_action,is_gate,is_motoric,time_sentence
followup4_probe15,171,1,1767480300000000,dio_0cgnxn5,dio_0cgn,dio_0cgn:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,LONG,0.05444,0.055143,0.98456,1,0,0,0,followup4_probe15 run=171 tick=1: dio_0cgn WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
followup4_probe15,171,2,1767480600000000,dio_0x52rrz,dio_0x52,dio_0x52:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,LONG,0.146987,0.133722,0.962558,1,0,0,0,followup4_probe15 run=171 tick=2: dio_0x52 WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
followup4_probe15,171,3,1767480900000000,dio_1guc9eq,dio_1guc,dio_1guc:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,LONG,0.348413,0.389153,0.891037,1,0,0,0,followup4_probe15 run=171 tick=3: dio_1guc WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
followup4_probe15,171,4,1767481200000000,dio_199cglh,dio_199c,dio_199c:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,LONG,0.560727,0.369894,0.89643,1,0,0,0,followup4_probe15 run=171 tick=4: dio_199c WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
followup4_probe15,171,5,1767481500000000,dio_0u1izga,dio_0u1i,dio_0u1i:SHORT,SHORT,SHORT,TP,no_prior_phase,none,0,9999,,1.0,0.0,1.0,3,1.0,1.0,SHORT,0.701583,0.280371,0.921496,1,0,0,0,followup4_probe15 run=171 tick=5: dio_0u1i SHORT/TP; Zeitspur=no_prior_phase; reward=1.000000.
followup4_probe15,171,10,1767483000000000,dio_1pfo7u4,dio_1pfo,dio_1pfo:WAIT,WAIT,WAIT,NO_TRADE,different_contact_afterimage,different_contact,0,5,5,0.437749,0.0,1.0,0,0.0,0.0,LONG,-0.958963,-0.011519,0.996775,1,0,0,0,followup4_probe15 run=171 tick=10: dio_1pfo WAIT/NO_TRADE; Zeitspur=different_contact_afterimage; reward=0.000000.
followup4_probe15,171,11,1767483300000000,dio_1mx2l9m,dio_1mx2,dio_1mx2:WAIT,WAIT,WAIT,NO_TRADE,different_contact_afterimage,different_contact,0,6,6,0.424131,0.0,1.0,0,0.0,0.0,LONG,-0.823245,-0.122876,0.965595,1,0,0,0,followup4_probe15 run=171 tick=11: dio_1mx2 WAIT/NO_TRADE; Zeitspur=different_contact_afterimage; reward=0.000000.
followup4_probe15,171,12,1767483600000000,dio_173sbgr,dio_173s,dio_173s:WAIT,WAIT,WAIT,NO_TRADE,different_contact_afterimage,different_contact,0,7,7,0.588385,0.0,1.0,0,0.0,0.0,SHORT,-0.47548,-0.190469,0.346669,1,0,0,0,followup4_probe15 run=171 tick=12: dio_173s WAIT/NO_TRADE; Zeitspur=different_contact_afterimage; reward=0.000000.
followup4_probe15,171,13,1767483900000000,dio_1g18jad,dio_1g18,dio_1g18:SHORT,SHORT,SHORT,TP,executed_temporal_contact,none,0,8,8,0.670949,0.0,1.0,3,1.0,1.0,SHORT,0.005433,-0.12741,-0.235675,1,0,0,0,followup4_probe15 run=171 tick=13: dio_1g18 SHORT/TP; Zeitspur=executed_temporal_contact; reward=1.000000.
followup4_probe15,171,18,1767485400000000,dio_0gmg3at,dio_0gmg,dio_0gmg:WAIT,WAIT,WAIT,NO_TRADE,different_contact_afterimage,different_contact,0,5,5,0.51755,0.0,1.0,0,0.0,0.0,LONG,-0.758808,-0.206849,0.342082,1,0,0,0,followup4_probe15 run=171 tick=18: dio_0gmg WAIT/NO_TRADE; Zeitspur=different_contact_afterimage; reward=0.000000.
followup4_probe15,172,1,1767480300000000,dio_0cgnxn5,dio_0cgn,dio_0cgn:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,LONG,0.05444,0.055143,0.98456,1,0,0,0,followup4_probe15 run=172 tick=1: dio_0cgn WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
