target_family,related_family,fragment_group,fragment_island_stability_state,island_source_count,available_island_sources,sources,latest_fragment_island_symbol,fragment_island_symbol_history,latest_fragment_island_state,fragment_island_state_history,latest_fragments,fragment_history,latest_fragment_count,avg_fragment_count,latest_field_overlap,avg_field_overlap,latest_relation_score,avg_relation_score,latest_sentence,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
dio_0x52,dio_0szn,target_only_new_fragments,single_passive_fragment_island_trace,1,4,dio_0x52_dio_0szn_v1,dio_fragment_island_0sa325x,dio_fragment_island_0sa325x,passive_fragment_island_target_expansion,passive_fragment_island_target_expansion,fuehlen_mcm_tension|hoeren_energy_tone|reflection_context_alignment|reflection_context_carry|reflection_context_strain,fuehlen_mcm_tension|hoeren_energy_tone|reflection_context_alignment|reflection_context_carry|reflection_context_strain,5,5.0,0.821429,0.821429,0.485667,0.485667,"dio_0x52: Diese Fragmente erweitern die Zielsignatur (fuehlen_mcm_tension|hoeren_energy_tone|reflection_context_alignment|reflection_context_carry|reflection_context_strain). Das ist Eigenverdichtung, keine Handlung.",True,False,False,False,False,False,False,False
dio_0x52,dio_0eh8,target_only_new_fragments,single_passive_fragment_island_trace,1,4,dio_0x52_dio_0eh8_v1,dio_fragment_island_0co7c5l,dio_fragment_island_0co7c5l,passive_fragment_island_target_expansion,passive_fragment_island_target_expansion,hoeren_energy_tone|reflection_context_alignment|reflection_context_carry|reflection_context_strain,hoeren_energy_tone|reflection_context_alignment|reflection_context_carry|reflection_context_strain,4,4.0,0.607143,0.607143,0.395667,0.395667,"dio_0x52: Diese Fragmente erweitern die Zielsignatur (hoeren_energy_tone|reflection_context_alignment|reflection_context_carry|reflection_context_strain). Das ist Eigenverdichtung, keine Handlung.",True,False,False,False,False,False,False,False
dio_0x52,dio_0hd3,target_only_new_fragments,single_passive_fragment_island_trace,1,4,dio_0x52_dio_0hd3_v1,dio_fragment_island_0g99myp,dio_fragment_island_0g99myp,passive_fragment_island_target_expansion,passive_fragment_island_target_expansion,fuehlen_mcm_tension|reflection_context_alignment|reflection_context_carry|reflection_context_strain,fuehlen_mcm_tension|reflection_context_alignment|reflection_context_carry|reflection_context_strain,4,4.0,0.607143,0.607143,0.395667,0.395667,"dio_0x52: Diese Fragmente erweitern die Zielsignatur (fuehlen_mcm_tension|reflection_context_alignment|reflection_context_carry|reflection_context_strain). Das ist Eigenverdichtung, keine Handlung.",True,False,False,False,False,False,False,False
dio_0x52,dio_0qze,target_only_new_fragments,single_passive_fragment_island_trace,1,4,dio_0x52_dio_0qze_v1,dio_fragment_island_1qpxmhm,dio_fragment_island_1qpxmhm,passive_fragment_island_target_expansion,passive_fragment_island_target_expansion,hoeren_energy_tone|reflection_context_alignment|reflection_context_carry|reflection_context_strain,hoeren_energy_tone|reflection_context_alignment|reflection_context_carry|reflection_context_strain,4,4.0,0.607143,0.607143,0.395667,0.395667,"dio_0x52: Diese Fragmente erweitern die Zielsignatur (hoeren_energy_tone|reflection_context_alignment|reflection_context_carry|reflection_context_strain). Das ist Eigenverdichtung, keine Handlung.",True,False,False,False,False,False,False,False
dio_0x52,dio_0eh8,all_shared_fragments,single_passive_fragment_island_trace,1,4,dio_0x52_dio_0eh8_v1,dio_fragment_island_0tctlt4,dio_fragment_island_0tctlt4,passive_fragment_trace,passive_fragment_trace,fuehlen_mcm_coherence|fuehlen_mcm_tension|sehen_form_stability,fuehlen_mcm_coherence|fuehlen_mcm_tension|sehen_form_stability,3,3.0,0.607143,0.607143,0.395667,0.395667,"dio_0x52+dio_0eh8: Diese Fragmente sind sichtbar, aber noch keine Insel.",True,False,False,False,False,False,False,False
dio_0x52,dio_0hd3,all_shared_fragments,single_passive_fragment_island_trace,1,4,dio_0x52_dio_0hd3_v1,dio_fragment_island_1l1bst2,dio_fragment_island_1l1bst2,passive_fragment_trace,passive_fragment_trace,fuehlen_mcm_coherence|hoeren_energy_tone|sehen_form_stability,fuehlen_mcm_coherence|hoeren_energy_tone|sehen_form_stability,3,3.0,0.607143,0.607143,0.395667,0.395667,"dio_0x52+dio_0hd3: Diese Fragmente sind sichtbar, aber noch keine Insel.",True,False,False,False,False,False,False,False
dio_0x52,dio_0qze,all_shared_fragments,single_passive_fragment_island_trace,1,4,dio_0x52_dio_0qze_v1,dio_fragment_island_14fexah,dio_fragment_island_14fexah,passive_fragment_trace,passive_fragment_trace,fuehlen_mcm_coherence|fuehlen_mcm_tension|sehen_form_stability,fuehlen_mcm_coherence|fuehlen_mcm_tension|sehen_form_stability,3,3.0,0.607143,0.607143,0.395667,0.395667,"dio_0x52+dio_0qze: Diese Fragmente sind sichtbar, aber noch keine Insel.",True,False,False,False,False,False,False,False
dio_0x52,dio_0eh8,persistent_shared_core,single_passive_fragment_island_trace,1,4,dio_0x52_dio_0eh8_v1,dio_fragment_island_1d966sd,dio_fragment_island_1d966sd,passive_fragment_island_shared_core,passive_fragment_island_shared_core,fuehlen_mcm_coherence|sehen_form_stability,fuehlen_mcm_coherence|sehen_form_stability,2,2.0,0.607143,0.607143,0.395667,0.395667,dio_0x52+dio_0eh8: Diese Fragmente bilden einen stabilen gemeinsamen Kern (fuehlen_mcm_coherence|sehen_form_stability). Ich halte das nur als passive Innenkarte.,True,False,False,False,False,False,False,False
dio_0x52,dio_0hd3,persistent_shared_core,single_passive_fragment_island_trace,1,4,dio_0x52_dio_0hd3_v1,dio_fragment_island_0qn0vkb,dio_fragment_island_0qn0vkb,passive_fragment_island_shared_core,passive_fragment_island_shared_core,fuehlen_mcm_coherence|sehen_form_stability,fuehlen_mcm_coherence|sehen_form_stability,2,2.0,0.607143,0.607143,0.395667,0.395667,dio_0x52+dio_0hd3: Diese Fragmente bilden einen stabilen gemeinsamen Kern (fuehlen_mcm_coherence|sehen_form_stability). Ich halte das nur als passive Innenkarte.,True,False,False,False,False,False,False,False
dio_0x52,dio_0qze,persistent_shared_core,single_passive_fragment_island_trace,1,4,dio_0x52_dio_0qze_v1,dio_fragment_island_0dgpqim,dio_fragment_island_0dgpqim,passive_fragment_island_shared_core,passive_fragment_island_shared_core,fuehlen_mcm_coherence|sehen_form_stability,fuehlen_mcm_coherence|sehen_form_stability,2,2.0,0.607143,0.607143,0.395667,0.395667,dio_0x52+dio_0qze: Diese Fragmente bilden einen stabilen gemeinsamen Kern (fuehlen_mcm_coherence|sehen_form_stability). Ich halte das nur als passive Innenkarte.,True,False,False,False,False,False,False,False
