source_label,passive_family_action,real_family_action,action,sense_similarity,sensory_similarity,mcm_similarity,passive_wait_traces,passive_potential_sum,real_action_traces,real_tp_count,real_sl_count,real_reward_sum,maturity_reading,passive_only
probe15,dio_0izw:SHORT,dio_1g18:SHORT,SHORT,0.884336312,0.8483932,0.9442415,3,3.0,3,3,0,3.0,passive_near_carried_outcome,1
probe15,dio_173s:SHORT,dio_1g18:SHORT,SHORT,0.811962125,0.8090512,0.816813667,3,3.0,3,3,0,3.0,passive_near_carried_outcome,1
probe15,dio_15ms:SHORT,dio_0x52:SHORT,SHORT,0.787475125,0.7500562,0.84984,3,3.0,3,0,3,-3.0,passive_near_burdened_outcome,1
probe15,dio_15ms:SHORT,dio_1g18:SHORT,SHORT,0.77184475,0.7273883,0.845938833,3,3.0,3,3,0,3.0,passive_near_carried_outcome,1
probe15,dio_173s:SHORT,dio_0x52:SHORT,SHORT,0.743846375,0.7067647,0.805649167,3,3.0,3,0,3,-3.0,passive_near_burdened_outcome,1
probe15,dio_0izw:SHORT,dio_0x52:SHORT,SHORT,0.717162312,0.7001089,0.745584667,3,3.0,3,0,3,-3.0,passive_near_burdened_outcome,1
probe16,dio_1w4m:LONG,dio_1k0r:LONG,LONG,0.886422438,0.8703614,0.913190833,3,3.0,3,0,3,-3.0,passive_near_burdened_outcome,1
probe16,dio_1qig:LONG,dio_1k0r:LONG,LONG,0.762543437,0.7684963,0.752622,3,3.0,3,0,3,-3.0,passive_near_burdened_outcome,1
probe16,dio_04zi:LONG,dio_1k0r:LONG,LONG,0.737970375,0.7422488,0.730839667,3,3.0,3,0,3,-3.0,passive_near_burdened_outcome,1
probe18,dio_14xc:LONG,dio_02qu:LONG,LONG,0.80021625,0.7742395,0.843510833,3,0.9375,3,3,0,3.0,passive_near_carried_outcome,1
probe18,dio_14xc:LONG,dio_0arw:LONG,LONG,0.7319945,0.6940059,0.795308833,3,0.9375,3,3,0,3.0,passive_near_carried_outcome,1
