source_label,run,tick,symbol_family,action,observed_possible_action,trace_kind,outcome_event,potential_reward,real_reward,passive_only
probe15,dio_mini_lauf_165,1,dio_0cgn,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe15,dio_mini_lauf_165,2,dio_0x52,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe15,dio_mini_lauf_165,3,dio_1guc,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe15,dio_mini_lauf_165,4,dio_199c,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe15,dio_mini_lauf_165,5,dio_0u1i,SHORT,,real_action_outcome,TP,1.0,1.0,1
probe15,dio_mini_lauf_165,10,dio_1pfo,WAIT,LONG,passive_wait_possible_action,NO_TRADE,0.045249,0.0,1
probe15,dio_mini_lauf_165,11,dio_1mx2,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe15,dio_mini_lauf_165,12,dio_173s,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe15,dio_mini_lauf_165,13,dio_1g18,SHORT,,real_action_outcome,TP,1.0,1.0,1
probe15,dio_mini_lauf_165,18,dio_0gmg,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe15,dio_mini_lauf_166,1,dio_0cgn,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe15,dio_mini_lauf_166,2,dio_0x52,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe15,dio_mini_lauf_166,3,dio_1guc,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe15,dio_mini_lauf_166,4,dio_199c,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe15,dio_mini_lauf_166,5,dio_0u1i,SHORT,,real_action_outcome,TP,1.0,1.0,1
probe15,dio_mini_lauf_166,10,dio_1pfo,WAIT,LONG,passive_wait_possible_action,NO_TRADE,0.045249,0.0,1
probe15,dio_mini_lauf_166,11,dio_1mx2,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe15,dio_mini_lauf_166,12,dio_173s,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe15,dio_mini_lauf_166,13,dio_1g18,SHORT,,real_action_outcome,TP,1.0,1.0,1
probe15,dio_mini_lauf_166,18,dio_0gmg,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe15,dio_mini_lauf_167,1,dio_0cgn,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe15,dio_mini_lauf_167,2,dio_0x52,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe15,dio_mini_lauf_167,3,dio_1guc,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe15,dio_mini_lauf_167,4,dio_199c,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe15,dio_mini_lauf_167,5,dio_0u1i,SHORT,,real_action_outcome,TP,1.0,1.0,1
probe15,dio_mini_lauf_167,10,dio_1pfo,WAIT,LONG,passive_wait_possible_action,NO_TRADE,0.045249,0.0,1
probe15,dio_mini_lauf_167,11,dio_1mx2,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe15,dio_mini_lauf_167,12,dio_173s,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe15,dio_mini_lauf_167,13,dio_1g18,SHORT,,real_action_outcome,TP,1.0,1.0,1
probe15,dio_mini_lauf_167,18,dio_0gmg,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_165,1,dio_0cgn,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_165,2,dio_0fa9,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_165,3,dio_06bd,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_165,4,dio_0ojr,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_165,5,dio_04zi,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_165,6,dio_1qig,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_165,7,dio_0vc8,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,0.438144,0.0,1
probe16,dio_mini_lauf_165,8,dio_1g7l,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_165,9,dio_1k0r,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_165,10,dio_10kx,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_165,11,dio_1f4v,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_165,12,dio_1w4m,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,0.490798,0.0,1
probe16,dio_mini_lauf_165,13,dio_1vjg,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_165,14,dio_1t73,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_165,15,dio_1q9b,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_165,16,dio_0rb2,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_165,17,dio_1jo7,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,0.541401,0.0,1
probe16,dio_mini_lauf_165,18,dio_1w4m,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_166,1,dio_0cgn,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_166,2,dio_0fa9,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_166,3,dio_06bd,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_166,4,dio_0ojr,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_166,5,dio_04zi,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_166,6,dio_1qig,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_166,7,dio_0vc8,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,0.438144,0.0,1
probe16,dio_mini_lauf_166,8,dio_1g7l,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_166,9,dio_1k0r,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_166,10,dio_10kx,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_166,11,dio_1f4v,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_166,12,dio_1w4m,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,0.490798,0.0,1
probe16,dio_mini_lauf_166,13,dio_1vjg,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_166,14,dio_1t73,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_166,15,dio_1q9b,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_166,16,dio_0rb2,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_166,17,dio_1jo7,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,0.541401,0.0,1
probe16,dio_mini_lauf_166,18,dio_1w4m,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_167,1,dio_0cgn,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_167,2,dio_0fa9,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_167,3,dio_06bd,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_167,4,dio_0ojr,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_167,5,dio_04zi,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_167,6,dio_1qig,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_167,7,dio_0vc8,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,0.438144,0.0,1
probe16,dio_mini_lauf_167,8,dio_1g7l,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_167,9,dio_1k0r,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_167,10,dio_10kx,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_167,11,dio_1f4v,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_167,12,dio_1w4m,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,0.490798,0.0,1
probe16,dio_mini_lauf_167,13,dio_1vjg,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_167,14,dio_1t73,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_167,15,dio_1q9b,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_167,16,dio_0rb2,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_167,17,dio_1jo7,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,0.541401,0.0,1
probe16,dio_mini_lauf_167,18,dio_1w4m,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe18,dio_mini_lauf_165,1,dio_1txv,SHORT,,real_action_outcome,TP,1.0,1.0,1
probe18,dio_mini_lauf_165,6,dio_0arw,LONG,,real_action_outcome,TP,1.0,1.0,1
probe18,dio_mini_lauf_165,11,dio_14xc,WAIT,LONG,passive_wait_possible_action,NO_TRADE,0.3125,0.0,1
probe18,dio_mini_lauf_165,12,dio_1vpi,SHORT,,real_action_outcome,TP,1.0,1.0,1
probe18,dio_mini_lauf_165,17,dio_02qu,LONG,,real_action_outcome,TP,1.0,1.0,1
probe18,dio_mini_lauf_166,1,dio_1txv,SHORT,,real_action_outcome,TP,1.0,1.0,1
probe18,dio_mini_lauf_166,6,dio_0arw,LONG,,real_action_outcome,TP,1.0,1.0,1
probe18,dio_mini_lauf_166,11,dio_14xc,WAIT,LONG,passive_wait_possible_action,NO_TRADE,0.3125,0.0,1
probe18,dio_mini_lauf_166,12,dio_1vpi,SHORT,,real_action_outcome,TP,1.0,1.0,1
probe18,dio_mini_lauf_166,17,dio_02qu,LONG,,real_action_outcome,TP,1.0,1.0,1
probe18,dio_mini_lauf_167,1,dio_1txv,SHORT,,real_action_outcome,TP,1.0,1.0,1
probe18,dio_mini_lauf_167,6,dio_0arw,LONG,,real_action_outcome,TP,1.0,1.0,1
probe18,dio_mini_lauf_167,11,dio_14xc,WAIT,LONG,passive_wait_possible_action,NO_TRADE,0.3125,0.0,1
probe18,dio_mini_lauf_167,12,dio_1vpi,SHORT,,real_action_outcome,TP,1.0,1.0,1
probe18,dio_mini_lauf_167,17,dio_02qu,LONG,,real_action_outcome,TP,1.0,1.0,1
