source_label,run,tick,symbol_family,action,observed_possible_action,trace_kind,outcome_event,potential_reward,real_reward,passive_only
probe15,dio_mini_lauf_159,1,dio_0cgn,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe15,dio_mini_lauf_159,2,dio_0x52,SHORT,,real_action_outcome,SL,1.0,-1.0,1
probe15,dio_mini_lauf_159,7,dio_15ms,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe15,dio_mini_lauf_159,8,dio_0izw,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe15,dio_mini_lauf_159,9,dio_07rf,WAIT,LONG,passive_wait_possible_action,NO_TRADE,0.287356,0.0,1
probe15,dio_mini_lauf_159,10,dio_1pfo,WAIT,LONG,passive_wait_possible_action,NO_TRADE,0.045249,0.0,1
probe15,dio_mini_lauf_159,11,dio_1mx2,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe15,dio_mini_lauf_159,12,dio_173s,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe15,dio_mini_lauf_159,13,dio_1g18,SHORT,,real_action_outcome,TP,1.0,1.0,1
probe15,dio_mini_lauf_159,18,dio_0gmg,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe15,dio_mini_lauf_160,1,dio_0cgn,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe15,dio_mini_lauf_160,2,dio_0x52,SHORT,,real_action_outcome,SL,1.0,-1.0,1
probe15,dio_mini_lauf_160,7,dio_15ms,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe15,dio_mini_lauf_160,8,dio_0izw,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe15,dio_mini_lauf_160,9,dio_07rf,WAIT,LONG,passive_wait_possible_action,NO_TRADE,0.287356,0.0,1
probe15,dio_mini_lauf_160,10,dio_1pfo,WAIT,LONG,passive_wait_possible_action,NO_TRADE,0.045249,0.0,1
probe15,dio_mini_lauf_160,11,dio_1mx2,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe15,dio_mini_lauf_160,12,dio_173s,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe15,dio_mini_lauf_160,13,dio_1g18,SHORT,,real_action_outcome,TP,1.0,1.0,1
probe15,dio_mini_lauf_160,18,dio_0gmg,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe15,dio_mini_lauf_161,1,dio_0cgn,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe15,dio_mini_lauf_161,2,dio_0x52,SHORT,,real_action_outcome,SL,1.0,-1.0,1
probe15,dio_mini_lauf_161,7,dio_15ms,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe15,dio_mini_lauf_161,8,dio_0izw,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe15,dio_mini_lauf_161,9,dio_07rf,WAIT,LONG,passive_wait_possible_action,NO_TRADE,0.287356,0.0,1
probe15,dio_mini_lauf_161,10,dio_1pfo,WAIT,LONG,passive_wait_possible_action,NO_TRADE,0.045249,0.0,1
probe15,dio_mini_lauf_161,11,dio_1mx2,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe15,dio_mini_lauf_161,12,dio_173s,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe15,dio_mini_lauf_161,13,dio_1g18,SHORT,,real_action_outcome,TP,1.0,1.0,1
probe15,dio_mini_lauf_161,18,dio_0gmg,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_159,1,dio_0cgn,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_159,2,dio_0fa9,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_159,3,dio_06bd,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_159,4,dio_0ojr,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_159,5,dio_04zi,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_159,6,dio_1qig,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_159,7,dio_0vc8,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,0.438144,0.0,1
probe16,dio_mini_lauf_159,8,dio_1g7l,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_159,9,dio_1k0r,LONG,,real_action_outcome,SL,1.0,-1.0,1
probe16,dio_mini_lauf_159,14,dio_1t73,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_159,15,dio_1q9b,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_159,16,dio_0rb2,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
