run,tick,timestamp_ms,symbol,symbol_family,observed_possible_action,actual_action,outcome_event,potential_reward,observation_learning_pressure,phase_active,phase_relation,passive_only,sehen_form_flow,sehen_form_stability,sehen_form_change,hoeren_energy_tone,hoeren_energy_shift,fuehlen_mcm_coherence,fuehlen_mcm_tension,fuehlen_mcm_asymmetry
dio_mini_lauf_159,1,1767480300000000,dio_0cgnxn5,dio_0cgn,LONG,WAIT,NO_TRADE,1.0,0.080224,0,none,1,0.05444,1.0,0.108879,0.055143,0.206897,0.98456,0.063445,0.097996
dio_mini_lauf_159,7,1767482100000000,dio_15ms14o,dio_15ms,SHORT,WAIT,NO_TRADE,1.0,0.043141,1,same_episode,1,0.302961,0.0,-0.845264,-0.02905,0.013333,0.391866,0.274687,-0.030538
dio_mini_lauf_159,8,1767482400000000,dio_0izwfm7,dio_0izw,SHORT,WAIT,NO_TRADE,1.0,0.051053,0,different_contact,1,-0.140128,-1.0,-0.524462,0.056456,0.238693,-0.215808,0.166479,-0.156604
dio_mini_lauf_159,9,1767482700000000,dio_07rfl5q,dio_07rf,LONG,WAIT,NO_TRADE,0.287356,0.060637,0,different_contact,1,-0.639125,0.0,-0.394091,0.132211,0.218391,0.362981,0.387016,-0.408814
dio_mini_lauf_159,10,1767483000000000,dio_1pfo7u4,dio_1pfo,LONG,WAIT,NO_TRADE,0.045249,0.06129,0,none,1,-0.958963,1.0,0.150823,-0.011519,-0.248869,0.996775,0.431734,-0.550596
dio_mini_lauf_159,11,1767483300000000,dio_1mx2l9m,dio_1mx2,LONG,WAIT,NO_TRADE,1.0,0.062508,0,none,1,-0.823245,1.0,0.275568,-0.122876,-0.180587,0.965595,0.441462,-0.430998
dio_mini_lauf_159,12,1767483600000000,dio_173sbgr,dio_173s,SHORT,WAIT,NO_TRADE,1.0,0.073087,0,none,1,-0.47548,0.0,0.637839,-0.190469,-0.151163,0.346669,0.381753,-0.14342
dio_mini_lauf_159,18,1767485400000000,dio_0gmg3at,dio_0gmg,LONG,WAIT,NO_TRADE,1.0,0.068821,0,different_contact,1,-0.758808,0.0,0.86012,-0.206849,-0.44086,0.342082,0.543195,-0.306676
dio_mini_lauf_160,1,1767480300000000,dio_0cgnxn5,dio_0cgn,LONG,WAIT,NO_TRADE,1.0,0.077651,0,none,1,0.05444,1.0,0.108879,0.055143,0.206897,0.98456,0.063445,0.097996
dio_mini_lauf_160,7,1767482100000000,dio_15ms14o,dio_15ms,SHORT,WAIT,NO_TRADE,1.0,0.042599,1,same_episode,1,0.302961,0.0,-0.845264,-0.02905,0.013333,0.391866,0.274687,-0.030538
