symbol_family,source_count,sources,actions,action_count,trace_count,potential_reward_sum,avg_observation_learning_pressure,stability_reading,passive_only,avg_sehen_form_flow,avg_sehen_form_stability,avg_sehen_form_change,avg_hoeren_energy_tone,avg_hoeren_energy_shift,avg_fuehlen_mcm_coherence,avg_fuehlen_mcm_tension,avg_fuehlen_mcm_asymmetry
dio_0cgn,2,"probe15,probe16","LONG,SHORT",2,6,6.0,0.078308834,family_repeats_with_action_variance,1,0.05444,1.0,0.108879,0.055143,0.206897,0.98456,0.063445,0.097996
dio_04zi,1,probe16,LONG,1,3,3.0,0.058018333,family_local_potential,1,-0.984391,1.0,0.101715,0.180164,-0.057307,0.949554,0.505388,-0.538309
dio_06bd,1,probe16,SHORT,1,3,3.0,0.055572333,family_local_potential,1,-0.473624,-0.333333,-0.345201,0.373255,0.295567,0.095489,0.410921,-0.288964
dio_07rf,1,probe15,LONG,1,3,0.862068,0.060098667,family_local_potential,1,-0.639125,0.0,-0.394091,0.132211,0.218391,0.362981,0.387016,-0.408814
dio_0fa9,1,probe16,SHORT,1,3,3.0,0.051935667,family_local_potential,1,-0.201426,-1.0,-0.62011,0.360444,0.804878,-0.300924,0.335203,-0.100649
dio_0gmg,1,probe15,LONG,1,3,3.0,0.068416333,family_local_potential,1,-0.758808,0.0,0.86012,-0.206849,-0.44086,0.342082,0.543195,-0.306676
dio_0izw,1,probe15,SHORT,1,3,3.0,0.050783667,family_local_potential,1,-0.140128,-1.0,-0.524462,0.056456,0.238693,-0.215808,0.166479,-0.156604
dio_0ojr,1,probe16,SHORT,1,3,3.0,0.058293667,family_local_potential,1,-0.724046,0.0,-0.188908,0.350179,0.137457,0.30195,0.4814,-0.423312
dio_0rb2,1,probe16,SHORT,1,3,3.0,0.061607,family_local_potential,1,0.033347,-1.0,-0.259186,-0.051115,0.064516,-0.214312,0.076944,-0.030627
dio_0vc8,1,probe16,SHORT,1,3,1.314432,0.070257667,family_local_potential,1,-0.483187,0.0,0.648337,-0.183654,-0.206186,0.348577,0.383807,-0.156221
dio_14xc,1,probe18,LONG,1,3,0.9375,0.031671333,family_local_potential,1,0.822477,1.0,-0.169765,0.010545,-0.130208,0.997047,0.377032,0.393802
dio_15ms,1,probe15,SHORT,1,3,3.0,0.042782333,family_local_potential,1,0.302961,0.0,-0.845264,-0.02905,0.013333,0.391866,0.274687,-0.030538
dio_173s,1,probe15,SHORT,1,3,3.0,0.072465333,family_local_potential,1,-0.47548,0.0,0.637839,-0.190469,-0.151163,0.346669,0.381753,-0.14342
dio_1g7l,1,probe16,SHORT,1,3,3.0,0.065399,family_local_potential,1,-0.077222,-1.0,0.464469,-0.13539,0.080214,-0.237909,0.163612,0.084271
dio_1jo7,1,probe16,SHORT,1,3,1.624203,0.056088333,family_local_potential,1,-0.044569,-1.0,-0.533638,0.140686,0.254777,-0.239392,0.163189,-0.102076
dio_1mx2,1,probe15,LONG,1,3,3.0,0.061858,family_local_potential,1,-0.823245,1.0,0.275568,-0.122876,-0.180587,0.965595,0.441462,-0.430998
dio_1pfo,1,probe15,LONG,1,3,0.135747,0.060343333,family_local_potential,1,-0.958963,1.0,0.150823,-0.011519,-0.248869,0.996775,0.431734,-0.550596
dio_1q9b,1,probe16,SHORT,1,3,3.0,0.064760667,family_local_potential,1,-0.0554,-1.0,0.392229,-0.113507,0.09434,-0.231782,0.133698,0.081979
dio_1qig,1,probe16,LONG,1,3,3.0,0.060810667,family_local_potential,1,-0.874202,1.0,0.202334,-0.011927,-0.101781,0.99666,0.404548,-0.461349
dio_1t73,1,probe16,SHORT,1,3,3.0,0.070132333,family_local_potential,1,-0.37545,0.0,0.577393,-0.152016,-0.34375,0.357435,0.313919,-0.140428
dio_1w4m,1,probe16,LONG,1,3,3.0,0.063746333,family_local_potential,1,-0.344651,0.0,-0.245917,0.165485,-0.031646,0.353664,0.253604,-0.258354
