pair,source_count,note_count,learning_note_kinds,sources,avg_transfer_reife,avg_similarity,passive_only
dio_02qu->dio_0ofo,1,1,note_similar_and_carried,probe17,0.728264062,0.758589638,1
dio_02qu->dio_1k0r,1,1,note_transfer_open,probe16,0.526370162,0.911500425,1
dio_0arw->dio_0ofo,1,1,note_similar_and_carried,probe17,0.987027778,0.965862573,1
dio_0arw->dio_0ui9,1,1,note_transfer_open,probe16,0.40798704,0.907860632,1
dio_0fiy->dio_0ojr,1,1,note_transfer_open,probe16,0.409298378,0.911311521,1
dio_0fiy->dio_1d3r,1,1,note_similar_and_burdened,probe17,0.992195431,0.979461661,1
dio_0igh->dio_040y,1,1,note_similar_and_quiet,probe17,0.898292941,0.969191951,1
dio_0igh->dio_0cgn,1,1,note_transfer_open,probe16,0.741113552,0.784509348,1
dio_0x1o->dio_0ps1,1,1,note_similar_and_carried,probe17,0.984201492,0.958424978,1
dio_0x1o->dio_1g7l,1,1,note_transfer_open,probe16,0.426521955,0.956636725,1
dio_143d->dio_0cgn,1,1,note_transfer_open,probe16,0.724887318,0.741808732,1
dio_143d->dio_143d,1,1,note_similar_and_quiet,probe17,0.903487085,0.982860751,1
dio_14xc->dio_0cgn,1,1,note_transfer_open,probe16,0.724887318,0.741808732,1
dio_14xc->dio_143d,1,1,note_similar_and_quiet,probe17,0.903487085,0.982860751,1
dio_16yc->dio_0fa9,1,1,note_transfer_open,probe16,0.622855961,0.946989371,1
dio_16yc->dio_1d1z,1,1,note_similar_family_carried_but_observed,probe17,0.993065633,0.981751666,1
dio_1g2t->dio_06bd,1,1,note_similar_and_quiet,probe16,0.824187492,0.932072348,1
dio_1g2t->dio_10dk,1,1,note_similar_and_quiet,probe17,0.88578708,0.93628179,1
dio_1qwp->dio_0cgn,1,1,note_transfer_open,probe16,0.726113772,0.745036242,1
dio_1qwp->dio_1f9y,1,1,note_similar_and_quiet,probe17,0.901035677,0.976409676,1
dio_1txv->dio_0cgn,1,1,note_similar_family_carried_but_observed,probe16,0.987049799,0.965920524,1
dio_1txv->dio_1c6b,1,1,note_similar_family_carried_but_observed,probe17,0.997622741,0.993744055,1
dio_1vpi->dio_0cgn,1,1,note_transfer_open,probe16,0.350234664,0.763775431,1
dio_1vpi->dio_1m4n,1,1,note_similar_but_not_action_mature,probe17,0.434182048,0.976794864,1
