family_action,compare_state,before_variant_reife_state,after_variant_reife_state,before_reward,after_reward,reward_delta,before_episode_count,after_episode_count,episode_delta,before_related_reference_family,after_related_reference_family,before_transfer_similarity,after_transfer_similarity,passive_only,writes_training_memory,read_by_mini_dio,influences_action,is_gate,is_motoric
dio_10kx:WAIT,new_variant_trace,,variant_local_wait_context,0.0,0.0,0.0,0,2,2,,,0.0,0.0,1,0,0,0,0,0
dio_1f4v:WAIT,new_variant_trace,,variant_local_wait_context,0.0,0.0,0.0,0,2,2,,,0.0,0.0,1,0,0,0,0,0
dio_1k0r:WAIT,new_variant_trace,,variant_related_observation_trace,0.0,0.0,0.0,0,2,2,,dio_02qu,0.0,0.911500425,1,0,0,0,0,0
dio_1vjg:WAIT,new_variant_trace,,variant_local_wait_context,0.0,0.0,0.0,0,2,2,,,0.0,0.0,1,0,0,0,0,0
dio_04zi:WAIT,same_variant_state,variant_local_wait_context,variant_local_wait_context,0.0,0.0,0.0,3,3,0,,,0.0,0.0,1,0,0,0,0,0
dio_06bd:WAIT,same_variant_state,variant_local_wait_context,variant_local_wait_context,0.0,0.0,0.0,3,3,0,,,0.0,0.0,1,0,0,0,0,0
dio_0cgn:WAIT,same_variant_state,variant_related_observation_trace,variant_related_observation_trace,0.0,0.0,0.0,3,3,0,dio_1txv,dio_1txv,0.965920524,0.965920524,1,0,0,0,0,0
dio_0fa9:WAIT,same_variant_state,variant_local_wait_context,variant_local_wait_context,0.0,0.0,0.0,3,3,0,,,0.0,0.0,1,0,0,0,0,0
dio_0ojr:WAIT,same_variant_state,variant_local_wait_context,variant_local_wait_context,0.0,0.0,0.0,3,3,0,,,0.0,0.0,1,0,0,0,0,0
dio_0rb2:WAIT,same_variant_state,variant_local_wait_context,variant_local_wait_context,0.0,0.0,0.0,3,3,0,,,0.0,0.0,1,0,0,0,0,0
dio_0vc8:WAIT,same_variant_state,variant_related_observation_trace,variant_related_observation_trace,0.0,0.0,0.0,3,3,0,dio_0arw,dio_0arw,0.907860632,0.907860632,1,0,0,0,0,0
dio_1g7l:WAIT,same_variant_state,variant_local_wait_context,variant_local_wait_context,0.0,0.0,0.0,3,3,0,,,0.0,0.0,1,0,0,0,0,0
dio_1jo7:WAIT,same_variant_state,variant_local_wait_context,variant_local_wait_context,0.0,0.0,0.0,3,3,0,,,0.0,0.0,1,0,0,0,0,0
dio_1k0r:LONG,same_variant_state,variant_self_burden_action_trace,variant_self_burden_action_trace,-3.0,-1.0,2.0,3,1,-2,dio_02qu,dio_02qu,0.911500425,0.911500425,1,0,0,0,0,0
dio_1q9b:WAIT,same_variant_state,variant_local_wait_context,variant_local_wait_context,0.0,0.0,0.0,3,3,0,,,0.0,0.0,1,0,0,0,0,0
dio_1qig:WAIT,same_variant_state,variant_local_wait_context,variant_local_wait_context,0.0,0.0,0.0,3,3,0,,,0.0,0.0,1,0,0,0,0,0
dio_1t73:WAIT,same_variant_state,variant_local_wait_context,variant_local_wait_context,0.0,0.0,0.0,3,3,0,,,0.0,0.0,1,0,0,0,0,0
dio_1w4m:WAIT,same_variant_state,variant_local_wait_context,variant_local_wait_context,0.0,0.0,0.0,3,5,2,,,0.0,0.0,1,0,0,0,0,0
