compare_label,family_action,compare_state,reward_delta,episode_delta,before_variant_reife_state,after_variant_reife_state,before_reward,after_reward,before_episode_count,after_episode_count,before_related_reference_family,after_related_reference_family,before_transfer_similarity,after_transfer_similarity,passive_only,writes_training_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,source_compare
probe14_f1_to_f2,dio_0989:WAIT,same_variant_state,0.0,0,variant_local_wait_context,variant_local_wait_context,0.0,0.0,3,3,,,0.0,0.0,1,0,0,0,0,0,debug\dio_mini_passive_variant_reife_map_compare_probe14_f1_to_f2_from_probe18_12n\dio_mini_passive_variant_reife_map_compare.csv
probe14_f1_to_f2,dio_0b66:WAIT,same_variant_state,0.0,0,variant_local_wait_context,variant_local_wait_context,0.0,0.0,3,3,,,0.0,0.0,1,0,0,0,0,0,debug\dio_mini_passive_variant_reife_map_compare_probe14_f1_to_f2_from_probe18_12n\dio_mini_passive_variant_reife_map_compare.csv
probe14_f1_to_f2,dio_0gmg:WAIT,same_variant_state,0.0,0,variant_local_wait_context,variant_local_wait_context,0.0,0.0,3,3,,,0.0,0.0,1,0,0,0,0,0,debug\dio_mini_passive_variant_reife_map_compare_probe14_f1_to_f2_from_probe18_12n\dio_mini_passive_variant_reife_map_compare.csv
probe14_f1_to_f2,dio_0hd3:SHORT,same_variant_state,0.0,0,variant_self_carried_action_trace,variant_self_carried_action_trace,3.0,3.0,3,3,dio_14xc,dio_14xc,0.966011634,0.966011634,1,0,0,0,0,0,debug\dio_mini_passive_variant_reife_map_compare_probe14_f1_to_f2_from_probe18_12n\dio_mini_passive_variant_reife_map_compare.csv
probe14_f1_to_f2,dio_0qze:WAIT,same_variant_state,0.0,0,variant_local_wait_context,variant_local_wait_context,0.0,0.0,3,3,,,0.0,0.0,1,0,0,0,0,0,debug\dio_mini_passive_variant_reife_map_compare_probe14_f1_to_f2_from_probe18_12n\dio_mini_passive_variant_reife_map_compare.csv
probe14_f1_to_f2,dio_0szn:SHORT,same_variant_state,0.0,0,variant_self_carried_action_trace,variant_self_carried_action_trace,3.0,3.0,3,3,,,0.0,0.0,1,0,0,0,0,0,debug\dio_mini_passive_variant_reife_map_compare_probe14_f1_to_f2_from_probe18_12n\dio_mini_passive_variant_reife_map_compare.csv
probe14_f1_to_f2,dio_173s:WAIT,same_variant_state,0.0,0,variant_related_observation_trace,variant_related_observation_trace,0.0,0.0,3,3,dio_0arw,dio_0arw,0.909548089,0.909548089,1,0,0,0,0,0,debug\dio_mini_passive_variant_reife_map_compare_probe14_f1_to_f2_from_probe18_12n\dio_mini_passive_variant_reife_map_compare.csv
probe14_f1_to_f2,dio_1guc:WAIT,same_variant_state,0.0,0,variant_local_wait_context,variant_local_wait_context,0.0,0.0,3,3,,,0.0,0.0,1,0,0,0,0,0,debug\dio_mini_passive_variant_reife_map_compare_probe14_f1_to_f2_from_probe18_12n\dio_mini_passive_variant_reife_map_compare.csv
probe14_f1_to_f2,dio_1rv1:WAIT,same_variant_state,0.0,0,variant_related_observation_trace,variant_related_observation_trace,0.0,0.0,3,3,dio_1txv,dio_1txv,0.95648035,0.95648035,1,0,0,0,0,0,debug\dio_mini_passive_variant_reife_map_compare_probe14_f1_to_f2_from_probe18_12n\dio_mini_passive_variant_reife_map_compare.csv
probe14_f1_to_f2,dio_1t1w:WAIT,same_variant_state,0.0,0,variant_local_wait_context,variant_local_wait_context,0.0,0.0,3,3,,,0.0,0.0,1,0,0,0,0,0,debug\dio_mini_passive_variant_reife_map_compare_probe14_f1_to_f2_from_probe18_12n\dio_mini_passive_variant_reife_map_compare.csv
probe16_f1_to_f2,dio_10kx:WAIT,new_variant_trace,0.0,2,,variant_local_wait_context,0.0,0.0,0,2,,,0.0,0.0,1,0,0,0,0,0,debug\dio_mini_passive_variant_reife_map_compare_probe16_f1_to_f2_from_probe18_12n\dio_mini_passive_variant_reife_map_compare.csv
probe16_f1_to_f2,dio_1f4v:WAIT,new_variant_trace,0.0,2,,variant_local_wait_context,0.0,0.0,0,2,,,0.0,0.0,1,0,0,0,0,0,debug\dio_mini_passive_variant_reife_map_compare_probe16_f1_to_f2_from_probe18_12n\dio_mini_passive_variant_reife_map_compare.csv
probe16_f1_to_f2,dio_1k0r:WAIT,new_variant_trace,0.0,2,,variant_related_observation_trace,0.0,0.0,0,2,,dio_02qu,0.0,0.911500425,1,0,0,0,0,0,debug\dio_mini_passive_variant_reife_map_compare_probe16_f1_to_f2_from_probe18_12n\dio_mini_passive_variant_reife_map_compare.csv
probe16_f1_to_f2,dio_1vjg:WAIT,new_variant_trace,0.0,2,,variant_local_wait_context,0.0,0.0,0,2,,,0.0,0.0,1,0,0,0,0,0,debug\dio_mini_passive_variant_reife_map_compare_probe16_f1_to_f2_from_probe18_12n\dio_mini_passive_variant_reife_map_compare.csv
probe16_f1_to_f2,dio_04zi:WAIT,same_variant_state,0.0,0,variant_local_wait_context,variant_local_wait_context,0.0,0.0,3,3,,,0.0,0.0,1,0,0,0,0,0,debug\dio_mini_passive_variant_reife_map_compare_probe16_f1_to_f2_from_probe18_12n\dio_mini_passive_variant_reife_map_compare.csv
probe16_f1_to_f2,dio_06bd:WAIT,same_variant_state,0.0,0,variant_local_wait_context,variant_local_wait_context,0.0,0.0,3,3,,,0.0,0.0,1,0,0,0,0,0,debug\dio_mini_passive_variant_reife_map_compare_probe16_f1_to_f2_from_probe18_12n\dio_mini_passive_variant_reife_map_compare.csv
probe16_f1_to_f2,dio_0cgn:WAIT,same_variant_state,0.0,0,variant_related_observation_trace,variant_related_observation_trace,0.0,0.0,3,3,dio_1txv,dio_1txv,0.965920524,0.965920524,1,0,0,0,0,0,debug\dio_mini_passive_variant_reife_map_compare_probe16_f1_to_f2_from_probe18_12n\dio_mini_passive_variant_reife_map_compare.csv
probe16_f1_to_f2,dio_0fa9:WAIT,same_variant_state,0.0,0,variant_local_wait_context,variant_local_wait_context,0.0,0.0,3,3,,,0.0,0.0,1,0,0,0,0,0,debug\dio_mini_passive_variant_reife_map_compare_probe16_f1_to_f2_from_probe18_12n\dio_mini_passive_variant_reife_map_compare.csv
probe16_f1_to_f2,dio_0ojr:WAIT,same_variant_state,0.0,0,variant_local_wait_context,variant_local_wait_context,0.0,0.0,3,3,,,0.0,0.0,1,0,0,0,0,0,debug\dio_mini_passive_variant_reife_map_compare_probe16_f1_to_f2_from_probe18_12n\dio_mini_passive_variant_reife_map_compare.csv
probe16_f1_to_f2,dio_0rb2:WAIT,same_variant_state,0.0,0,variant_local_wait_context,variant_local_wait_context,0.0,0.0,3,3,,,0.0,0.0,1,0,0,0,0,0,debug\dio_mini_passive_variant_reife_map_compare_probe16_f1_to_f2_from_probe18_12n\dio_mini_passive_variant_reife_map_compare.csv
probe16_f1_to_f2,dio_0vc8:WAIT,same_variant_state,0.0,0,variant_related_observation_trace,variant_related_observation_trace,0.0,0.0,3,3,dio_0arw,dio_0arw,0.907860632,0.907860632,1,0,0,0,0,0,debug\dio_mini_passive_variant_reife_map_compare_probe16_f1_to_f2_from_probe18_12n\dio_mini_passive_variant_reife_map_compare.csv
probe16_f1_to_f2,dio_1g7l:WAIT,same_variant_state,0.0,0,variant_local_wait_context,variant_local_wait_context,0.0,0.0,3,3,,,0.0,0.0,1,0,0,0,0,0,debug\dio_mini_passive_variant_reife_map_compare_probe16_f1_to_f2_from_probe18_12n\dio_mini_passive_variant_reife_map_compare.csv
probe16_f1_to_f2,dio_1jo7:WAIT,same_variant_state,0.0,0,variant_local_wait_context,variant_local_wait_context,0.0,0.0,3,3,,,0.0,0.0,1,0,0,0,0,0,debug\dio_mini_passive_variant_reife_map_compare_probe16_f1_to_f2_from_probe18_12n\dio_mini_passive_variant_reife_map_compare.csv
probe16_f1_to_f2,dio_1k0r:LONG,same_variant_state,2.0,-2,variant_self_burden_action_trace,variant_self_burden_action_trace,-3.0,-1.0,3,1,dio_02qu,dio_02qu,0.911500425,0.911500425,1,0,0,0,0,0,debug\dio_mini_passive_variant_reife_map_compare_probe16_f1_to_f2_from_probe18_12n\dio_mini_passive_variant_reife_map_compare.csv
probe16_f1_to_f2,dio_1q9b:WAIT,same_variant_state,0.0,0,variant_local_wait_context,variant_local_wait_context,0.0,0.0,3,3,,,0.0,0.0,1,0,0,0,0,0,debug\dio_mini_passive_variant_reife_map_compare_probe16_f1_to_f2_from_probe18_12n\dio_mini_passive_variant_reife_map_compare.csv
probe16_f1_to_f2,dio_1qig:WAIT,same_variant_state,0.0,0,variant_local_wait_context,variant_local_wait_context,0.0,0.0,3,3,,,0.0,0.0,1,0,0,0,0,0,debug\dio_mini_passive_variant_reife_map_compare_probe16_f1_to_f2_from_probe18_12n\dio_mini_passive_variant_reife_map_compare.csv
probe16_f1_to_f2,dio_1t73:WAIT,same_variant_state,0.0,0,variant_local_wait_context,variant_local_wait_context,0.0,0.0,3,3,,,0.0,0.0,1,0,0,0,0,0,debug\dio_mini_passive_variant_reife_map_compare_probe16_f1_to_f2_from_probe18_12n\dio_mini_passive_variant_reife_map_compare.csv
probe16_f1_to_f2,dio_1w4m:WAIT,same_variant_state,0.0,2,variant_local_wait_context,variant_local_wait_context,0.0,0.0,3,5,,,0.0,0.0,1,0,0,0,0,0,debug\dio_mini_passive_variant_reife_map_compare_probe16_f1_to_f2_from_probe18_12n\dio_mini_passive_variant_reife_map_compare.csv
probe17_f2_to_f3,dio_0120:WAIT,same_variant_state,0.0,0,variant_local_wait_context,variant_local_wait_context,0.0,0.0,3,3,,,0.0,0.0,1,0,0,0,0,0,debug\dio_mini_passive_variant_reife_map_compare_probe17_f2_to_f3_from_probe18_12n\dio_mini_passive_variant_reife_map_compare.csv
probe17_f2_to_f3,dio_0n9e:LONG,same_variant_state,0.0,0,variant_self_carried_action_trace,variant_self_carried_action_trace,3.0,3.0,3,3,,,0.0,0.0,1,0,0,0,0,0,debug\dio_mini_passive_variant_reife_map_compare_probe17_f2_to_f3_from_probe18_12n\dio_mini_passive_variant_reife_map_compare.csv
probe17_f2_to_f3,dio_10dk:WAIT,same_variant_state,0.0,0,variant_local_wait_context,variant_local_wait_context,0.0,0.0,3,3,,,0.0,0.0,1,0,0,0,0,0,debug\dio_mini_passive_variant_reife_map_compare_probe17_f2_to_f3_from_probe18_12n\dio_mini_passive_variant_reife_map_compare.csv
probe17_f2_to_f3,dio_143d:WAIT,same_variant_state,0.0,0,variant_related_observation_trace,variant_related_observation_trace,0.0,0.0,3,3,dio_14xc,dio_14xc,0.982860751,0.982860751,1,0,0,0,0,0,debug\dio_mini_passive_variant_reife_map_compare_probe17_f2_to_f3_from_probe18_12n\dio_mini_passive_variant_reife_map_compare.csv
probe17_f2_to_f3,dio_1c6b:WAIT,same_variant_state,0.0,0,variant_related_observation_trace,variant_related_observation_trace,0.0,0.0,3,3,dio_1txv,dio_1txv,0.993744055,0.993744055,1,0,0,0,0,0,debug\dio_mini_passive_variant_reife_map_compare_probe17_f2_to_f3_from_probe18_12n\dio_mini_passive_variant_reife_map_compare.csv
probe17_f2_to_f3,dio_1d1z:WAIT,same_variant_state,0.0,0,variant_local_wait_context,variant_local_wait_context,0.0,0.0,3,3,,,0.0,0.0,1,0,0,0,0,0,debug\dio_mini_passive_variant_reife_map_compare_probe17_f2_to_f3_from_probe18_12n\dio_mini_passive_variant_reife_map_compare.csv
probe17_f2_to_f3,dio_1d3r:WAIT,same_variant_state,0.0,0,variant_related_observation_trace,variant_related_observation_trace,0.0,0.0,3,3,dio_0arw,dio_0arw,0.78285438,0.78285438,1,0,0,0,0,0,debug\dio_mini_passive_variant_reife_map_compare_probe17_f2_to_f3_from_probe18_12n\dio_mini_passive_variant_reife_map_compare.csv
probe17_f2_to_f3,dio_1f9y:WAIT,same_variant_state,0.0,0,variant_local_wait_context,variant_local_wait_context,0.0,0.0,3,3,,,0.0,0.0,1,0,0,0,0,0,debug\dio_mini_passive_variant_reife_map_compare_probe17_f2_to_f3_from_probe18_12n\dio_mini_passive_variant_reife_map_compare.csv
probe17_f2_to_f3,dio_1k7y:LONG,same_variant_state,0.0,0,variant_self_carried_action_trace,variant_self_carried_action_trace,3.0,3.0,3,3,dio_02qu,dio_02qu,0.737822053,0.737822053,1,0,0,0,0,0,debug\dio_mini_passive_variant_reife_map_compare_probe17_f2_to_f3_from_probe18_12n\dio_mini_passive_variant_reife_map_compare.csv
probe17_f2_to_f3,dio_1m4n:WAIT,same_variant_state,0.0,0,variant_related_observation_trace,variant_related_observation_trace,0.0,0.0,3,3,dio_1vpi,dio_1vpi,0.976794864,0.976794864,1,0,0,0,0,0,debug\dio_mini_passive_variant_reife_map_compare_probe17_f2_to_f3_from_probe18_12n\dio_mini_passive_variant_reife_map_compare.csv
