family,transfer_status,source_rows,source_trades,source_tp,source_sl,source_reward_sum,source_avg_balance,source_max_temporal_trust_support,target_rows,target_trades,target_tp,target_sl,target_reward_sum,target_avg_balance,target_max_temporal_trust_support,target_max_temporal_caution_support,target_max_afterimage,target_max_trade_readiness,source_tones,target_tones,source_temporal_states,target_temporal_states
dio_16in,source_only,10,2,2,0,2.0,0.23923,0.657096,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,"{'focus_tone': 9, 'relief_tone': 1}",{},"{'temporal_first_contact': 4, 'temporal_near_return': 3, 'temporal_far_return': 3}",{}
dio_0120,new_target_family,0,0,0,0,0.0,0.0,0.0,4,0,0,0,0.0,0.112326,0.0,0.72,0.0,0.05811,{},{'focus_tone': 4},{},{'temporal_first_contact': 4}
dio_040y,new_target_family,0,0,0,0,0.0,0.0,0.0,4,0,0,0,0.0,0.09725,0.0,0.72,0.0,0.025941,{},{'focus_tone': 4},{},{'temporal_first_contact': 4}
dio_04z7,new_target_family,0,0,0,0,0.0,0.0,0.0,4,0,0,0,0.0,0.067157,0.0,0.72,0.0,0.009096,{},{'observation_tone': 4},{},{'temporal_first_contact': 4}
dio_0akd,new_target_family,0,0,0,0,0.0,0.0,0.0,4,0,0,0,0.0,0.074436,0.0,0.72,0.0,0.021626,{},{'observation_tone': 4},{},{'temporal_first_contact': 4}
dio_0bmh,new_target_family,0,0,0,0,0.0,0.0,0.0,4,0,0,0,0.0,0.082246,0.0,0.72,0.0,0.040596,{},{'focus_tone': 4},{},{'temporal_first_contact': 4}
dio_0fzl,new_target_family,0,0,0,0,0.0,0.0,0.0,4,0,0,0,0.0,0.069324,0.0,0.72,0.0,0.00911,{},{'observation_tone': 4},{},{'temporal_first_contact': 4}
dio_0n9e,new_target_family,0,0,0,0,0.0,0.0,0.0,4,0,0,0,0.0,0.069176,0.0,0.72,0.0,0.025413,{},{'focus_tone': 4},{},{'temporal_first_contact': 4}
dio_0ofo,new_target_family,0,0,0,0,0.0,0.0,0.0,4,0,0,0,0.0,0.0551,0.0,0.72,0.0,0.017549,{},{'focus_tone': 4},{},{'temporal_first_contact': 4}
dio_0ps1,new_target_family,0,0,0,0,0.0,0.0,0.0,4,0,0,0,0.0,0.046304,0.0,0.72,0.0,0.008794,{},{'observation_tone': 4},{},{'temporal_first_contact': 4}
dio_10dk,new_target_family,0,0,0,0,0.0,0.0,0.0,4,0,0,0,0.0,0.001197,0.0,0.72,0.0,0.014166,{},{'observation_tone': 4},{},{'temporal_first_contact': 4}
dio_13u8,new_target_family,0,0,0,0,0.0,0.0,0.0,4,0,0,0,0.0,0.084974,0.0,0.72,0.0,0.017206,{},{'focus_tone': 4},{},{'temporal_first_contact': 4}
dio_14xc,new_target_family,0,0,0,0,0.0,0.0,0.0,4,0,0,0,0.0,0.08602,0.0,0.72,0.0,0.018962,{},{'focus_tone': 4},{},{'temporal_first_contact': 4}
dio_1c6b,new_target_family,0,0,0,0,0.0,0.0,0.0,4,0,0,0,0.0,0.209367,0.0,0.72,0.0,0.022254,{},{'focus_tone': 4},{},{'temporal_first_contact': 4}
dio_1d1z,new_target_family,0,0,0,0,0.0,0.0,0.0,4,0,0,0,0.0,-0.011838,0.0,0.72,0.0,0.008643,{},{'observation_tone': 4},{},{'temporal_first_contact': 4}
dio_1d3r,new_target_family,0,0,0,0,0.0,0.0,0.0,4,0,0,0,0.0,0.017695,0.0,0.72,0.0,0.017767,{},{'focus_tone': 4},{},{'temporal_first_contact': 4}
dio_1f9y,new_target_family,0,0,0,0,0.0,0.0,0.0,4,0,0,0,0.0,0.077802,0.0,0.72,0.0,0.026473,{},{'focus_tone': 4},{},{'temporal_first_contact': 4}
dio_1k7y,new_target_family,0,0,0,0,0.0,0.0,0.0,4,0,0,0,0.0,0.057247,0.0,0.72,0.0,0.0168,{},{'focus_tone': 4},{},{'temporal_first_contact': 4}
dio_1mym,new_target_family,0,0,0,0,0.0,0.0,0.0,4,0,0,0,0.0,0.093633,0.0,0.72,0.0,0.025625,{},{'focus_tone': 4},{},{'temporal_first_contact': 4}
dio_018g,source_only,4,0,0,0,0.0,0.054279,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'focus_tone': 4},{},{'temporal_first_contact': 4},{}
dio_02jf,source_only,4,0,0,0,0.0,0.150817,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'focus_tone': 4},{},{'temporal_first_contact': 4},{}
dio_02tu,source_only,4,0,0,0,0.0,0.01953,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'focus_tone': 4},{},{'temporal_first_contact': 4},{}
dio_049y,source_only,4,0,0,0,0.0,0.195075,0.632201,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'focus_tone': 4},{},"{'temporal_first_contact': 2, 'temporal_near_return': 2}",{}
dio_04jy,source_only,2,0,0,0,0.0,0.194292,0.63221,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'focus_tone': 2},{},"{'temporal_first_contact': 1, 'temporal_near_return': 1}",{}
dio_0635,source_only,4,0,0,0,0.0,0.015101,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'observation_tone': 4},{},{'temporal_first_contact': 4},{}
dio_06c2,source_only,4,0,0,0,0.0,0.051921,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'focus_tone': 4},{},{'temporal_first_contact': 4},{}
dio_0cz8,source_only,4,0,0,0,0.0,0.063111,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'focus_tone': 4},{},{'temporal_first_contact': 4},{}
dio_0eyx,source_only,3,0,0,0,0.0,0.067687,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'focus_tone': 3},{},{'temporal_first_contact': 3},{}
dio_0hmv,source_only,4,0,0,0,0.0,-0.044315,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'observation_tone': 4},{},{'temporal_first_contact': 4},{}
dio_0j9l,source_only,4,0,0,0,0.0,0.054156,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'focus_tone': 4},{},{'temporal_first_contact': 4},{}
dio_0jso,source_only,4,0,0,0,0.0,0.095099,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'focus_tone': 4},{},{'temporal_first_contact': 4},{}
dio_0o8c,source_only,4,0,0,0,0.0,-0.005773,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'observation_tone': 4},{},{'temporal_first_contact': 4},{}
dio_0o8k,source_only,4,0,0,0,0.0,0.071243,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'focus_tone': 4},{},{'temporal_first_contact': 4},{}
dio_0rbo,source_only,4,0,0,0,0.0,0.056196,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'focus_tone': 4},{},{'temporal_first_contact': 4},{}
dio_0tmw,source_only,4,0,0,0,0.0,0.01597,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'focus_tone': 4},{},{'temporal_first_contact': 4},{}
dio_11nf,source_only,3,0,0,0,0.0,0.041275,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'focus_tone': 3},{},{'temporal_first_contact': 3},{}
dio_13dt,source_only,4,0,0,0,0.0,0.034853,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'observation_tone': 4},{},{'temporal_first_contact': 4},{}
dio_13st,source_only,2,0,0,0,0.0,0.070889,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'focus_tone': 2},{},{'temporal_first_contact': 2},{}
dio_14ms,source_only,1,0,0,0,0.0,0.07024,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'focus_tone': 1},{},{'temporal_first_contact': 1},{}
dio_15vo,source_only,4,0,0,0,0.0,0.00803,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'focus_tone': 4},{},{'temporal_first_contact': 4},{}
dio_161r,source_only,4,0,0,0,0.0,0.145274,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'focus_tone': 4},{},{'temporal_first_contact': 4},{}
dio_17cm,source_only,1,0,0,0,0.0,0.050995,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'focus_tone': 1},{},{'temporal_first_contact': 1},{}
dio_17o5,source_only,4,0,0,0,0.0,0.028967,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'observation_tone': 4},{},{'temporal_first_contact': 4},{}
dio_17y4,source_only,3,0,0,0,0.0,0.023126,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'focus_tone': 3},{},{'temporal_first_contact': 3},{}
dio_194c,source_only,4,0,0,0,0.0,0.030927,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'observation_tone': 4},{},{'temporal_first_contact': 4},{}
dio_1bgr,source_only,7,0,0,0,0.0,0.179794,0.627587,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'focus_tone': 7},{},"{'temporal_first_contact': 4, 'temporal_near_return': 3}",{}
dio_1h53,source_only,4,0,0,0,0.0,-0.006017,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'observation_tone': 4},{},{'temporal_first_contact': 4},{}
dio_1iuq,source_only,2,0,0,0,0.0,-0.005528,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'focus_tone': 2},{},{'temporal_first_contact': 2},{}
dio_1jop,source_only,2,0,0,0,0.0,-0.005527,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'focus_tone': 2},{},{'temporal_first_contact': 2},{}
dio_1km5,source_only,4,0,0,0,0.0,0.062761,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'focus_tone': 4},{},{'temporal_first_contact': 4},{}
dio_1t6b,source_only,4,0,0,0,0.0,0.064013,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'focus_tone': 4},{},{'temporal_first_contact': 4},{}
dio_1u7q,source_only,4,0,0,0,0.0,0.09458,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,{'focus_tone': 4},{},{'temporal_first_contact': 4},{}
