target_family,target_rows,target_trades,target_tp,target_sl,target_reward_sum,target_avg_neuro_balance,target_max_trade_readiness,target_max_temporal_trust_support,target_max_temporal_caution_support,target_tones,target_vector,source_family,kinship_cosine,kinship_distance,source_rows,source_trades,source_tp,source_sl,source_reward_sum,source_avg_neuro_balance,source_max_trade_readiness,source_max_temporal_trust_support,source_tones,source_vector,carried_source_family,carried_kinship_cosine,carried_kinship_distance,carried_source_rows,carried_source_trades,carried_source_tp,carried_source_sl,carried_source_reward_sum,carried_source_max_trade_readiness,carried_source_max_temporal_trust_support,source_experience_weight,source_consequence_support,target_inner_balance_support,passive_carrying_nearness
dio_0igh,4,0,0,0,0.0,0.107297,0.025639,0.0,0.72,"{""focus_tone"": 4}","{""fuehlen_mcm_asymmetry"": 0.427672, ""fuehlen_mcm_coherence"": 0.985009, ""fuehlen_mcm_tension"": 0.328817, ""hoeren_energy_shift"": 0.083799, ""hoeren_energy_tone"": 0.05354, ""sehen_form_change"": 0.092729, ""sehen_form_flow"": 0.694031, ""sehen_form_stability"": 1.0}",dio_0jso,0.998452,0.104669,4,0,0,0,0.0,0.095099,0.025806,0.0,"{""focus_tone"": 4}","{""fuehlen_mcm_asymmetry"": 0.468348, ""fuehlen_mcm_coherence"": 0.979142, ""fuehlen_mcm_tension"": 0.362094, ""hoeren_energy_shift"": 0.128, ""hoeren_energy_tone"": 0.074491, ""sehen_form_change"": 0.062665, ""sehen_form_flow"": 0.763764, ""sehen_form_stability"": 1.0}",dio_16in,0.984653,0.386088,10,2,2,0,2.0,0.101722,0.657096,0.4,0.883333,0.553648,0.280197
dio_1qwp,4,0,0,0,0.0,0.078613,0.026272,0.0,0.72,"{""focus_tone"": 4}","{""fuehlen_mcm_asymmetry"": 0.503422, ""fuehlen_mcm_coherence"": 0.973715, ""fuehlen_mcm_tension"": 0.407434, ""hoeren_energy_shift"": 0.053476, ""hoeren_energy_tone"": 0.093873, ""sehen_form_change"": 0.076888, ""sehen_form_flow"": 0.846917, ""sehen_form_stability"": 1.0}",dio_0jso,0.997749,0.127912,4,0,0,0,0.0,0.095099,0.025806,0.0,"{""focus_tone"": 4}","{""fuehlen_mcm_asymmetry"": 0.468348, ""fuehlen_mcm_coherence"": 0.979142, ""fuehlen_mcm_tension"": 0.362094, ""hoeren_energy_shift"": 0.128, ""hoeren_energy_tone"": 0.074491, ""sehen_form_change"": 0.062665, ""sehen_form_flow"": 0.763764, ""sehen_form_stability"": 1.0}",dio_16in,0.99571,0.213115,10,2,2,0,2.0,0.101722,0.657096,0.4,0.883333,0.539306,0.279482
dio_14xc,4,0,0,0,0.0,0.089244,0.008367,0.0,0.72,"{""focus_tone"": 4}","{""fuehlen_mcm_asymmetry"": 0.393802, ""fuehlen_mcm_coherence"": 0.997047, ""fuehlen_mcm_tension"": 0.377032, ""hoeren_energy_shift"": -0.130208, ""hoeren_energy_tone"": 0.010545, ""sehen_form_change"": -0.169765, ""sehen_form_flow"": 0.822477, ""sehen_form_stability"": 1.0}",dio_1bgr,0.995523,0.198265,7,0,0,0,0.0,0.179794,0.053919,0.627587,"{""focus_tone"": 7}","{""fuehlen_mcm_asymmetry"": 0.4945492857142857, ""fuehlen_mcm_coherence"": 0.996212, ""fuehlen_mcm_tension"": 0.42875114285714283, ""hoeren_energy_shift"": -0.11875242857142856, ""hoeren_energy_tone"": -0.003857714285714285, ""sehen_form_change"": -0.10101214285714287, ""sehen_form_flow"": 0.9688257142857143, ""sehen_form_stability"": 1.0}",dio_16in,0.967655,0.486249,10,2,2,0,2.0,0.101722,0.657096,0.4,0.883333,0.544622,0.276385
dio_0120,4,0,0,0,0.0,0.109232,0.024947,0.0,0.72,"{""focus_tone"": 4}","{""fuehlen_mcm_asymmetry"": 0.389649, ""fuehlen_mcm_coherence"": 0.967548, ""fuehlen_mcm_tension"": 0.321409, ""hoeren_energy_shift"": 0.114943, ""hoeren_energy_tone"": 0.115901, ""sehen_form_change"": 0.113243, ""sehen_form_flow"": 0.606218, ""sehen_form_stability"": 1.0}",dio_0jso,0.994925,0.192996,4,0,0,0,0.0,0.095099,0.025806,0.0,"{""focus_tone"": 4}","{""fuehlen_mcm_asymmetry"": 0.468348, ""fuehlen_mcm_coherence"": 0.979142, ""fuehlen_mcm_tension"": 0.362094, ""hoeren_energy_shift"": 0.128, ""hoeren_energy_tone"": 0.074491, ""sehen_form_change"": 0.062665, ""sehen_form_flow"": 0.763764, ""sehen_form_stability"": 1.0}",dio_16in,0.975866,0.474441,10,2,2,0,2.0,0.101722,0.657096,0.4,0.883333,0.554616,0.279108
dio_1vpi,4,0,0,0,0.0,0.100381,0.025674,0.0,0.72,"{""focus_tone"": 4}","{""fuehlen_mcm_asymmetry"": 0.379076, ""fuehlen_mcm_coherence"": 0.985207, ""fuehlen_mcm_tension"": 0.348372, ""hoeren_energy_shift"": -0.076923, ""hoeren_energy_tone"": -0.052832, ""sehen_form_change"": -0.089228, ""sehen_form_flow"": 0.742634, ""sehen_form_stability"": 1.0}",dio_1bgr,0.992187,0.274528,7,0,0,0,0.0,0.179794,0.053919,0.627587,"{""focus_tone"": 7}","{""fuehlen_mcm_asymmetry"": 0.4945492857142857, ""fuehlen_mcm_coherence"": 0.996212, ""fuehlen_mcm_tension"": 0.42875114285714283, ""hoeren_energy_shift"": -0.11875242857142856, ""hoeren_energy_tone"": -0.003857714285714285, ""sehen_form_change"": -0.10101214285714287, ""sehen_form_flow"": 0.9688257142857143, ""sehen_form_stability"": 1.0}",dio_16in,0.970479,0.48363,10,2,2,0,2.0,0.101722,0.657096,0.4,0.883333,0.550191,0.277654
dio_00qb,4,0,0,0,0.0,0.054023,0.017089,0.0,0.72,"{""focus_tone"": 4}","{""fuehlen_mcm_asymmetry"": 0.073092, ""fuehlen_mcm_coherence"": 0.378154, ""fuehlen_mcm_tension"": 0.299928, ""hoeren_energy_shift"": -0.026178, ""hoeren_energy_tone"": -0.078022, ""sehen_form_change"": -0.612981, ""sehen_form_flow"": 0.402576, ""sehen_form_stability"": 0.0}",dio_17y4,0.985658,0.253414,3,0,0,0,0.0,0.023126,0.011993,0.0,"{""focus_tone"": 3}","{""fuehlen_mcm_asymmetry"": 0.174975, ""fuehlen_mcm_coherence"": 0.38414300000000007, ""fuehlen_mcm_tension"": 0.385611, ""hoeren_energy_shift"": 0.014124, ""hoeren_energy_tone"": -0.05663100000000001, ""sehen_form_change"": -0.684449, ""sehen_form_flow"": 0.600747, ""sehen_form_stability"": 0.0}",dio_16in,0.528374,1.609651,10,2,2,0,2.0,0.101722,0.657096,0.4,0.883333,0.527011,0.212542
dio_0ems,4,0,0,0,0.0,0.077623,0.025353,0.0,0.72,"{""focus_tone"": 4}","{""fuehlen_mcm_asymmetry"": -0.370109, ""fuehlen_mcm_coherence"": 0.957189, ""fuehlen_mcm_tension"": 0.407958, ""hoeren_energy_shift"": 0.033113, ""hoeren_energy_tone"": 0.152895, ""sehen_form_change"": 0.179982, ""sehen_form_flow"": -0.74987, ""sehen_form_stability"": 1.0}",dio_0cz8,0.982299,0.387047,4,0,0,0,0.0,0.063111,0.026986,0.0,"{""focus_tone"": 4}","{""fuehlen_mcm_asymmetry"": -0.546115, ""fuehlen_mcm_coherence"": 0.994617, ""fuehlen_mcm_tension"": 0.452967, ""hoeren_energy_shift"": -0.117271, ""hoeren_energy_tone"": -0.019224, ""sehen_form_change"": 0.155581, ""sehen_form_flow"": -1.0, ""sehen_form_stability"": 1.0}",dio_16in,0.373097,2.00936,10,2,2,0,2.0,0.101722,0.657096,0.4,0.883333,0.538811,0.192237
dio_0arw,4,0,0,0,0.0,0.063592,0.017639,0.0,0.72,"{""focus_tone"": 4}","{""fuehlen_mcm_asymmetry"": -0.134298, ""fuehlen_mcm_coherence"": 0.398499, ""fuehlen_mcm_tension"": 0.275533, ""hoeren_energy_shift"": -0.059524, ""hoeren_energy_tone"": -0.00536, ""sehen_form_change"": 0.533785, ""sehen_form_flow"": -0.447325, ""sehen_form_stability"": 0.0}",dio_06c2,0.979515,0.17366,4,0,0,0,0.0,0.051921,0.01714,0.0,"{""focus_tone"": 4}","{""fuehlen_mcm_asymmetry"": -0.147546, ""fuehlen_mcm_coherence"": 0.367902, ""fuehlen_mcm_tension"": 0.304562, ""hoeren_energy_shift"": -0.180723, ""hoeren_energy_tone"": -0.114635, ""sehen_form_change"": 0.508425, ""sehen_form_flow"": -0.416827, ""sehen_form_stability"": 0.0}",dio_16in,0.022164,2.060461,10,2,2,0,2.0,0.101722,0.657096,0.4,0.883333,0.531796,0.142535
dio_0t0v,4,0,0,0,0.0,0.057836,0.009093,0.0,0.72,"{""observation_tone"": 4}","{""fuehlen_mcm_asymmetry"": -0.069805, ""fuehlen_mcm_coherence"": -0.226193, ""fuehlen_mcm_tension"": 0.11288, ""hoeren_energy_shift"": -0.054945, ""hoeren_energy_tone"": -0.093547, ""sehen_form_change"": -0.346184, ""sehen_form_flow"": 0.043335, ""sehen_form_stability"": -1.0}",dio_13dt,0.979141,0.242949,4,0,0,0,0.0,0.034853,0.009176,0.0,"{""observation_tone"": 4}","{""fuehlen_mcm_asymmetry"": -0.189929, ""fuehlen_mcm_coherence"": -0.235004, ""fuehlen_mcm_tension"": 0.175881, ""hoeren_energy_shift"": -0.065445, ""hoeren_energy_tone"": -0.125016, ""sehen_form_change"": -0.462777, ""sehen_form_flow"": -0.117454, ""sehen_form_stability"": -1.0}",dio_16in,-0.587125,2.685793,10,2,2,0,2.0,0.101722,0.657096,0.4,0.883333,0.528918,0.057479
dio_0fiy,4,0,0,0,0.0,0.024942,0.017797,0.0,0.72,"{""focus_tone"": 4}","{""fuehlen_mcm_asymmetry"": -0.37278, ""fuehlen_mcm_coherence"": 0.330488, ""fuehlen_mcm_tension"": 0.375569, ""hoeren_energy_shift"": -0.038462, ""hoeren_energy_tone"": 0.248256, ""sehen_form_change"": -0.125696, ""sehen_form_flow"": -0.598073, ""sehen_form_stability"": 0.0}",dio_1jop,0.963361,0.376329,2,0,0,0,0.0,-0.005527,0.006117,0.0,"{""focus_tone"": 2}","{""fuehlen_mcm_asymmetry"": -0.510528, ""fuehlen_mcm_coherence"": 0.344526, ""fuehlen_mcm_tension"": 0.459528, ""hoeren_energy_shift"": 0.013369, ""hoeren_energy_tone"": 0.198122, ""sehen_form_change"": -0.429242, ""sehen_form_flow"": -0.732471, ""sehen_form_stability"": 0.0}",dio_16in,-0.186737,2.245887,10,2,2,0,2.0,0.101722,0.657096,0.4,0.883333,0.512471,0.112156
