tick,timestamp_ms,symbol,symbol_family,action,raw_action,phase_active,phase_distance,phase_age,episode_binding_pressure,episode_release_pressure,episode_relation,best_action_training,reward,best_reward_training,entry_price,better_entry_training,entry_improvement_room,score_wait,score_long,score_short,base_score_wait,base_score_long,base_score_short,wait_bias,trade_caution_long,trade_caution_short,immature_memory_pressure_long,immature_memory_pressure_short,weak_signal_pressure_long,weak_signal_pressure_short,readiness_wait,readiness_long,readiness_short,memory_bias_wait,memory_bias_long,memory_bias_short,associative_wait,associative_long,associative_short,observation_wait,observation_long,observation_short,observation_readiness_wait,observation_readiness_long,observation_readiness_short,trade_readiness,associative_trade,observation_trade_signal,observation_trade_readiness,maturity_gap,mature_transfer,observation_learning_action,observation_learning_pressure,sehen_form_flow,sehen_form_stability,sehen_form_change,hoeren_energy_tone,hoeren_energy_shift,fuehlen_mcm_coherence,fuehlen_mcm_tension,fuehlen_mcm_asymmetry
1,1767470300000000,dio_1s50pcn,dio_1s50,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,1.241447,101.88000000,101.88000000,0.000000,0.049809,0.002248,-0.056273,-0.009439,0.002893,0.002167,0.059248,0.048298,0.071350,0.045849,0.049393,0.002449,0.021958,0.000000,0.016721,0.005648,0.000000,0.047654,0.012910,0.000000,0.064828,0.080687,0.000000,0.005484,0.000000,0.000000,0.000603,0.000000,0.016721,0.080687,0.005484,0.000603,0.063965,0.016721,LONG,0.069818,0.070980,1.000000,0.141960,0.055132,0.202899,0.984563,0.075681,0.114399
2,1767470600000000,dio_0qze2dp,dio_0qze,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,0.724759,102.05000000,102.05000000,0.000000,0.049170,0.026074,-0.056134,-0.009381,0.002895,0.002180,0.058551,0.040896,0.071295,0.040896,0.049383,0.000000,0.021912,0.000000,0.032199,0.005679,0.000000,0.064075,0.012980,0.000000,0.063849,0.081128,0.000000,0.006474,0.000000,0.000000,0.000712,0.000000,0.032199,0.081128,0.006474,0.000712,0.048929,0.032199,LONG,0.060198,0.163800,1.000000,0.043443,0.099138,0.159292,0.972241,0.117385,0.134013
3,1767470900000000,dio_1guc9eq,dio_1guc,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,0.021975,102.48000000,102.48000000,0.000000,0.051086,-0.049139,-0.061402,-0.008493,0.002652,0.000179,0.059579,0.068053,0.073280,0.048205,0.049562,0.019847,0.023717,0.000000,0.009358,0.005118,0.000000,0.016262,0.011699,0.000000,0.054035,0.073117,0.000000,0.000680,0.000000,0.000000,0.000075,0.000000,0.009358,0.073117,0.000680,0.000075,0.063759,0.009358,LONG,0.067035,0.398580,1.000000,0.304498,0.369058,0.677249,0.896664,0.371128,0.431734
4,1767471200000000,dio_1t1wbqf,dio_1t1w,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,0.556040,102.89000000,102.89000000,0.000000,0.051707,-0.061498,-0.032554,-0.007807,0.003539,0.000382,0.059514,0.073597,0.061870,0.050002,0.047744,0.023596,0.014126,0.000000,0.003745,0.010800,0.000000,0.008560,0.028934,0.000000,0.053499,0.076547,0.000000,0.000000,0.002316,0.000000,0.000000,0.000255,0.010800,0.076547,0.002316,0.000255,0.065747,0.010800,SHORT,0.069527,0.622441,1.000000,0.179350,0.342776,0.074349,0.904023,0.434087,0.406481
5,1767471500000000,dio_0b66us7,dio_0b66,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,1.126796,103.25000000,103.25000000,0.000000,0.051226,-0.061109,-0.002736,-0.008027,0.004003,0.000800,0.059253,0.073477,0.050090,0.050029,0.045885,0.023448,0.004205,0.000000,0.003660,0.016610,0.000000,0.008365,0.046554,0.000000,0.052279,0.079547,0.000000,0.000000,0.004831,0.000000,0.000000,0.000531,0.016610,0.079547,0.004831,0.000531,0.062937,0.016610,SHORT,0.068751,0.747066,1.000000,0.022727,0.262675,0.122699,0.926451,0.427727,0.448351
6,1767471800000000,dio_0hd3xl3,dio_0hd3,SHORT,SHORT,0,1.000000,9999,0.000000,1.000000,none,SHORT,1.526095,1.526095,103.52000000,103.70000000,0.001739,0.009721,-0.060231,1.465864,-0.008111,0.004596,0.001593,0.017831,0.073167,0.000000,0.050032,0.000000,0.023135,0.000000,0.000000,0.003649,0.937079,0.000000,0.008340,1.464271,0.000000,0.052126,0.083625,0.000000,0.000000,0.011139,0.000000,0.000000,0.001225,0.937079,0.083625,0.011139,0.001225,0.000000,0.083625,-,0.000000,0.800261,1.000000,-0.143268,0.097170,-0.136612,0.972792,0.399844,0.386440
11,1767473300000000,dio_0989uuk,dio_0989,WAIT,WAIT,0,0.398793,5,0.000000,1.000000,different_contact,SHORT,0.000000,0.211987,101.50000000,101.50000000,0.000000,0.052306,-0.068586,-0.057183,-0.007411,-0.001300,-0.001651,0.059717,0.076090,0.071542,0.049967,0.049190,0.026123,0.022352,0.000000,0.003852,0.006282,0.000000,0.008804,0.016010,0.000000,0.055025,0.060396,0.000000,0.000000,0.000697,0.000000,0.000000,0.000077,0.006282,0.060396,0.000697,0.000077,0.054114,0.006282,SHORT,0.056313,-0.840934,1.000000,0.228793,-0.132451,-0.188470,0.962914,0.445428,-0.453707
12,1767473600000000,dio_173sbgr,dio_173s,WAIT,WAIT,0,0.572586,6,0.000000,1.000000,different_contact,SHORT,0.000000,0.743903,101.71000000,101.71000000,0.000000,0.056647,-0.066089,-0.032872,-0.002861,-0.000428,-0.001710,0.059508,0.075143,0.061956,0.049873,0.047702,0.025270,0.014254,0.000000,0.004148,0.010932,0.000000,0.009482,0.030794,0.000000,0.059261,0.053282,0.000000,0.000000,0.002396,0.000000,0.000000,0.000264,0.010932,0.059261,0.002396,0.000264,0.048328,0.010932,SHORT,0.052154,-0.498013,0.000000,0.639093,-0.197754,-0.163551,0.344629,0.394477,-0.158215
13,1767473900000000,dio_0sznn5g,dio_0szn,SHORT,SHORT,0,0.702948,7,0.282051,0.851842,new_contact,SHORT,0.814674,0.814674,102.04000000,102.54000000,0.004900,0.033047,-0.066623,0.948700,0.000541,0.000042,-0.000804,0.032506,0.075400,0.000000,0.049977,0.000000,0.025423,0.000000,0.000000,0.003821,0.610973,0.000000,0.008734,0.949504,0.000000,0.054590,0.058224,0.000000,0.000000,0.008145,0.000000,0.000000,0.000896,0.610973,0.058224,0.008145,0.000896,0.000000,0.058224,-,0.000000,-0.021769,-1.000000,0.494599,-0.110570,0.088161,-0.230960,0.134718,0.124145
18,1767475400000000,dio_0gmg3at,dio_0gmg,WAIT,WAIT,0,0.518796,5,0.000000,1.000000,different_contact,LONG,0.000000,0.189008,100.92000000,100.92000000,0.000000,0.058726,-0.057646,-0.072790,-0.001012,-0.000637,-0.002836,0.059738,0.071801,0.077679,0.049336,0.050118,0.022465,0.027561,0.000000,0.005825,0.003380,0.000000,0.014792,0.007726,0.000000,0.057103,0.048288,0.000000,0.000584,0.000000,0.000000,0.000064,0.000000,0.005825,0.057103,0.000584,0.000064,0.051278,0.005825,LONG,0.053317,-0.749430,0.000000,0.854444,-0.213169,-0.463158,0.340313,0.541002,-0.307246
