left_family,right_family,distance,similarity,left_action,right_action,same_action,long_alignment,short_alignment,cross_alignment,left_count,right_count,left_long_trust,right_long_trust,left_short_trust,right_short_trust,left_long_observations,right_long_observations,left_short_observations,right_short_observations
dio_0i5m,dio_0ifl,0.001482,0.999974,SHORT,SHORT,1,0.0,0.000579,0.0,2,1,0.0,0.0,0.13238,0.068948,0,0,2,1
dio_11wp,dio_12qo,0.001923,0.999956,-,-,0,0.0,0.0,0.0,4,2,0.0,0.0,0.0,0.0,0,0,0,0
dio_0v7w,dio_0w1v,0.003562,0.999848,SHORT,SHORT,1,0.0,0.004033,0.0,3,2,0.0,0.0,0.183009,0.127016,0,0,3,2
dio_0rh0,dio_11wp,0.011717,0.998355,SHORT,-,0,0.0,0.0,0.0,4,4,0.0,0.0,0.030243,0.0,0,0,4,0
dio_0rh0,dio_12qo,0.012712,0.998065,SHORT,-,0,0.0,0.0,0.0,4,2,0.0,0.0,0.030243,0.0,0,0,4,0
dio_0byw,dio_0n4c,0.013555,0.9978,LONG,SHORT,0,0.0,0.0,0.324389,10,4,1.0,0.0,0.0,0.474472,1,0,0,2
dio_0nv8,dio_1gzm,0.018118,0.996076,SHORT,SHORT,1,0.0,0.010526,0.0,3,2,0.0,0.0,0.387766,0.1536,0,0,2,2
dio_1h37,dio_1j78,0.018727,0.995809,LONG,LONG,1,5e-06,0.0,0.0,6,2,0.00278,0.007401,0.0,0.0,4,2,0,0
dio_0f4h,dio_1vb3,0.018923,0.995722,LONG,LONG,1,0.005936,0.0,0.0,4,4,0.20001,0.063969,0.0,0.0,3,4,0,0
dio_1bzs,dio_1hzf,0.021369,0.99455,SHORT,SHORT,1,0.0,0.011632,0.0,3,3,0.0,0.0,0.140884,0.316644,0,0,3,2
dio_1tg9,dio_1vb3,0.02229,0.994073,LONG,LONG,1,0.002368,0.0,0.0,2,4,0.1536,0.063969,0.0,0.0,2,4,0,0
dio_0k53,dio_1tg9,0.022856,0.993771,LONG,LONG,1,0.002916,0.0,0.0,2,2,0.1536,0.1536,0.0,0.0,2,2,0,0
dio_1hkr,dio_1ieq,0.023056,0.993661,-,LONG,0,0.0,0.0,0.0,4,4,0.0,0.050943,0.0,0.0,0,4,0,0
dio_0k53,dio_1vb3,0.024111,0.993072,LONG,LONG,1,0.002376,0.0,0.0,2,4,0.1536,0.063969,0.0,0.0,2,4,0,0
dio_0f4h,dio_0k53,0.024824,0.992659,LONG,LONG,1,0.007311,0.0,0.0,4,2,0.20001,0.1536,0.0,0.0,3,2,0,0
dio_0i5m,dio_0olv,0.025469,0.992276,SHORT,SHORT,1,0.0,0.002484,0.0,2,2,0.0,0.0,0.13238,0.1536,0,0,2,2
dio_0f4h,dio_0nmi,0.025736,0.992114,LONG,LONG,1,0.001515,0.0,0.0,4,4,0.20001,0.016255,0.0,0.0,3,4,0,0
dio_0ifl,dio_0olv,0.02695,0.991359,SHORT,SHORT,1,0.0,0.000679,0.0,1,2,0.0,0.0,0.068948,0.1536,0,0,1,2
dio_0byw,dio_1lam,0.027415,0.991062,LONG,LONG,1,0.282428,0.0,0.0,10,4,1.0,0.419565,0.0,0.0,1,2,0,0
dio_01xf,dio_1mml,0.027534,0.990985,LONG,LONG,1,0.000493,0.0,0.0,2,8,0.017214,0.079692,0.0,0.0,2,7,0,0
dio_0e6t,dio_0vyd,0.031143,0.988495,LONG,SHORT,0,0.0,0.0,0.001902,2,2,0.111017,0.0,0.0,0.138131,2,0,0,2
dio_01xf,dio_0uct,0.03148,0.988248,LONG,LONG,1,0.000973,0.0,0.0,2,4,0.017214,0.234003,0.0,0.0,2,3,0,0
dio_0f4h,dio_1tg9,0.032332,0.987611,LONG,LONG,1,0.007286,0.0,0.0,4,2,0.20001,0.1536,0.0,0.0,3,2,0,0
dio_18iw,dio_1h37,0.032426,0.98754,SHORT,LONG,0,0.0,0.0,2e-05,3,6,0.0,0.00278,0.020306,0.0,0,4,3,0
dio_0av4,dio_19qg,0.03259,0.987415,SHORT,SHORT,1,0.0,0.000643,0.0,3,1,0.0,0.0,0.122245,0.054799,0,0,3,1
dio_19qg,dio_1cpq,0.033208,0.986939,SHORT,SHORT,1,0.0,0.000829,0.0,1,3,0.0,0.0,0.054799,0.157289,0,0,1,3
dio_081d,dio_1144,0.033431,0.986766,LONG,SHORT,0,0.0,0.0,0.002733,2,2,0.149175,0.0,0.0,0.1536,2,0,0,2
dio_18iw,dio_1j78,0.034564,0.985866,SHORT,LONG,0,0.0,0.0,2.9e-05,3,2,0.0,0.007401,0.020306,0.0,0,2,3,0
dio_01xf,dio_1ll4,0.03607,0.984627,LONG,-,0,0.0,0.0,0.0,2,4,0.017214,0.0,0.0,0.0,2,0,0,0
dio_0nmi,dio_1vb3,0.036375,0.98437,LONG,LONG,1,0.000492,0.0,0.0,4,4,0.016255,0.063969,0.0,0.0,4,4,0,0
dio_179o,dio_1v23,0.036491,0.984272,LONG,LONG,1,0.002863,0.0,0.0,3,4,0.30449,0.026942,0.0,0.0,2,4,0,0
dio_0v36,dio_1gzm,0.037014,0.983826,SHORT,SHORT,1,0.0,0.00287,0.0,2,2,0.0,0.0,0.1536,0.1536,0,0,2,2
dio_00eh,dio_0rh0,0.037473,0.983428,SHORT,SHORT,1,0.0,0.001159,0.0,4,4,0.0,0.0,0.081464,0.030243,0,0,4,4
dio_01nf,dio_0wsj,0.037936,0.983024,LONG,LONG,1,0.000761,0.0,0.0,4,2,0.024283,0.130805,0.0,0.0,4,2,0,0
dio_0uct,dio_1mml,0.03822,0.982773,LONG,LONG,1,0.012922,0.0,0.0,4,8,0.234003,0.079692,0.0,0.0,3,7,0,0
dio_0n4c,dio_1lam,0.039055,0.982025,SHORT,LONG,0,0.0,0.0,0.0916,4,4,0.0,0.419565,0.474472,0.0,0,2,2,0
dio_0qb3,dio_18wf,0.039684,0.981453,LONG,LONG,1,0.000109,0.0,0.0,4,2,0.00299,0.1536,0.0,0.0,4,2,0,0
dio_00eh,dio_11wp,0.040114,0.981056,SHORT,-,0,0.0,0.0,0.0,4,4,0.0,0.0,0.081464,0.0,0,0,4,0
dio_1uez,dio_1vb3,0.040569,0.980632,LONG,LONG,1,0.006853,0.0,0.0,3,4,0.307706,0.063969,0.0,0.0,2,4,0,0
dio_0uct,dio_1ll4,0.040754,0.980459,LONG,-,0,0.0,0.0,0.0,4,4,0.234003,0.0,0.0,0.0,3,0,0,0
dio_00eh,dio_12qo,0.042038,0.979234,SHORT,-,0,0.0,0.0,0.0,4,2,0.0,0.0,0.081464,0.0,0,0,4,0
dio_0nmi,dio_1tg9,0.043569,0.977728,LONG,LONG,1,0.000604,0.0,0.0,4,2,0.016255,0.1536,0.0,0.0,4,2,0,0
dio_0nv8,dio_0v36,0.044503,0.976786,SHORT,SHORT,1,0.0,0.010487,0.0,3,2,0.0,0.0,0.387766,0.1536,0,0,2,2
dio_0k53,dio_1uez,0.044819,0.976463,LONG,LONG,1,0.00844,0.0,0.0,2,3,0.1536,0.307706,0.0,0.0,2,2,0,0
dio_0fp8,dio_1r0b,0.047699,0.973423,SHORT,SHORT,1,0.0,0.021348,0.0,4,4,0.0,0.0,0.194951,0.239714,0,0,3,3
dio_1tg9,dio_1uez,0.048482,0.972568,LONG,LONG,1,0.008412,0.0,0.0,2,3,0.1536,0.307706,0.0,0.0,2,2,0,0
dio_0fp8,dio_0lt6,0.049899,0.970988,SHORT,SHORT,1,0.0,0.041339,0.0,4,6,0.0,0.0,0.194951,0.313441,0,0,3,3
dio_0z1h,dio_179o,0.050178,0.970672,LONG,LONG,1,0.000826,0.0,0.0,3,3,0.010378,0.30449,0.0,0.0,3,2,0,0
dio_0k53,dio_0nmi,0.050561,0.970236,LONG,LONG,1,0.000606,0.0,0.0,2,4,0.1536,0.016255,0.0,0.0,2,4,0,0
dio_081d,dio_0nmi,0.05097,0.969767,LONG,LONG,1,0.000593,0.0,0.0,2,4,0.149175,0.016255,0.0,0.0,2,4,0,0
dio_0z1h,dio_1v23,0.052894,0.967517,LONG,LONG,1,9.9e-05,0.0,0.0,3,4,0.010378,0.026942,0.0,0.0,3,4,0,0
dio_0nv8,dio_0vyd,0.056848,0.962667,SHORT,SHORT,1,0.0,0.009624,0.0,3,2,0.0,0.0,0.387766,0.138131,0,0,2,2
dio_052z,dio_0byw,0.058116,0.961049,LONG,LONG,1,0.235567,0.0,0.0,4,10,0.349178,1.0,0.0,0.0,2,1,0,0
dio_052z,dio_1lam,0.058527,0.960517,LONG,LONG,1,0.066518,0.0,0.0,4,4,0.349178,0.419565,0.0,0.0,2,2,0,0
dio_0f4h,dio_1uez,0.059492,0.959258,LONG,LONG,1,0.021088,0.0,0.0,4,3,0.20001,0.307706,0.0,0.0,3,2,0,0
dio_0av4,dio_1cpq,0.059754,0.958914,SHORT,SHORT,1,0.0,0.005066,0.0,3,3,0.0,0.0,0.122245,0.157289,0,0,3,3
dio_0n4c,dio_1r0h,0.060042,0.958533,SHORT,SHORT,1,0.0,0.116144,0.0,4,4,0.0,0.0,0.474472,0.528832,0,0,2,2
dio_0qyu,dio_1r0h,0.060365,0.958105,LONG,SHORT,0,0.0,0.0,0.018583,2,4,0.1536,0.0,0.0,0.528832,2,0,0,2
dio_07yj,dio_1jtc,0.060641,0.957737,LONG,LONG,1,0.001438,0.0,0.0,2,2,0.126316,0.092625,0.0,0.0,2,2,0,0
