tick,timestamp_ms,symbol,symbol_family,action,raw_action,phase_active,phase_distance,phase_age,episode_binding_pressure,episode_release_pressure,episode_relation,best_action_training,reward,best_reward_training,entry_price,better_entry_training,entry_improvement_room,score_wait,score_long,score_short,readiness_wait,readiness_long,readiness_short,memory_bias_wait,memory_bias_long,memory_bias_short,associative_wait,associative_long,associative_short,observation_wait,observation_long,observation_short,observation_readiness_wait,observation_readiness_long,observation_readiness_short,trade_readiness,associative_trade,observation_trade_signal,observation_trade_readiness,maturity_gap,mature_transfer,observation_learning_action,observation_learning_pressure,sehen_form_flow,sehen_form_stability,sehen_form_change,hoeren_energy_tone,hoeren_energy_shift,fuehlen_mcm_coherence,fuehlen_mcm_tension,fuehlen_mcm_asymmetry
1,1767350300000000,dio_1mx6ap7,dio_1mx6,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,1.286383,99.78000000,99.78000000,0.000000,0.050792,-0.060154,-0.058971,0.000000,0.004781,0.005192,0.000000,0.010928,0.011867,0.000000,0.068303,0.074171,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005192,0.074171,0.000000,0.000000,0.068979,0.005192,SHORT,0.070796,-0.077840,1.000000,-0.155680,0.072944,0.243902,0.979576,0.088238,-0.032173
2,1767350600000000,dio_01yfdbq,dio_01yf,SHORT,SHORT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.938317,0.938317,99.52000000,99.74000000,0.002211,0.049197,-0.063620,0.059038,0.000000,0.004395,0.047831,0.000000,0.010045,0.094819,0.000000,0.062780,0.072665,0.000000,0.000000,0.008721,0.000000,0.000000,0.000959,0.047831,0.072665,0.008721,0.000959,0.024833,0.047831,-,0.000000,-0.222400,1.000000,-0.133846,0.174190,0.333333,0.951227,0.187983,-0.090000
7,1767352100000000,dio_0hlad40,dio_0hla,WAIT,WAIT,0,0.644785,5,0.000000,1.000000,different_contact,LONG,0.000000,0.527459,98.28000000,98.28000000,0.000000,0.063609,-0.068256,-0.073584,0.000000,0.004504,0.003218,0.000000,0.010294,0.007355,0.000000,0.064338,0.045967,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004504,0.064338,0.000000,0.000000,0.059834,0.004504,LONG,0.061411,-0.426315,-1.000000,0.525493,-0.267749,-0.069444,-0.274970,0.375586,-0.126507
8,1767352400000000,dio_0thkq1s,dio_0thk,WAIT,WAIT,0,0.511848,6,0.000000,1.000000,different_contact,LONG,0.000000,1.156708,98.14000000,98.14000000,0.000000,0.062921,-0.067501,-0.069653,0.000000,0.004466,0.003728,0.000000,0.010208,0.008522,0.000000,0.063797,0.053260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004466,0.063797,0.000000,0.000000,0.059331,0.004466,LONG,0.060894,-0.079139,-1.000000,-0.158573,-0.199838,0.051020,-0.255955,0.142542,-0.072171
9,1767352700000000,dio_1k0rwi1,dio_1k0r,LONG,LONG,0,0.396764,7,0.000000,1.000000,different_contact,LONG,1.594800,1.594800,98.34000000,98.12000000,0.002237,0.053991,0.100058,-0.065966,0.000000,0.065402,0.003917,0.000000,0.129229,0.008953,0.000000,0.069707,0.055959,0.000000,0.010292,0.000000,0.000000,0.001132,0.000000,0.065402,0.069707,0.010292,0.001132,0.004305,0.065402,-,0.000000,0.215507,0.000000,0.158305,-0.074979,0.000000,0.379006,0.147333,0.158677
14,1767354200000000,dio_185jg2r,dio_185j,WAIT,WAIT,0,0.525015,5,0.000000,1.000000,different_contact,SHORT,0.000000,0.282034,100.34000000,100.34000000,0.000000,0.053056,0.021358,-0.069483,0.000000,0.029031,0.003508,0.000000,0.057882,0.008018,0.000000,0.052335,0.050110,0.000000,0.004176,0.000000,0.000000,0.000459,0.000000,0.029031,0.052335,0.004176,0.000459,0.023304,0.029031,SHORT,0.033465,1.000000,1.000000,0.383348,0.363989,0.210280,0.898083,0.634211,0.694060
15,1767354500000000,dio_1dmhx2y,dio_1dmh,WAIT,WAIT,0,0.469786,6,0.000000,1.000000,different_contact,SHORT,0.000000,1.240083,100.74000000,100.74000000,0.000000,0.053084,-0.058103,-0.063200,0.000000,0.003778,0.004402,0.000000,0.008636,0.010061,0.000000,0.053973,0.062881,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004402,0.062881,0.000000,0.000000,0.058479,0.004402,SHORT,0.060020,1.000000,1.000000,-0.169247,0.015333,-0.340426,0.995707,0.453519,0.451296
16,1767354800000000,dio_026q9b0,dio_026q,WAIT,WAIT,0,0.357010,7,0.000000,1.000000,different_contact,SHORT,0.000000,1.324501,100.62000000,100.62000000,0.000000,0.060733,-0.061790,-0.068063,0.000000,0.003580,0.004569,0.000000,0.008183,0.010444,0.000000,0.051143,0.065274,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004569,0.065274,0.000000,0.000000,0.060705,0.004569,SHORT,0.062304,0.897686,0.000000,-0.772105,-0.272867,-0.454545,0.323597,0.615169,0.226490
17,1767355100000000,dio_0x50so3,dio_0x50,WAIT,WAIT,0,0.182086,8,0.000000,1.000000,none,SHORT,0.000000,1.338778,100.78000000,100.78000000,0.000000,0.058833,-0.058744,-0.067146,0.000000,0.004185,0.004162,0.000000,0.009566,0.009514,0.000000,0.059788,0.059462,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004185,0.059788,0.000000,0.000000,0.055603,0.004185,SHORT,0.057068,0.646903,0.000000,-0.194530,-0.252359,0.022523,0.329340,0.408814,0.320083
18,1767355400000000,dio_07z22rg,dio_07z2,WAIT,WAIT,0,0.363783,9,0.000000,1.000000,none,SHORT,0.000000,1.144276,100.46000000,100.46000000,0.000000,0.062354,-0.067147,-0.069445,0.000000,0.004073,0.003924,0.000000,0.009310,0.008970,0.000000,0.058186,0.056060,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004073,0.058186,0.000000,0.000000,0.054113,0.004073,SHORT,0.055539,0.066441,-1.000000,-0.515226,-0.054413,0.266990,-0.215236,0.133195,-0.033049
