tick,timestamp_ms,symbol,symbol_family,action,raw_action,phase_active,phase_distance,phase_age,episode_binding_pressure,episode_release_pressure,episode_relation,best_action_training,reward,best_reward_training,entry_price,better_entry_training,entry_improvement_room,score_wait,score_long,score_short,readiness_wait,readiness_long,readiness_short,memory_bias_wait,memory_bias_long,memory_bias_short,associative_wait,associative_long,associative_short,observation_wait,observation_long,observation_short,observation_readiness_wait,observation_readiness_long,observation_readiness_short,trade_readiness,associative_trade,observation_trade_signal,observation_trade_readiness,maturity_gap,mature_transfer,observation_learning_action,observation_learning_pressure,sehen_form_flow,sehen_form_stability,sehen_form_change,hoeren_energy_tone,hoeren_energy_shift,fuehlen_mcm_coherence,fuehlen_mcm_tension,fuehlen_mcm_asymmetry
1,1767380300000000,dio_14mjb6q,dio_14mj,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,0.798383,100.18000000,100.18000000,0.000000,0.049948,-0.059771,-0.017499,0.000000,0.004526,0.013373,0.000000,0.010345,0.036638,0.000000,0.064658,0.079150,0.000000,0.000000,0.003504,0.000000,0.000000,0.000385,0.013373,0.079150,0.003504,0.000385,0.065776,0.013373,SHORT,0.070457,0.077747,1.000000,0.155493,0.099750,0.378378,0.972070,0.099428,0.156532
2,1767380600000000,dio_0p8li9n,dio_0p8l,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,0.599440,100.08000000,100.08000000,0.000000,0.062152,-0.067002,-0.037803,0.000000,0.004346,0.009831,0.000000,0.009935,0.027126,0.000000,0.062091,0.057326,0.000000,0.000000,0.002055,0.000000,0.000000,0.000226,0.009831,0.062091,0.002055,0.000226,0.052260,0.009831,SHORT,0.055701,0.022213,-1.000000,-0.266405,0.028579,-0.105263,-0.208002,0.063957,-0.072550
3,1767380900000000,dio_05prtxl,dio_05pr,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,0.084107,99.58000000,99.58000000,0.000000,0.060230,-0.073852,-0.065518,0.000000,0.003523,0.005546,0.000000,0.008053,0.013326,0.000000,0.050333,0.067528,0.000000,0.000000,0.000316,0.000000,0.000000,0.000035,0.005546,0.067528,0.000316,0.000035,0.061981,0.005546,SHORT,0.063923,-0.255453,-0.333333,-0.577402,0.433708,0.888889,0.078562,0.381832,-0.103853
4,1767381200000000,dio_1et38m3,dio_1et3,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,0.017774,99.06000000,99.06000000,0.000000,0.059669,-0.073330,-0.070798,0.000000,0.003820,0.004620,0.000000,0.008870,0.010559,0.000000,0.052107,0.065993,0.000000,0.000065,0.000000,0.000000,0.000007,0.000000,0.004620,0.065993,0.000065,0.000007,0.061374,0.004620,LONG,0.062991,-0.544227,0.000000,-0.410038,0.425398,0.268456,0.280889,0.472849,-0.349485
5,1767381500000000,dio_1kfxqui,dio_1kfx,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,0.405663,98.88000000,98.88000000,0.000000,0.052736,-0.048461,-0.066881,0.000000,0.007971,0.004558,0.000000,0.021361,0.010418,0.000000,0.057538,0.065111,0.000000,0.001446,0.000000,0.000000,0.000159,0.000000,0.007971,0.065111,0.001446,0.000159,0.057140,0.007971,LONG,0.059930,-0.720925,1.000000,0.213515,0.072315,-0.317919,0.979752,0.367323,-0.416058
6,1767381800000000,dio_1tikqmu,dio_1tik,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,0.454995,99.10000000,99.10000000,0.000000,0.058304,-0.044188,-0.072513,0.000000,0.009145,0.003612,0.000000,0.024419,0.008257,0.000000,0.067391,0.051605,0.000000,0.001671,0.000000,0.000000,0.000184,0.000000,0.009145,0.067391,0.001671,0.000184,0.058246,0.009145,LONG,0.061447,-0.544009,0.000000,0.692955,-0.157080,-0.337079,0.356018,0.405330,-0.205752
7,1767382100000000,dio_0qb31rn,dio_0qb3,LONG,LONG,0,1.000000,9999,0.000000,1.000000,none,LONG,0.588566,0.588566,99.24000000,99.02000000,0.002217,0.045717,0.607774,-0.072521,0.000000,0.393701,0.003572,0.000000,0.610408,0.008164,0.000000,0.065368,0.051027,0.000000,0.003848,0.000000,0.000000,0.000423,0.000000,0.393701,0.065368,0.003848,0.000423,0.000000,0.065368,-,0.000000,-0.189686,-1.000000,0.335268,-0.196718,-0.027174,-0.255081,0.215932,-0.031194
12,1767383600000000,dio_0kpnwhg,dio_0kpn,WAIT,WAIT,0,0.381967,5,0.000000,1.000000,different_contact,LONG,0.000000,0.449670,100.06000000,100.06000000,0.000000,0.056771,-0.039294,-0.066755,0.000000,0.009072,0.004215,0.000000,0.024213,0.009634,0.000000,0.067110,0.060210,0.000000,0.001631,0.000000,0.000000,0.000179,0.000000,0.009072,0.067110,0.001631,0.000179,0.058039,0.009072,LONG,0.061214,0.391394,0.000000,0.184990,0.115087,0.034483,0.367776,0.242320,0.270475
13,1767383900000000,dio_1kqvs0w,dio_1kqv,WAIT,LONG,1,0.737989,6,0.390545,0.248477,same_episode,LONG,0.000000,0.215217,100.46000000,100.46000000,0.000000,0.048985,0.087672,-0.062512,0.000000,0.071743,0.004896,0.000000,0.113001,0.011191,0.000000,0.053915,0.069946,0.000000,0.004606,0.000000,0.000000,0.000507,0.000000,0.071743,0.069946,0.004606,0.000507,0.000000,0.069946,LONG,0.024481,0.705645,1.000000,0.124014,0.261114,0.386905,0.926888,0.425881,0.502306
14,1767384200000000,dio_09jnypw,dio_09jn,SHORT,SHORT,0,0.707805,7,0.000000,1.000000,different_contact,SHORT,0.312868,0.312868,100.92000000,101.48000000,0.005549,0.044049,-0.060727,0.284641,0.000000,0.003831,0.182423,0.000000,0.008758,0.284312,0.000000,0.054735,0.069984,0.000000,0.000000,0.004443,0.000000,0.000000,0.000489,0.182423,0.069984,0.004443,0.000489,0.000000,0.069984,-,0.000000,0.804182,1.000000,0.145087,0.215123,0.077320,0.939766,0.451322,0.500627
