tick,timestamp_ms,symbol,symbol_family,action,raw_action,phase_active,phase_distance,phase_age,episode_binding_pressure,episode_release_pressure,episode_relation,best_action_training,reward,best_reward_training,entry_price,better_entry_training,entry_improvement_room,score_wait,score_long,score_short,readiness_wait,readiness_long,readiness_short,memory_bias_wait,memory_bias_long,memory_bias_short,associative_wait,associative_long,associative_short,observation_wait,observation_long,observation_short,observation_readiness_wait,observation_readiness_long,observation_readiness_short,trade_readiness,associative_trade,observation_trade_signal,observation_trade_readiness,maturity_gap,mature_transfer,observation_learning_action,observation_learning_pressure,sehen_form_flow,sehen_form_stability,sehen_form_change,hoeren_energy_tone,hoeren_energy_shift,fuehlen_mcm_coherence,fuehlen_mcm_tension,fuehlen_mcm_asymmetry
1,1767410300000000,dio_0wv3630,dio_0wv3,LONG,LONG,0,1.000000,9999,0.000000,1.000000,none,LONG,1.330472,1.330472,100.20000000,100.04000000,0.001597,0.048229,0.071987,-0.201034,0.000000,0.051842,-0.087445,0.000000,0.103749,-0.123985,0.000000,0.064142,0.079152,0.000000,0.000000,0.011405,0.000000,0.000000,0.001255,0.051842,0.079152,0.011405,0.001255,0.027310,0.051842,-,0.000000,0.066613,1.000000,0.133227,0.062875,0.222222,0.982395,0.075702,0.113722
6,1767411800000000,dio_14ebdp0,dio_14eb,SHORT,SHORT,0,0.256794,5,0.000000,1.000000,different_contact,SHORT,1.420801,1.420801,101.92000000,102.10000000,0.001766,0.050421,-0.060660,0.079976,0.000000,0.003684,0.056946,0.000000,0.008422,0.112550,0.000000,0.052634,0.074052,0.000000,0.000000,0.010862,0.000000,0.000000,0.001195,0.056946,0.074052,0.010862,0.001195,0.017106,0.056946,-,0.000000,0.863558,1.000000,-0.135046,0.118434,0.000000,0.966838,0.434044,0.451181
11,1767413300000000,dio_1ayyzfr,dio_1ayy,WAIT,WAIT,0,0.417084,5,0.000000,1.000000,different_contact,SHORT,0.000000,0.066567,100.06000000,100.06000000,0.000000,0.053029,-0.067956,-0.059995,0.000000,0.004032,0.006608,0.000000,0.009216,0.014290,0.000000,0.057598,0.059861,0.000000,0.000000,0.000437,0.000000,0.000000,0.000048,0.006608,0.059861,0.000437,0.000048,0.053254,0.006608,SHORT,0.055566,-0.777384,1.000000,0.254882,-0.104452,-0.192308,0.970754,0.411152,-0.412625
12,1767413600000000,dio_16kbip9,dio_16kb,WAIT,WAIT,0,0.594689,6,0.000000,1.000000,different_contact,SHORT,0.000000,0.614666,100.28000000,100.28000000,0.000000,0.056565,-0.063522,0.003755,0.000000,0.004811,0.025889,0.000000,0.010996,0.051592,0.000000,0.068727,0.050270,0.000000,0.000000,0.004485,0.000000,0.000000,0.000493,0.025889,0.068727,0.004485,0.000493,0.042838,0.025889,SHORT,0.051899,-0.406960,0.000000,0.597322,-0.180263,-0.175879,0.349526,0.342205,-0.119716
13,1767413900000000,dio_0sznn5g,dio_0szn,WAIT,WAIT,0,0.700213,7,0.000000,1.000000,different_contact,SHORT,0.000000,0.695387,100.58000000,100.58000000,0.000000,0.059670,-0.064903,0.014439,0.000000,0.004383,0.028822,0.000000,0.010018,0.057392,0.000000,0.062615,0.051043,0.000000,0.000000,0.004543,0.000000,0.000000,0.000500,0.028822,0.062615,0.004543,0.000500,0.033793,0.028822,SHORT,0.043881,0.000000,-1.000000,0.442677,-0.071779,0.131579,-0.220098,0.100975,0.132558
14,1767414200000000,dio_0eh8epc,dio_0eh8,WAIT,WAIT,0,0.375832,8,0.000000,1.000000,none,SHORT,0.000000,0.742752,100.86000000,100.86000000,0.000000,0.054562,0.048057,0.020834,0.000000,0.041975,0.030897,0.000000,0.083381,0.061798,0.000000,0.068511,0.058331,0.000000,0.007157,0.003446,0.000000,0.000787,0.000379,0.041975,0.068511,0.007157,0.000787,0.026536,0.041975,SHORT,0.041228,0.343620,0.000000,0.183591,-0.009032,-0.000000,0.397471,0.177488,0.236489
15,1767414500000000,dio_0gtz1lm,dio_0gtz,WAIT,WAIT,0,0.493314,9,0.000000,1.000000,none,SHORT,0.000000,0.115846,100.38000000,100.38000000,0.000000,0.057543,-0.066799,-0.052495,0.000000,0.004040,0.008769,0.000000,0.009235,0.018619,0.000000,0.057719,0.065091,0.000000,0.000000,0.000810,0.000000,0.000000,0.000089,0.008769,0.065091,0.000810,0.000089,0.056322,0.008769,SHORT,0.059391,0.177671,0.000000,-0.824125,0.164605,0.255682,0.353910,0.275616,-0.047158
16,1767414800000000,dio_0eduk5o,dio_0edu,WAIT,WAIT,0,0.742679,10,0.000000,1.000000,none,LONG,0.000000,0.350631,99.86000000,99.86000000,0.000000,0.062880,-0.031384,-0.072917,0.000000,0.016192,0.003883,0.000000,0.032772,0.008876,0.000000,0.049820,0.055476,0.000000,0.002051,0.000000,0.000000,0.000226,0.000000,0.016192,0.055476,0.002051,0.000226,0.039284,0.016192,LONG,0.044951,-0.232682,-1.000000,-0.613235,0.237644,0.184211,-0.266540,0.295654,-0.240636
17,1767415100000000,dio_13618gk,dio_1361,WAIT,WAIT,0,0.535926,11,0.000000,1.000000,none,LONG,0.000000,0.553792,99.42000000,99.42000000,0.000000,0.057757,-0.003911,-0.071886,0.000000,0.024242,0.003951,0.000000,0.048686,0.009031,0.000000,0.059377,0.056442,0.000000,0.003417,0.000000,0.000000,0.000376,0.000000,0.024242,0.059377,0.003417,0.000376,0.035135,0.024242,LONG,0.043619,-0.640728,0.000000,-0.224555,0.114193,-0.121359,0.368026,0.352996,-0.436973
18,1767415400000000,dio_1l2hanx,dio_1l2h,WAIT,WAIT,0,0.660604,12,0.000000,1.000000,none,LONG,0.000000,0.184414,99.62000000,99.62000000,0.000000,0.058577,-0.043590,-0.075133,0.000000,0.011367,0.003268,0.000000,0.023715,0.007470,0.000000,0.066579,0.046690,0.000000,0.001302,0.000000,0.000000,0.000143,0.000000,0.011367,0.066579,0.001302,0.000143,0.055212,0.011367,LONG,0.059190,-0.683015,0.000000,0.754835,-0.145381,-0.241546,0.359293,0.468700,-0.249637
