tick,timestamp_ms,symbol,symbol_family,action,raw_action,phase_active,phase_distance,phase_age,episode_binding_pressure,episode_release_pressure,episode_relation,best_action_training,reward,best_reward_training,better_entry_training,score_wait,score_long,score_short,readiness_wait,readiness_long,readiness_short,memory_bias_wait,memory_bias_long,memory_bias_short,associative_wait,associative_long,associative_short,observation_wait,observation_long,observation_short,observation_readiness_wait,observation_readiness_long,observation_readiness_short,trade_readiness,associative_trade,observation_trade_signal,observation_trade_readiness,maturity_gap,mature_transfer,observation_learning_action,observation_learning_pressure,sehen_form_flow,sehen_form_stability,sehen_form_change,hoeren_energy_tone,hoeren_energy_shift,fuehlen_mcm_coherence,fuehlen_mcm_tension,fuehlen_mcm_asymmetry
1,1767260300000000,dio_052z1ru,dio_052z,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,1.081443,100.16000000,0.049906,-0.006462,-0.066782,0.000000,0.014895,0.002769,0.000000,0.042269,0.006328,0.000000,0.061216,0.039551,0.000000,0.004751,0.000000,0.000000,0.000523,0.000000,0.014895,0.061216,0.004751,0.000523,0.046320,0.014895,LONG,0.051534,0.044409,1.000000,0.088818,0.003934,-0.000000,0.998899,0.034515,0.046185
2,1767260600000000,dio_0wsjdxp,dio_0wsj,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,1.548352,100.10000000,0.061306,0.003273,-0.075418,0.000000,0.017511,0.001850,0.000000,0.052262,0.004229,0.000000,0.037406,0.026433,0.000000,0.004086,0.000000,0.000000,0.000449,0.000000,0.017511,0.037406,0.004086,0.000449,0.019895,0.017511,LONG,0.026024,0.011102,-1.000000,-0.155378,0.007755,0.000000,-0.202171,0.032781,-0.031073
3,1767260900000000,dio_07yjfe4,dio_07yj,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,1.495214,100.30000000,0.057469,0.004231,-0.075008,0.000000,0.017262,0.001813,0.000000,0.051244,0.004144,0.000000,0.040878,0.025901,0.000000,0.004124,0.000000,0.000000,0.000454,0.000000,0.017262,0.040878,0.004124,0.000454,0.023616,0.017262,LONG,0.029658,0.122125,-0.333333,0.210871,0.089550,0.218182,0.174926,0.122643,0.162635
4,1767261200000000,dio_1ml8bg4,dio_1ml8,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,1.227228,100.46000000,0.056017,-0.007640,-0.074550,0.000000,0.014843,0.001900,0.000000,0.043594,0.004343,0.000000,0.043114,0.027146,0.000000,0.003435,0.000000,0.000000,0.000378,0.000000,0.014843,0.043114,0.003435,0.000378,0.028271,0.014843,LONG,0.033466,0.210942,0.000000,0.095827,0.178597,0.266667,0.349993,0.178939,0.194459
5,1767261500000000,dio_0rgr8sv,dio_0rgr,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,0.741918,100.96000000,0.057132,-0.032677,-0.080146,0.000000,0.009735,0.001678,0.000000,0.028148,0.003835,0.000000,0.037424,0.023970,0.000000,0.001772,0.000000,0.000000,0.000195,0.000000,0.009735,0.037424,0.001772,0.000195,0.027689,0.009735,LONG,0.031096,0.443734,0.000000,0.442116,0.426507,0.773196,0.280578,0.436240,0.509238
6,1767261800000000,dio_1ieqcqp,dio_1ieq,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,0.326593,101.58000000,0.053152,-0.048110,-0.074983,0.000000,0.006014,0.002284,0.000000,0.016327,0.005220,0.000000,0.041032,0.032623,0.000000,0.000869,0.000000,0.000000,0.000096,0.000000,0.006014,0.041032,0.000869,0.000096,0.035017,0.006014,LONG,0.037122,0.821401,1.000000,0.364919,0.405764,0.351562,0.886386,0.573796,0.617878
7,1767262100000000,dio_0rh069t,dio_0rh0,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,0.193887,102.08000000,0.052877,-0.061847,-0.062820,0.000000,0.003044,0.004438,0.000000,0.006957,0.011674,0.000000,0.043479,0.036737,0.000000,0.000000,0.000523,0.000000,0.000000,0.000058,0.004438,0.043479,0.000523,0.000058,0.039041,0.004438,SHORT,0.040594,0.985931,1.000000,0.076049,0.237758,0.000000,0.933428,0.526117,0.570373
8,1767262400000000,dio_0fp8n85,dio_0fp8,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,0.796759,102.22000000,0.052896,-0.061895,-0.030172,0.000000,0.003110,0.010752,0.000000,0.007108,0.030857,0.000000,0.044423,0.043978,0.000000,0.000000,0.002193,0.000000,0.000000,0.000241,0.010752,0.044423,0.002193,0.000241,0.033671,0.010752,SHORT,0.037434,0.973301,1.000000,-0.441702,-0.081669,-0.404624,0.977133,0.513759,0.358115
9,1767262700000000,dio_1bzsfi5,dio_1bzs,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,1.157430,102.06000000,0.058642,-0.068166,-0.019609,0.000000,0.002729,0.013416,0.000000,0.006237,0.039874,0.000000,0.038984,0.033184,0.000000,0.000000,0.002696,0.000000,0.000000,0.000297,0.013416,0.038984,0.002696,0.000297,0.025568,0.013416,SHORT,0.030263,0.605300,0.000000,-0.634463,-0.232347,-0.228571,0.334943,0.453326,0.140983
10,1767263000000000,dio_0i5m3lb,dio_0i5m,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,1.566994,101.98000000,0.062671,-0.071848,-0.001574,0.000000,0.002527,0.016870,0.000000,0.005776,0.051099,0.000000,0.036103,0.027104,0.000000,0.000000,0.003236,0.000000,0.000000,0.000356,0.016870,0.036103,0.003236,0.000356,0.019232,0.016870,SHORT,0.025137,0.218766,-1.000000,-0.262223,-0.207536,0.000000,-0.258110,0.221002,0.059575
