family,runs,run_count,symbol_count,rows,symbols_per_row,executed_long,executed_short,executed_wait,raw_long,raw_short,best_long,best_short,reward_sum,avg_reward,observation_learning_events,avg_observation_pressure
dio_052z,"15,16,17,18",4,1,4,0.25,2,0,2,2,0,4,0,2.162886,0.540721,2,0.064815
dio_0fp8,"15,16,17,18",4,1,4,0.25,0,1,3,0,1,0,4,0.796759,0.19919,3,0.037572
dio_1ieq,"15,16,17,18",4,1,4,0.25,0,0,4,0,0,4,0,0.0,0.0,4,0.036384
dio_0rh0,"15,16,17,18",4,1,4,0.25,0,0,4,0,0,0,4,0.0,0.0,4,0.041539
dio_1ll4,"15,16,17,18",4,1,4,0.25,0,0,4,0,0,0,0,0.0,0.0,0,0.0
dio_0nv8,"15,16,17",3,1,3,0.333333,0,1,2,0,1,0,3,1.826216,0.608739,2,0.03114
dio_1bzs,"15,16,17",3,1,3,0.333333,0,0,3,0,0,0,3,0.0,0.0,3,0.028583
dio_0av4,"15,16,18",3,1,3,0.333333,0,0,3,0,0,0,3,0.0,0.0,3,0.026599
dio_1iuq,"15,16,18",3,1,3,0.333333,0,0,3,0,0,0,3,0.0,0.0,3,0.032983
dio_18iw,"15,16,18",3,1,3,0.333333,0,0,3,0,0,0,3,0.0,0.0,3,0.050089
dio_0wsj,"15,16",2,1,2,0.5,0,0,2,0,0,2,0,0.0,0.0,2,0.036471
dio_07yj,"15,16",2,1,2,0.5,0,0,2,0,0,2,0,0.0,0.0,2,0.039344
dio_1ml8,"15,16",2,1,2,0.5,0,0,2,0,0,2,0,0.0,0.0,2,0.041612
dio_0rgr,"15,16",2,1,2,0.5,0,0,2,0,0,2,0,0.0,0.0,2,0.036779
dio_0i5m,"15,16",2,1,2,0.5,0,0,2,0,0,0,2,0.0,0.0,2,0.030922
dio_0b0d,"15,16",2,1,2,0.5,0,0,2,0,0,0,2,0.0,0.0,2,0.03893
dio_0ifl,17,1,1,1,1.0,0,0,1,0,0,0,1,0.0,0.0,1,0.035515
