target_family,target_rows,target_trades,target_tp,target_sl,target_reward_sum,target_avg_neuro_balance,target_max_trade_readiness,target_max_temporal_trust_support,target_max_temporal_caution_support,target_tones,target_vector,source_family,kinship_cosine,kinship_distance,source_rows,source_trades,source_tp,source_sl,source_reward_sum,source_avg_neuro_balance,source_max_trade_readiness,source_max_temporal_trust_support,source_tones,source_vector,carried_source_family,carried_kinship_cosine,carried_kinship_distance,carried_source_rows,carried_source_trades,carried_source_tp,carried_source_sl,carried_source_reward_sum,carried_source_max_trade_readiness,carried_source_max_temporal_trust_support,source_experience_weight,source_consequence_support,target_inner_balance_support,passive_carrying_nearness
dio_0hd3,2,0,0,0,0.0,0.08036,0.008923,0.0,0.72,"{""focus_tone"": 2}","{""fuehlen_mcm_asymmetry"": 0.38644, ""fuehlen_mcm_coherence"": 0.972792, ""fuehlen_mcm_tension"": 0.399844, ""hoeren_energy_shift"": -0.136612, ""hoeren_energy_tone"": 0.09717, ""sehen_form_change"": -0.143268, ""sehen_form_flow"": 0.800261, ""sehen_form_stability"": 1.0}",dio_143d,0.998405,0.099516,2,0,0,0,0.0,0.090938,0.018035,0.0,"{""focus_tone"": 2}","{""fuehlen_mcm_asymmetry"": 0.393802, ""fuehlen_mcm_coherence"": 0.997047, ""fuehlen_mcm_tension"": 0.377032, ""hoeren_energy_shift"": -0.130208, ""hoeren_energy_tone"": 0.010545, ""sehen_form_change"": -0.169765, ""sehen_form_flow"": 0.822477, ""sehen_form_stability"": 1.0}",dio_1vpi,0.994181,0.187516,2,2,2,0,2.0,0.179485,0.0,0.4,0.883333,0.54018,0.279407
dio_1rv1,2,0,0,0,0.0,0.197344,0.009048,0.0,0.72,"{""focus_tone"": 2}","{""fuehlen_mcm_asymmetry"": 0.114399, ""fuehlen_mcm_coherence"": 0.984563, ""fuehlen_mcm_tension"": 0.075681, ""hoeren_energy_shift"": 0.202899, ""hoeren_energy_tone"": 0.055132, ""sehen_form_change"": 0.14196, ""sehen_form_flow"": 0.07098, ""sehen_form_stability"": 1.0}",dio_1txv,0.996001,0.128693,2,0,0,0,0.0,0.217791,0.059483,0.0,"{""focus_tone"": 2}","{""fuehlen_mcm_asymmetry"": 0.060594, ""fuehlen_mcm_coherence"": 0.988876, ""fuehlen_mcm_tension"": 0.040826, ""hoeren_energy_shift"": 0.133333, ""hoeren_energy_tone"": 0.039728, ""sehen_form_change"": 0.065244, ""sehen_form_flow"": 0.032622, ""sehen_form_stability"": 1.0}",dio_1vpi,0.858173,0.859615,2,2,2,0,2.0,0.179485,0.0,0.4,0.883333,0.598672,0.268991
dio_0b66,2,0,0,0,0.0,0.068464,0.008657,0.0,0.72,"{""focus_tone"": 2}","{""fuehlen_mcm_asymmetry"": 0.448351, ""fuehlen_mcm_coherence"": 0.926451, ""fuehlen_mcm_tension"": 0.427727, ""hoeren_energy_shift"": 0.122699, ""hoeren_energy_tone"": 0.262675, ""sehen_form_change"": 0.022727, ""sehen_form_flow"": 0.747066, ""sehen_form_stability"": 1.0}",dio_1qwp,0.991992,0.227746,2,0,0,0,0.0,0.090954,0.101748,0.0,"{""focus_tone"": 2}","{""fuehlen_mcm_asymmetry"": 0.503422, ""fuehlen_mcm_coherence"": 0.973715, ""fuehlen_mcm_tension"": 0.407434, ""hoeren_energy_shift"": 0.053476, ""hoeren_energy_tone"": 0.093873, ""sehen_form_change"": 0.076888, ""sehen_form_flow"": 0.846917, ""sehen_form_stability"": 1.0}",dio_1vpi,0.970831,0.408039,2,2,2,0,2.0,0.179485,0.0,0.4,0.883333,0.534232,0.275203
dio_0qze,2,0,0,0,0.0,0.181874,0.009208,0.0,0.72,"{""focus_tone"": 2}","{""fuehlen_mcm_asymmetry"": 0.134013, ""fuehlen_mcm_coherence"": 0.972241, ""fuehlen_mcm_tension"": 0.117385, ""hoeren_energy_shift"": 0.159292, ""hoeren_energy_tone"": 0.099138, ""sehen_form_change"": 0.043443, ""sehen_form_flow"": 0.1638, ""sehen_form_stability"": 1.0}",dio_1txv,0.99178,0.182797,2,0,0,0,0.0,0.217791,0.059483,0.0,"{""focus_tone"": 2}","{""fuehlen_mcm_asymmetry"": 0.060594, ""fuehlen_mcm_coherence"": 0.988876, ""fuehlen_mcm_tension"": 0.040826, ""hoeren_energy_shift"": 0.133333, ""hoeren_energy_tone"": 0.039728, ""sehen_form_change"": 0.065244, ""sehen_form_flow"": 0.032622, ""sehen_form_stability"": 1.0}",dio_1vpi,0.898697,0.738324,2,2,2,0,2.0,0.179485,0.0,0.4,0.883333,0.590937,0.27369
dio_1t1w,2,0,0,0,0.0,0.065264,0.009798,0.0,0.72,"{""focus_tone"": 2}","{""fuehlen_mcm_asymmetry"": 0.406481, ""fuehlen_mcm_coherence"": 0.904023, ""fuehlen_mcm_tension"": 0.434087, ""hoeren_energy_shift"": 0.074349, ""hoeren_energy_tone"": 0.342776, ""sehen_form_change"": 0.17935, ""sehen_form_flow"": 0.622441, ""sehen_form_stability"": 1.0}",dio_01vz,0.986156,0.273438,2,0,0,0,0.0,0.109529,0.018683,0.0,"{""focus_tone"": 2}","{""fuehlen_mcm_asymmetry"": 0.389649, ""fuehlen_mcm_coherence"": 0.967548, ""fuehlen_mcm_tension"": 0.321409, ""hoeren_energy_shift"": 0.114943, ""hoeren_energy_tone"": 0.115901, ""sehen_form_change"": 0.113243, ""sehen_form_flow"": 0.606218, ""sehen_form_stability"": 1.0}",dio_1vpi,0.949259,0.529772,2,2,2,0,2.0,0.179485,0.0,0.4,0.883333,0.532632,0.271943
dio_1pfo,2,0,0,0,0.0,0.067466,0.002104,0.0,0.72,"{""focus_tone"": 2}","{""fuehlen_mcm_asymmetry"": -0.546829, ""fuehlen_mcm_coherence"": 0.992907, ""fuehlen_mcm_tension"": 0.435964, ""hoeren_energy_shift"": -0.208333, ""hoeren_energy_tone"": -0.025331, ""sehen_form_change"": 0.136627, ""sehen_form_flow"": -0.96063, ""sehen_form_stability"": 1.0}",dio_0ems,0.977842,0.411886,2,2,2,0,2.0,0.260491,0.298464,0.0,"{""relief_tone"": 2}","{""fuehlen_mcm_asymmetry"": -0.370109, ""fuehlen_mcm_coherence"": 0.957189, ""fuehlen_mcm_tension"": 0.407958, ""hoeren_energy_shift"": 0.033113, ""hoeren_energy_tone"": 0.152895, ""sehen_form_change"": 0.179982, ""sehen_form_flow"": -0.74987, ""sehen_form_stability"": 1.0}",dio_0ems,0.977842,0.411886,2,2,2,0,2.0,0.298464,0.0,0.4,0.883333,0.533733,0.276104
dio_0989,2,0,0,0,0.0,0.063437,0.010072,0.0,0.72,"{""focus_tone"": 2}","{""fuehlen_mcm_asymmetry"": -0.453707, ""fuehlen_mcm_coherence"": 0.962914, ""fuehlen_mcm_tension"": 0.445428, ""hoeren_energy_shift"": -0.18847, ""hoeren_energy_tone"": -0.132451, ""sehen_form_change"": 0.228793, ""sehen_form_flow"": -0.840934, ""sehen_form_stability"": 1.0}",dio_0ems,0.976263,0.38681,2,2,2,0,2.0,0.260491,0.298464,0.0,"{""relief_tone"": 2}","{""fuehlen_mcm_asymmetry"": -0.370109, ""fuehlen_mcm_coherence"": 0.957189, ""fuehlen_mcm_tension"": 0.407958, ""hoeren_energy_shift"": 0.033113, ""hoeren_energy_tone"": 0.152895, ""sehen_form_change"": 0.179982, ""sehen_form_flow"": -0.74987, ""sehen_form_stability"": 1.0}",dio_0ems,0.976263,0.38681,2,2,2,0,2.0,0.298464,0.0,0.4,0.883333,0.531719,0.275567
dio_12jm,2,0,0,0,0.0,0.017064,0.00711,0.0,0.72,"{""focus_tone"": 2}","{""fuehlen_mcm_asymmetry"": -0.498935, ""fuehlen_mcm_coherence"": 0.357559, ""fuehlen_mcm_tension"": 0.398558, ""hoeren_energy_shift"": -0.242105, ""hoeren_energy_tone"": 0.151574, ""sehen_form_change"": -0.149425, ""sehen_form_flow"": -0.74045, ""sehen_form_stability"": 0.0}",dio_0fiy,0.971716,0.298041,2,0,0,0,0.0,0.030406,0.04753,0.0,"{""focus_tone"": 2}","{""fuehlen_mcm_asymmetry"": -0.37278, ""fuehlen_mcm_coherence"": 0.330488, ""fuehlen_mcm_tension"": 0.375569, ""hoeren_energy_shift"": -0.038462, ""hoeren_energy_tone"": 0.248256, ""sehen_form_change"": -0.125696, ""sehen_form_flow"": -0.598073, ""sehen_form_stability"": 0.0}",dio_0ems,0.671469,1.249234,2,2,2,0,2.0,0.298464,0.0,0.4,0.883333,0.508532,0.229986
dio_1wie,2,0,0,0,0.0,0.100584,0.005887,0.0,0.72,"{""focus_tone"": 2}","{""fuehlen_mcm_asymmetry"": 0.217948, ""fuehlen_mcm_coherence"": 0.391829, ""fuehlen_mcm_tension"": 0.170204, ""hoeren_energy_shift"": 0.014085, ""hoeren_energy_tone"": -0.029183, ""sehen_form_change"": 0.170054, ""sehen_form_flow"": 0.311281, ""sehen_form_stability"": 0.0}",dio_02qu,0.966173,0.173324,2,0,0,0,0.0,0.098322,0.046119,0.0,"{""focus_tone"": 2}","{""fuehlen_mcm_asymmetry"": 0.251832, ""fuehlen_mcm_coherence"": 0.38496, ""fuehlen_mcm_tension"": 0.192154, ""hoeren_energy_shift"": 0.089286, ""hoeren_energy_tone"": 0.053713, ""sehen_form_change"": 0.29436, ""sehen_form_flow"": 0.291659, ""sehen_form_stability"": 0.0}",dio_1vpi,0.744174,1.293034,2,2,2,0,2.0,0.179485,0.0,0.4,0.883333,0.550292,0.24578
dio_14jl,2,0,0,0,0.0,-0.053332,0.002626,0.0,0.72,"{""observation_tone"": 2}","{""fuehlen_mcm_asymmetry"": -0.286452, ""fuehlen_mcm_coherence"": -0.302089, ""fuehlen_mcm_tension"": 0.4126, ""hoeren_energy_shift"": 0.400943, ""hoeren_energy_tone"": 0.364603, ""sehen_form_change"": -0.775713, ""sehen_form_flow"": -0.322267, ""sehen_form_stability"": -1.0}",dio_16yc,0.940222,0.521332,2,0,0,0,0.0,-0.004486,0.023495,0.0,"{""observation_tone"": 2}","{""fuehlen_mcm_asymmetry"": -0.075968, ""fuehlen_mcm_coherence"": -0.286342, ""fuehlen_mcm_tension"": 0.287146, ""hoeren_energy_shift"": 0.737705, ""hoeren_energy_tone"": 0.308365, ""sehen_form_change"": -0.499951, ""sehen_form_flow"": -0.184859, ""sehen_form_stability"": -1.0}",dio_0ems,-0.327172,2.6209,2,2,2,0,2.0,0.298464,0.0,0.4,0.883333,0.473334,0.090695
dio_0n45,2,0,0,0,0.0,0.030045,0.002264,0.0,0.72,"{""focus_tone"": 2}","{""fuehlen_mcm_asymmetry"": -0.415677, ""fuehlen_mcm_coherence"": 0.373885, ""fuehlen_mcm_tension"": 0.36329, ""hoeren_energy_shift"": 0.132159, ""hoeren_energy_tone"": 0.093267, ""sehen_form_change"": -0.373195, ""sehen_form_flow"": -0.62954, ""sehen_form_stability"": 0.0}",dio_0fiy,0.93948,0.345331,2,0,0,0,0.0,0.030406,0.04753,0.0,"{""focus_tone"": 2}","{""fuehlen_mcm_asymmetry"": -0.37278, ""fuehlen_mcm_coherence"": 0.330488, ""fuehlen_mcm_tension"": 0.375569, ""hoeren_energy_shift"": -0.038462, ""hoeren_energy_tone"": 0.248256, ""sehen_form_change"": -0.125696, ""sehen_form_flow"": -0.598073, ""sehen_form_stability"": 0.0}",dio_0ems,0.641038,1.29544,2,2,2,0,2.0,0.298464,0.0,0.4,0.883333,0.515023,0.226645
dio_1guc,2,0,0,0,0.0,0.08754,0.009294,0.0,0.72,"{""focus_tone"": 2}","{""fuehlen_mcm_asymmetry"": 0.431734, ""fuehlen_mcm_coherence"": 0.896664, ""fuehlen_mcm_tension"": 0.371128, ""hoeren_energy_shift"": 0.677249, ""hoeren_energy_tone"": 0.369058, ""sehen_form_change"": 0.304498, ""sehen_form_flow"": 0.39858, ""sehen_form_stability"": 1.0}",dio_01vz,0.917895,0.685008,2,0,0,0,0.0,0.109529,0.018683,0.0,"{""focus_tone"": 2}","{""fuehlen_mcm_asymmetry"": 0.389649, ""fuehlen_mcm_coherence"": 0.967548, ""fuehlen_mcm_tension"": 0.321409, ""hoeren_energy_shift"": 0.114943, ""hoeren_energy_tone"": 0.115901, ""sehen_form_change"": 0.113243, ""sehen_form_flow"": 0.606218, ""sehen_form_stability"": 1.0}",dio_1vpi,0.821887,1.015525,2,2,2,0,2.0,0.179485,0.0,0.4,0.883333,0.54377,0.255786
dio_0be3,2,0,0,0,0.0,0.040512,0.00326,0.0,0.72,"{""observation_tone"": 2}","{""fuehlen_mcm_asymmetry"": -0.169432, ""fuehlen_mcm_coherence"": -0.212287, ""fuehlen_mcm_tension"": 0.161467, ""hoeren_energy_shift"": 0.176471, ""hoeren_energy_tone"": 0.043884, ""sehen_form_change"": -0.525455, ""sehen_form_flow"": -0.140387, ""sehen_form_stability"": -1.0}",dio_16yc,0.897587,0.646202,2,0,0,0,0.0,-0.004486,0.023495,0.0,"{""observation_tone"": 2}","{""fuehlen_mcm_asymmetry"": -0.075968, ""fuehlen_mcm_coherence"": -0.286342, ""fuehlen_mcm_tension"": 0.287146, ""hoeren_energy_shift"": 0.737705, ""hoeren_energy_tone"": 0.308365, ""sehen_form_change"": -0.499951, ""sehen_form_flow"": -0.184859, ""sehen_form_stability"": -1.0}",dio_0ems,-0.522051,2.523935,2,2,2,0,2.0,0.298464,0.0,0.4,0.883333,0.520256,0.066209
dio_173s,2,0,0,0,0.0,0.017966,0.005783,0.0,0.72,"{""focus_tone"": 2}","{""fuehlen_mcm_asymmetry"": -0.158215, ""fuehlen_mcm_coherence"": 0.344629, ""fuehlen_mcm_tension"": 0.394477, ""hoeren_energy_shift"": -0.163551, ""hoeren_energy_tone"": -0.197754, ""sehen_form_change"": 0.639093, ""sehen_form_flow"": -0.498013, ""sehen_form_stability"": 0.0}",dio_0ems,0.588453,1.362408,2,2,2,0,2.0,0.260491,0.298464,0.0,"{""relief_tone"": 2}","{""fuehlen_mcm_asymmetry"": -0.370109, ""fuehlen_mcm_coherence"": 0.957189, ""fuehlen_mcm_tension"": 0.407958, ""hoeren_energy_shift"": 0.033113, ""hoeren_energy_tone"": 0.152895, ""sehen_form_change"": 0.179982, ""sehen_form_flow"": -0.74987, ""sehen_form_stability"": 1.0}",dio_0ems,0.588453,1.362408,2,2,2,0,2.0,0.298464,0.0,0.4,0.883333,0.508983,0.21862
dio_0gmg,2,0,0,0,0.0,-0.034857,0.00676,0.0,0.72,"{""observation_tone"": 2}","{""fuehlen_mcm_asymmetry"": -0.307246, ""fuehlen_mcm_coherence"": 0.340313, ""fuehlen_mcm_tension"": 0.541002, ""hoeren_energy_shift"": -0.463158, ""hoeren_energy_tone"": -0.213169, ""sehen_form_change"": 0.854444, ""sehen_form_flow"": -0.74943, ""sehen_form_stability"": 0.0}",dio_0fiy,0.564946,1.186854,2,0,0,0,0.0,0.030406,0.04753,0.0,"{""focus_tone"": 2}","{""fuehlen_mcm_asymmetry"": -0.37278, ""fuehlen_mcm_coherence"": 0.330488, ""fuehlen_mcm_tension"": 0.375569, ""hoeren_energy_shift"": -0.038462, ""hoeren_energy_tone"": 0.248256, ""sehen_form_change"": -0.125696, ""sehen_form_flow"": -0.598073, ""sehen_form_stability"": 0.0}",dio_0ems,0.549881,1.495786,2,2,2,0,2.0,0.298464,0.0,0.4,0.883333,0.482571,0.210057
dio_0szn,2,0,0,0,0.0,0.049398,0.003001,0.0,0.72,"{""observation_tone"": 2}","{""fuehlen_mcm_asymmetry"": 0.124145, ""fuehlen_mcm_coherence"": -0.23096, ""fuehlen_mcm_tension"": 0.134718, ""hoeren_energy_shift"": 0.088161, ""hoeren_energy_tone"": -0.11057, ""sehen_form_change"": 0.494599, ""sehen_form_flow"": -0.021769, ""sehen_form_stability"": -1.0}",dio_16yc,0.524878,1.295951,2,0,0,0,0.0,-0.004486,0.023495,0.0,"{""observation_tone"": 2}","{""fuehlen_mcm_asymmetry"": -0.075968, ""fuehlen_mcm_coherence"": -0.286342, ""fuehlen_mcm_tension"": 0.287146, ""hoeren_energy_shift"": 0.737705, ""hoeren_energy_tone"": 0.308365, ""sehen_form_change"": -0.499951, ""sehen_form_flow"": -0.184859, ""sehen_form_stability"": -1.0}",dio_0ems,-0.572051,2.536179,2,2,2,0,2.0,0.298464,0.0,0.4,0.883333,0.524699,0.059434
dio_1gxl,2,0,0,0,0.0,0.050355,0.00513,0.0,0.72,"{""focus_tone"": 2}","{""fuehlen_mcm_asymmetry"": -0.02035, ""fuehlen_mcm_coherence"": 0.332936, ""fuehlen_mcm_tension"": 0.303039, ""hoeren_energy_shift"": 0.43956, ""hoeren_energy_tone"": 0.239516, ""sehen_form_change"": -0.834232, ""sehen_form_flow"": 0.164204, ""sehen_form_stability"": 0.0}",dio_1g2t,0.499117,0.975975,2,0,0,0,0.0,0.021501,0.038399,0.0,"{""observation_tone"": 2}","{""fuehlen_mcm_asymmetry"": -0.252381, ""fuehlen_mcm_coherence"": 0.114963, ""fuehlen_mcm_tension"": 0.336808, ""hoeren_energy_shift"": 0.166667, ""hoeren_energy_tone"": 0.303705, ""sehen_form_change"": -0.251683, ""sehen_form_flow"": -0.40234, ""sehen_form_stability"": -0.333333}",dio_1vpi,0.317006,1.68193,2,2,2,0,2.0,0.179485,0.0,0.4,0.883333,0.525178,0.182956
dio_0xpt,2,0,0,0,0.0,0.061353,0.005663,0.0,0.72,"{""focus_tone"": 2}","{""fuehlen_mcm_asymmetry"": -0.022425, ""fuehlen_mcm_coherence"": 0.394361, ""fuehlen_mcm_tension"": 0.279452, ""hoeren_energy_shift"": 0.049505, ""hoeren_energy_tone"": -0.020138, ""sehen_form_change"": -0.868349, ""sehen_form_flow"": 0.314424, ""sehen_form_stability"": 0.0}",dio_143d,0.490581,1.524917,2,0,0,0,0.0,0.090938,0.018035,0.0,"{""focus_tone"": 2}","{""fuehlen_mcm_asymmetry"": 0.393802, ""fuehlen_mcm_coherence"": 0.997047, ""fuehlen_mcm_tension"": 0.377032, ""hoeren_energy_shift"": -0.130208, ""hoeren_energy_tone"": 0.010545, ""sehen_form_change"": -0.169765, ""sehen_form_flow"": 0.822477, ""sehen_form_stability"": 1.0}",dio_1vpi,0.449414,1.523975,2,2,2,0,2.0,0.179485,0.0,0.4,0.883333,0.530676,0.201984
