family,rows,runs,states,trades,tp,sl,reward_sum,max_afterimage,max_recurrence_strength,max_temporal_trust_support,max_temporal_caution_support,avg_time_distance,memory_seen_count,memory_last_state,memory_max_afterimage,memory_max_trust_support,memory_max_caution_support
dio_1w4m,8,"[5, 6, 7, 8]","{'temporal_first_contact': 4, 'temporal_near_return': 4}",0,0,0,0.0,0.056,0.166667,0.609107,0.72,0.625,8,temporal_near_return,0.05600000000000001,0.6091073191352079,0.72
dio_0cgn,4,"[5, 6, 7, 8]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
dio_0fa9,4,"[5, 6, 7, 8]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
dio_06bd,4,"[5, 6, 7, 8]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
dio_0ojr,4,"[5, 6, 7, 8]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
dio_04zi,4,"[5, 6, 7, 8]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
dio_1qig,4,"[5, 6, 7, 8]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
dio_0vc8,4,"[5, 6, 7, 8]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
dio_1g7l,4,"[5, 6, 7, 8]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
dio_1k0r,4,"[5, 6, 7, 8]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
dio_10kx,4,"[5, 6, 7, 8]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
dio_1f4v,4,"[5, 6, 7, 8]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
dio_1vjg,4,"[5, 6, 7, 8]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
dio_1t73,4,"[5, 6, 7, 8]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
dio_1q9b,4,"[5, 6, 7, 8]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
dio_0rb2,4,"[5, 6, 7, 8]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
dio_1jo7,4,"[5, 6, 7, 8]",{'temporal_first_contact': 4},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,4,temporal_first_contact,0.0,0.0,0.72
