family,rows,runs,states,trades,tp,sl,reward_sum,max_afterimage,max_recurrence_strength,max_temporal_trust_support,max_temporal_caution_support,avg_time_distance,memory_seen_count,memory_last_state,memory_max_afterimage,memory_max_trust_support,memory_max_caution_support
dio_16in,6,"[1, 2]","{'temporal_first_contact': 2, 'temporal_near_return': 2, 'temporal_far_return': 2}",0,0,0,0.0,0.162202,0.285714,0.657096,0.72,0.486111,6,temporal_far_return,0.1622023529411765,0.6570961482795604,0.72
dio_049y,4,"[1, 2]","{'temporal_first_contact': 2, 'temporal_near_return': 2}",0,0,0,0.0,0.112,0.166667,0.632201,0.72,0.5416665,4,temporal_near_return,0.11200000000000002,0.6322005960219658,0.72
dio_1bgr,4,"[1, 2]","{'temporal_first_contact': 2, 'temporal_near_return': 2}",0,0,0,0.0,0.112,0.166667,0.627587,0.72,0.5416665,4,temporal_near_return,0.11200000000000002,0.6275868561696039,0.72
dio_02jf,2,"[1, 2]",{'temporal_first_contact': 2},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,2,temporal_first_contact,0.0,0.0,0.72
dio_161r,2,"[1, 2]",{'temporal_first_contact': 2},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,2,temporal_first_contact,0.0,0.0,0.72
dio_0jso,2,"[1, 2]",{'temporal_first_contact': 2},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,2,temporal_first_contact,0.0,0.0,0.72
dio_0eyx,2,"[1, 2]",{'temporal_first_contact': 2},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,2,temporal_first_contact,0.0,0.0,0.72
dio_17y4,2,"[1, 2]",{'temporal_first_contact': 2},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,2,temporal_first_contact,0.0,0.0,0.72
dio_17o5,2,"[1, 2]",{'temporal_first_contact': 2},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,2,temporal_first_contact,0.0,0.0,0.72
dio_1u7q,2,"[1, 2]",{'temporal_first_contact': 2},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,2,temporal_first_contact,0.0,0.0,0.72
dio_06c2,2,"[1, 2]",{'temporal_first_contact': 2},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,2,temporal_first_contact,0.0,0.0,0.72
dio_0635,2,"[1, 2]",{'temporal_first_contact': 2},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,2,temporal_first_contact,0.0,0.0,0.72
dio_15vo,2,"[1, 2]",{'temporal_first_contact': 2},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,2,temporal_first_contact,0.0,0.0,0.72
dio_018g,2,"[1, 2]",{'temporal_first_contact': 2},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,2,temporal_first_contact,0.0,0.0,0.72
dio_13st,2,"[1, 2]",{'temporal_first_contact': 2},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,2,temporal_first_contact,0.0,0.0,0.72
dio_11nf,2,"[1, 2]",{'temporal_first_contact': 2},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,2,temporal_first_contact,0.0,0.0,0.72
dio_02tu,2,"[1, 2]",{'temporal_first_contact': 2},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,2,temporal_first_contact,0.0,0.0,0.72
dio_194c,2,"[1, 2]",{'temporal_first_contact': 2},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,2,temporal_first_contact,0.0,0.0,0.72
dio_0tmw,2,"[1, 2]",{'temporal_first_contact': 2},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,2,temporal_first_contact,0.0,0.0,0.72
dio_1km5,2,"[1, 2]",{'temporal_first_contact': 2},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,2,temporal_first_contact,0.0,0.0,0.72
dio_0o8k,2,"[1, 2]",{'temporal_first_contact': 2},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,2,temporal_first_contact,0.0,0.0,0.72
dio_0rbo,2,"[1, 2]",{'temporal_first_contact': 2},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,2,temporal_first_contact,0.0,0.0,0.72
dio_0cz8,2,"[1, 2]",{'temporal_first_contact': 2},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,2,temporal_first_contact,0.0,0.0,0.72
dio_0hmv,2,"[1, 2]",{'temporal_first_contact': 2},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,2,temporal_first_contact,0.0,0.0,0.72
dio_1h53,2,"[1, 2]",{'temporal_first_contact': 2},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,2,temporal_first_contact,0.0,0.0,0.72
dio_13dt,2,"[1, 2]",{'temporal_first_contact': 2},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,2,temporal_first_contact,0.0,0.0,0.72
dio_0o8c,2,"[1, 2]",{'temporal_first_contact': 2},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,2,temporal_first_contact,0.0,0.0,0.72
dio_1jop,2,"[1, 2]",{'temporal_first_contact': 2},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,2,temporal_first_contact,0.0,0.0,0.72
dio_1t6b,2,"[1, 2]",{'temporal_first_contact': 2},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,2,temporal_first_contact,0.0,0.0,0.72
dio_0j9l,2,"[1, 2]",{'temporal_first_contact': 2},0,0,0,0.0,0.0,0.0,0.0,0.72,1.0,2,temporal_first_contact,0.0,0.0,0.72
