scope,name,action,count,reward_sum,avg_reward,trust,caution,timing_improvement_sum,avg_timing_improvement,last_timing_improvement
symbol,dio_0odxxpf,SHORT,13,2.682806,0.20637,0.212269,0.0,0.018679,0.001437,0.003736
symbol,dio_0t458zs,SHORT,9,13.024076,1.44712,1.0,0.0,0.007899,0.000878,0.00158
symbol,dio_1lamhgi,LONG,13,15.723227,1.209479,1.0,0.0,0.008996,0.000692,0.001799
symbol,dio_1h37wgg,LONG,5,0.049009,0.009802,0.004014,0.0,0.0,0.0,0.0
symbol,dio_0qb31rn,LONG,4,0.042172,0.010543,0.003626,0.0,0.0,0.0,0.0
symbol,dio_0z1hltj,LONG,8,0.375144,0.046893,0.026707,0.0,0.0,0.0,0.0
symbol,dio_1j78aih,LONG,2,0.096372,0.048186,0.009155,0.0,0.0,0.0,0.0
symbol,dio_0nmiyar,LONG,4,0.229255,0.057314,0.01971,0.0,0.0,0.0,0.0
symbol,dio_01nfcv4,LONG,4,0.342487,0.085622,0.029445,0.0,0.0,0.0,0.0
symbol,dio_18iwvzx,SHORT,3,0.275264,0.091755,0.024866,0.0,0.0,0.0,0.0
symbol,dio_1at751v,SHORT,2,0.187559,0.093779,0.017818,0.0,0.0,0.0,0.0
symbol,dio_1v23ekc,LONG,4,0.379986,0.094997,0.032669,0.0,0.0,0.0,0.0
symbol,dio_0rh069t,SHORT,4,0.426552,0.106638,0.036673,0.0,0.0,0.0,0.0
symbol,dio_01xfovd,LONG,2,0.224143,0.112072,0.021294,0.0,0.0,0.0,0.0
symbol,dio_1mml4kx,LONG,9,1.32176,0.146862,0.120708,0.0,0.0,0.0,0.0
symbol,dio_07mfifw,LONG,4,0.678509,0.169627,0.058335,0.0,0.0,0.0,0.0
symbol,dio_1ieqcqp,LONG,4,0.718505,0.179626,0.061773,0.0,0.0,0.0,0.0
symbol,dio_030975f,SHORT,2,0.411999,0.205999,0.03914,0.0,0.0,0.0,0.0
symbol,dio_13ey2w7,LONG,2,0.415674,0.207837,0.039489,0.0,0.0,0.0,0.0
symbol,dio_1vb3v1l,LONG,4,0.90222,0.225555,0.077568,0.0,0.0,0.0,0.0
symbol,dio_00ehtcc,SHORT,4,1.148966,0.287241,0.098782,0.0,0.0,0.0,0.0
symbol,dio_0jqv2jo,SHORT,2,0.589324,0.294662,0.055986,0.0,0.0,0.0,0.0
symbol,dio_1iuq9og,SHORT,3,0.956667,0.318889,0.086419,0.0,0.0,0.0,0.0
symbol,dio_1hjj12i,SHORT,5,1.607933,0.321587,0.131693,0.0,0.0,0.0,0.0
symbol,dio_0rgr8sv,LONG,2,0.816109,0.408055,0.07753,0.0,0.0,0.0,0.0
symbol,dio_05vmtg8,LONG,2,0.819239,0.409619,0.077828,0.0,0.0,0.0,0.0
symbol,dio_1sxooqm,SHORT,2,0.98171,0.490855,0.093262,0.0,0.0,0.0,0.0
symbol,dio_1lz7raf,SHORT,2,1.034679,0.51734,0.098295,0.0,0.0,0.0,0.0
symbol,dio_0fp8n85,SHORT,4,2.11141,0.527853,0.240797,0.0,0.0,0.0,0.0
symbol,dio_0oiocfh,LONG,3,1.58394,0.52798,0.143083,0.0,0.0,0.0,0.0
symbol,dio_0nnyx2x,LONG,2,1.061977,0.530989,0.100888,0.0,0.0,0.0,0.0
symbol,dio_0f4h622,LONG,4,2.166193,0.541548,0.247045,0.0,0.0,0.0,0.0
symbol,dio_0lt61yq,SHORT,6,3.302256,0.550376,0.376964,0.0,0.0,0.0,0.0
symbol,dio_0av4745,SHORT,3,1.657093,0.552364,0.149691,0.0,0.0,0.0,0.0
symbol,dio_05z65fv,SHORT,4,2.387783,0.596946,0.272316,0.0,0.0,0.0,0.0
symbol,dio_1jtc0dy,LONG,2,1.206052,0.603026,0.114575,0.0,0.0,0.0,0.0
symbol,dio_0zlrs2n,SHORT,3,1.844842,0.614947,0.166651,0.0,0.0,0.0,0.0
symbol,dio_0uctcgp,LONG,4,2.534359,0.63359,0.289033,0.0,0.0,0.0,0.0
symbol,dio_1bzsfi5,SHORT,3,1.90976,0.636587,0.172515,0.0,0.0,0.0,0.0
symbol,dio_1ml8bg4,LONG,2,1.349951,0.674975,0.128245,0.0,0.0,0.0,0.0
symbol,dio_19qgzp1,SHORT,1,0.684984,0.684984,0.068498,0.0,0.0,0.0,0.0
symbol,dio_0e6t3ev,LONG,2,1.445533,0.722767,0.137326,0.0,0.0,0.0,0.0
symbol,dio_0dcm0af,SHORT,2,1.510789,0.755394,0.143525,0.0,0.0,0.0,0.0
symbol,dio_1r0b6zz,SHORT,6,4.555612,0.759269,0.520039,0.0,0.0,0.0,0.0
symbol,dio_0xq8kn1,LONG,2,1.580797,0.790399,0.150176,0.0,0.0,0.0,0.0
symbol,dio_1rkaw11,LONG,2,1.581678,0.790839,0.150259,0.0,0.0,0.0,0.0
symbol,dio_07yjfe4,LONG,2,1.644736,0.822368,0.15625,0.0,0.0,0.0,0.0
symbol,dio_0v7w9p4,SHORT,3,2.480788,0.826929,0.224098,0.0,0.0,0.0,0.0
symbol,dio_0w1v2s1,SHORT,2,1.653859,0.826929,0.157117,0.0,0.0,0.0,0.0
symbol,dio_052z1ru,LONG,4,3.352473,0.838118,0.430269,0.0,0.0,0.0,0.0
symbol,dio_0irs3x1,LONG,2,1.696882,0.848441,0.161204,0.0,0.0,0.0,0.0
symbol,dio_0wsjdxp,LONG,2,1.703187,0.851593,0.161803,0.0,0.0,0.0,0.0
symbol,dio_0i5m3lb,SHORT,2,1.723693,0.861846,0.163751,0.0,0.0,0.0,0.0
symbol,dio_0iflpaa,SHORT,1,0.861846,0.861846,0.086185,0.0,0.0,0.0,0.0
symbol,dio_0vyd4b0,SHORT,2,1.798575,0.899288,0.170865,0.0,0.0,0.0,0.0
symbol,dio_13wtv6z,SHORT,2,1.814615,0.907308,0.172388,0.0,0.0,0.0,0.0
symbol,dio_1cpqz7w,SHORT,7,6.719459,0.959923,0.714486,0.0,0.0,0.0,0.0
symbol,dio_1mc350a,SHORT,3,2.895896,0.965299,0.366386,0.0,0.0,0.0,0.0
symbol,dio_081d3sf,LONG,2,1.942378,0.971189,0.184526,0.0,0.0,0.0,0.0
symbol,dio_074dxza,SHORT,2,2.0,1.0,0.19,0.0,0.0,0.0,0.0
symbol,dio_0k534n0,LONG,2,2.0,1.0,0.19,0.0,0.0,0.0,0.0
symbol,dio_0olvh9b,SHORT,2,2.0,1.0,0.19,0.0,0.0,0.0,0.0
symbol,dio_0qyuyt3,LONG,2,2.0,1.0,0.19,0.0,0.0,0.0,0.0
symbol,dio_0rejhn9,SHORT,2,2.0,1.0,0.19,0.0,0.0,0.0,0.0
symbol,dio_0v36ene,SHORT,2,2.0,1.0,0.19,0.0,0.0,0.0,0.0
symbol,dio_1144zap,SHORT,2,2.0,1.0,0.19,0.0,0.0,0.0,0.0
symbol,dio_18wfkqr,LONG,2,2.0,1.0,0.19,0.0,0.0,0.0,0.0
symbol,dio_1gzmk4v,SHORT,2,2.0,1.0,0.19,0.0,0.0,0.0,0.0
symbol,dio_1tg921i,LONG,2,2.0,1.0,0.19,0.0,0.0,0.0,0.0
symbol,dio_1tki6mx,LONG,2,2.0,1.0,0.19,0.0,0.0,0.0,0.0
symbol,dio_179omz0,LONG,3,3.006912,1.002304,0.380432,0.0,0.0,0.0,0.0
symbol,dio_1uezyf5,LONG,3,3.038674,1.012891,0.38445,0.0,0.0,0.0,0.0
symbol,dio_1hzf9jc,SHORT,3,3.126937,1.042312,0.395617,0.0,0.0,0.0,0.0
symbol,dio_0n4chhv,SHORT,4,4.555424,1.138856,0.584661,0.0,0.0,0.0,0.0
