tick,timestamp_ms,symbol,symbol_family,passive_world_label,passive_world_observations,passive_world_mean_avg_carry,passive_world_mean_avg_carried_cos,passive_world_best_max_carry,passive_world_best_max_carried_cos,passive_world_positive_carried_cos_count,passive_world_avg_readiness,passive_world_passive_only,action,raw_action,phase_active,phase_distance,phase_age,episode_binding_pressure,episode_release_pressure,episode_relation,mini_temporal_state,mini_family_age,mini_ticks_since_family_seen,mini_recurrence_strength,mini_afterimage,mini_time_distance,mini_temporal_form_distance,mini_temporal_trust_support,mini_temporal_caution_support,mini_neuro_dominant_tone,mini_focus_tone,mini_trust_tone,mini_caution_tone,mini_strain_tone,mini_relief_tone,mini_observation_tone,mini_neuro_support,mini_neuro_load,mini_neuro_balance,best_action_training,reward,close_reward,best_reward_training,outcome_event,event_reward,event_raw_return,entry_price,tp_price,sl_price,exit_price,bars_held,better_entry_training,entry_improvement_room,score_wait,score_long,score_short,base_score_wait,base_score_long,base_score_short,wait_bias,trade_caution_long,trade_caution_short,immature_memory_pressure_long,immature_memory_pressure_short,weak_signal_pressure_long,weak_signal_pressure_short,readiness_wait,readiness_long,readiness_short,memory_bias_wait,memory_bias_long,memory_bias_short,associative_wait,associative_long,associative_short,observation_wait,observation_long,observation_short,observation_readiness_wait,observation_readiness_long,observation_readiness_short,trade_readiness,associative_trade,observation_trade_signal,observation_trade_readiness,maturity_gap,mature_transfer,observation_learning_action,observation_learning_pressure,sehen_form_flow,sehen_form_stability,sehen_form_change,hoeren_energy_tone,hoeren_energy_shift,fuehlen_mcm_coherence,fuehlen_mcm_tension,fuehlen_mcm_asymmetry
1,1767500300000000,dio_1c6be9z,dio_1c6b,probe17,1,0.178789,0.274290,0.280315,0.995038,11,0.021341,1,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.749418,0.012609,0.223262,0.137649,0.329761,0.423874,0.369060,0.156048,0.213012,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,102.12000000,102.12000000,102.12000000,102.12000000,0,102.12000000,0.000000,0.011365,-0.043083,-0.012176,-0.010301,0.005211,0.003962,0.021666,0.048664,0.043110,0.019997,0.019258,0.028667,0.023852,0.000000,0.000162,0.037086,0.000000,0.000370,0.026972,0.000000,0.002312,0.000000,0.000000,0.000000,0.337144,0.000000,0.000000,0.037086,0.037086,0.002312,0.337144,0.037086,0.000000,0.002312,SHORT,0.539418,0.038108,1.000000,0.076215,0.040115,0.142857,0.988768,0.045048,0.068203
2,1767500600000000,dio_1d1z7n5,dio_1d1z,probe17,1,0.178789,0.274290,0.280315,0.995038,11,0.021341,1,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,observation_tone,0.238910,0.004897,0.274204,0.240385,0.272280,0.430679,0.211234,0.221611,-0.010378,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,101.72000000,101.72000000,101.72000000,101.72000000,0,101.72000000,0.000000,0.025531,-0.052868,-0.042579,0.003356,-0.003902,-0.004717,0.022176,0.049081,0.048338,0.019999,0.019712,0.029082,0.028626,0.000000,0.000051,0.014404,0.000000,0.000116,0.010476,0.000000,0.000723,0.000000,0.000000,0.000000,0.130949,0.000000,0.000000,0.014404,0.014404,0.000723,0.130949,0.014404,0.000000,0.000723,SHORT,0.209512,-0.179650,-1.000000,-0.511433,0.337931,0.775862,-0.294621,0.299214,-0.068176
3,1767500900000000,dio_10dkbdg,dio_10dk,probe17,1,0.178789,0.274290,0.280315,0.995038,11,0.021341,1,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,observation_tone,0.371022,0.008027,0.290333,0.269817,0.255278,0.427918,0.244586,0.241070,0.003516,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,101.28000000,101.28000000,101.28000000,101.28000000,0,101.28000000,0.000000,0.021482,-0.051320,-0.032156,-0.000487,-0.001890,-0.002972,0.021969,0.049567,0.046354,0.019999,0.019528,0.029568,0.026826,0.000000,0.000060,0.023608,0.000000,0.000137,0.017169,0.000000,0.000859,0.000000,0.000000,0.000000,0.214617,0.000000,0.000000,0.023608,0.023608,0.000859,0.214617,0.023608,0.000000,0.000859,SHORT,0.343381,-0.419184,-0.333333,-0.301121,0.369028,0.333333,0.096672,0.379228,-0.240346
4,1767501200000000,dio_1d3rtjg,dio_1d3r,probe17,1,0.178789,0.274290,0.280315,0.995038,11,0.021341,1,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.446045,0.010068,0.293531,0.274785,0.252256,0.426117,0.265155,0.244563,0.020592,SHORT,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.92000000,100.92000000,100.92000000,100.92000000,0,100.92000000,0.000000,0.018754,-0.050169,-0.024995,-0.003080,-0.000368,-0.001428,0.021834,0.049942,0.045102,0.019999,0.019408,0.029944,0.025695,0.000000,0.000062,0.029611,0.000000,0.000142,0.021535,0.000000,0.000887,0.000000,0.000000,0.000000,0.269187,0.000000,0.000000,0.029611,0.029611,0.000887,0.269187,0.029611,0.000000,0.000887,SHORT,0.430696,-0.615167,0.000000,-0.115070,0.280834,-0.075758,0.321366,0.394732,-0.387262
5,1767501500000000,dio_0n9edet,dio_0n9e,probe17,1,0.178789,0.274290,0.280315,0.995038,11,0.021341,1,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.666950,0.014390,0.300703,0.286444,0.245212,0.422303,0.325929,0.252616,0.073313,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.68000000,100.68000000,100.68000000,100.68000000,0,100.68000000,0.000000,0.012123,-0.009133,-0.049305,-0.009425,0.002508,0.000556,0.021548,0.042610,0.049862,0.019154,0.020000,0.023456,0.029862,0.000000,0.042323,0.000000,0.000000,0.030969,0.000000,0.000000,0.001724,0.000000,0.000000,0.383660,0.000000,0.000000,0.042203,0.000000,0.042323,0.001724,0.383660,0.042203,0.000000,0.001724,LONG,0.613853,-0.783392,1.000000,0.172693,0.176286,0.063694,0.950640,0.430696,-0.384515
6,1767501800000000,dio_0ofox8n,dio_0ofo,probe17,1,0.178789,0.274290,0.280315,0.995038,11,0.021341,1,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.475362,0.009938,0.274287,0.237551,0.273381,0.426231,0.278416,0.220457,0.057958,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,100.88000000,100.88000000,100.88000000,100.88000000,0,100.88000000,0.000000,0.017471,-0.022533,-0.050405,-0.004371,0.000836,-0.000539,0.021842,0.044732,0.049866,0.019415,0.020000,0.025317,0.029866,0.000000,0.029230,0.000000,0.000000,0.021364,0.000000,0.000000,0.000966,0.000000,0.000000,0.265114,0.000000,0.000000,0.029163,0.000000,0.029230,0.000966,0.265114,0.029163,0.000000,0.000966,LONG,0.424181,-0.458776,0.000000,0.600656,0.023375,0.000000,0.393455,0.298608,-0.112757
7,1767502100000000,dio_0ps1rry,dio_0ps1,probe17,1,0.178789,0.274290,0.280315,0.995038,11,0.021341,1,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,observation_tone,0.278709,0.004978,0.243368,0.180317,0.306331,0.430607,0.230561,0.182815,0.047746,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,101.22000000,101.22000000,101.22000000,101.22000000,0,101.22000000,0.000000,0.024143,-0.038218,-0.051307,0.001972,-0.001404,-0.001735,0.022171,0.047544,0.049573,0.019707,0.020000,0.027837,0.029573,0.000000,0.014642,0.000000,0.000000,0.010731,0.000000,0.000000,0.000749,0.000000,0.000000,0.132634,0.000000,0.000000,0.014590,0.000000,0.014642,0.000749,0.132634,0.014590,0.000000,0.000749,LONG,0.212211,-0.032912,-1.000000,0.520635,-0.112553,-0.136612,-0.231515,0.144397,0.079199
8,1767502400000000,dio_0bmhp4f,dio_0bmh,probe17,1,0.178789,0.274290,0.280315,0.995038,11,0.021341,1,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.488689,0.015794,0.261011,0.208657,0.289177,0.421064,0.286765,0.202481,0.084285,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,101.64000000,101.64000000,101.64000000,101.64000000,0,101.64000000,0.000000,0.017898,-0.006466,-0.049782,-0.003557,0.001762,0.000175,0.021455,0.042189,0.049956,0.019071,0.020000,0.023118,0.029956,0.000000,0.046454,0.000000,0.000000,0.033961,0.000000,0.000000,0.001620,0.000000,0.000000,0.421275,0.000000,0.000000,0.046340,0.000000,0.046454,0.001620,0.421275,0.046340,0.000000,0.001620,LONG,0.422615,0.396354,0.000000,0.350719,-0.022681,0.163043,0.393649,0.232110,0.338739
9,1767502700000000,dio_040yvmt,dio_040y,probe17,1,0.178789,0.274290,0.280315,0.995038,11,0.021341,1,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.686743,0.014675,0.285814,0.257632,0.261521,0.422051,0.335425,0.233963,0.101462,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,102.06000000,102.06000000,102.06000000,102.06000000,0,102.06000000,0.000000,0.012691,-0.005231,-0.046551,-0.008838,0.005119,0.002772,0.021529,0.042088,0.049323,0.019137,0.020000,0.022951,0.029323,0.000000,0.043163,0.000000,0.000000,0.031737,0.000000,0.000000,0.003168,0.000000,0.000000,0.390376,0.000000,0.000000,0.042941,0.000000,0.043163,0.003168,0.390376,0.042941,0.000000,0.003168,LONG,0.624582,0.761489,1.000000,0.107055,0.047611,0.104712,0.986669,0.356951,0.473069
10,1767503000000000,dio_1f9y063,dio_1f9y,probe17,1,0.178789,0.274290,0.280315,0.995038,11,0.021341,1,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,temporal_first_contact,0,-1,0.000000,0.000000,1.000000,1.000000,0.000000,0.720000,focus_tone,0.674663,0.014975,0.296411,0.278046,0.249916,0.421786,0.329300,0.247200,0.082099,LONG,0.000000,0.000000,1.000000,NO_TRADE,0.000000,0.000000,102.48000000,102.48000000,102.48000000,102.48000000,0,102.48000000,0.000000,0.012766,-0.004177,-0.046366,-0.008743,0.005377,0.002921,0.021509,0.041938,0.049287,0.019119,0.020000,0.022819,0.029287,0.000000,0.044045,0.000000,0.000000,0.032385,0.000000,0.000000,0.003229,0.000000,0.000000,0.398357,0.000000,0.000000,0.043819,0.000000,0.044045,0.003229,0.398357,0.043819,0.000000,0.003229,LONG,0.637351,0.881135,1.000000,0.025694,0.085225,0.025381,0.976137,0.409982,0.504678
