source,tick,timestamp_ms,symbol,symbol_family,action,raw_action,outcome_event,best_action_training,mini_temporal_state,mini_neuro_dominant_tone,reflection_context_state,reward,observation_learning_pressure,sehen_form_flow,sehen_form_stability,sehen_form_change,hoeren_energy_tone,hoeren_energy_shift,fuehlen_mcm_coherence,fuehlen_mcm_tension,fuehlen_mcm_asymmetry,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
dio_mini_repro_semantic_matrix_6episoden_varianteA_20260606_probe20/dio_mini_lauf_1,50,1768415000000000,dio_002s17r,dio_002s,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.384025,0.114021,0.0,-0.278065,-0.092546,0.077821,0.374087,0.131249,0.012681,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteA_20260606_probe20/dio_mini_lauf_2,50,1768415000000000,dio_002s17r,dio_002s,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.384025,0.114021,0.0,-0.278065,-0.092546,0.077821,0.374087,0.131249,0.012681,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteA_20260606_probe22/dio_mini_lauf_1,50,1768435000000000,dio_002s17r,dio_002s,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.383016,0.108586,0.0,-0.276853,-0.09682,0.064516,0.37289,0.130567,0.007267,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteA_20260606_probe22/dio_mini_lauf_2,50,1768435000000000,dio_002s17r,dio_002s,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.383016,0.108586,0.0,-0.276853,-0.09682,0.064516,0.37289,0.130567,0.007267,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteA_20260606_probe25/dio_mini_lauf_1,26,1768457800000000,dio_002s17r,dio_002s,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.382128,0.076886,0.0,-0.284964,-0.062789,0.165289,0.382419,0.104258,0.007723,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteA_20260606_probe25/dio_mini_lauf_2,26,1768457800000000,dio_002s17r,dio_002s,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.382128,0.076886,0.0,-0.284964,-0.062789,0.165289,0.382419,0.104258,0.007723,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteA_20260606_probe24/dio_mini_lauf_1,3,1768440900000000,dio_00o8oot,dio_00o8,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.321918,-0.24995,-0.333333,-0.549816,0.318431,0.539535,0.110839,0.326691,-0.164021,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteA_20260606_probe24/dio_mini_lauf_2,3,1768440900000000,dio_00o8oot,dio_00o8,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.321918,-0.24995,-0.333333,-0.549816,0.318431,0.539535,0.110839,0.326691,-0.164021,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteA_20260606_probe26/dio_mini_lauf_1,3,1768460900000000,dio_00o8oot,dio_00o8,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.31988,-0.266667,-0.333333,-0.550062,0.362859,0.559585,0.0984,0.352411,-0.169431,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteA_20260606_probe26/dio_mini_lauf_2,3,1768460900000000,dio_00o8oot,dio_00o8,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.31988,-0.266667,-0.333333,-0.550062,0.362859,0.559585,0.0984,0.352411,-0.169431,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteA_20260606_probe23/dio_mini_lauf_1,47,1768444100000000,dio_023rery,dio_023r,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.24068,0.1911,-1.0,0.381597,0.041538,-0.078329,-0.211631,0.158764,0.182934,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteA_20260606_probe23/dio_mini_lauf_2,47,1768444100000000,dio_023rery,dio_023r,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.24068,0.1911,-1.0,0.381597,0.041538,-0.078329,-0.211631,0.158764,0.182934,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteA_20260606_probe20/dio_mini_lauf_1,19,1768405700000000,dio_02crf5g,dio_02cr,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.420534,0.467977,0.0,-0.590785,-0.07702,-0.193906,0.378434,0.323424,0.081498,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteA_20260606_probe20/dio_mini_lauf_2,19,1768405700000000,dio_02crf5g,dio_02cr,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.420534,0.467977,0.0,-0.590785,-0.07702,-0.193906,0.378434,0.323424,0.081498,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteA_20260606_probe26/dio_mini_lauf_1,60,1768478000000000,dio_039rkak,dio_039r,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.40435,-0.520122,0.0,0.420616,-0.367331,-0.940299,0.297147,0.440029,-0.37838,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteA_20260606_probe26/dio_mini_lauf_2,60,1768478000000000,dio_039rkak,dio_039r,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.40435,-0.520122,0.0,0.420616,-0.367331,-0.940299,0.297147,0.440029,-0.37838,True,False,False,False,False,False,False,False
